date,open,high,low,close,volume,_source
2020-01-02 07:00:00,5417,5424,5389,5424,43580,KBS
2020-01-03 07:00:00,5424,5424,5396,5410,64880,KBS
2020-01-06 07:00:00,5410,5410,5389,5389,51370,KBS
2020-01-07 07:00:00,5389,5410,5368,5375,60250,KBS
2020-01-08 07:00:00,5361,5432,5361,5417,137060,KBS
2020-01-09 07:00:00,5432,5460,5389,5424,28120,KBS
2020-01-10 07:00:00,5460,5531,5389,5424,29100,KBS
2020-01-13 07:00:00,5389,5453,5389,5446,30070,KBS
2020-01-14 07:00:00,5488,5488,5453,5460,18510,KBS
2020-01-15 07:00:00,5446,5481,5410,5439,19630,KBS
2020-01-16 07:00:00,5403,5446,5403,5446,55890,KBS
2020-01-17 07:00:00,5424,5460,5410,5453,31930,KBS
2020-01-20 07:00:00,5389,5446,5389,5432,29360,KBS
2020-01-21 07:00:00,5453,5453,5410,5432,5580,KBS
2020-01-22 07:00:00,5432,5460,5424,5460,31020,KBS
2020-01-30 07:00:00,5460,5495,5403,5481,7560,KBS
2020-01-31 07:00:00,5488,5488,5410,5474,67840,KBS
2020-02-03 07:00:00,5198,5318,5112,5212,269100,KBS
2020-02-04 07:00:00,5212,5247,5176,5233,37760,KBS
2020-02-05 07:00:00,5233,5389,5233,5389,18810,KBS
2020-02-06 07:00:00,5254,5424,5254,5424,36000,KBS
2020-02-07 07:00:00,5283,5424,5268,5424,11670,KBS
2020-02-10 07:00:00,5424,5424,5283,5318,35770,KBS
2020-02-11 07:00:00,5318,5389,5318,5389,3900,KBS
2020-02-12 07:00:00,5417,5417,5339,5389,57310,KBS
2020-02-13 07:00:00,5318,5389,5318,5389,97440,KBS
2020-02-14 07:00:00,5389,5410,5318,5410,28330,KBS
2020-02-17 07:00:00,5410,5417,5318,5361,43210,KBS
2020-02-18 07:00:00,5389,5389,5368,5382,460,KBS
2020-02-19 07:00:00,5382,5389,5354,5382,35510,KBS
2020-02-20 07:00:00,5382,5446,5382,5410,92820,KBS
