date,open,high,low,close,volume,_source
2020-01-02 07:00:00,18825,18825,18825,18825,7,KBS
2020-01-03 07:00:00,17831,17831,17831,17831,100,KBS
2020-01-06 07:00:00,18494,18560,18428,18560,2200,KBS
2020-01-07 07:00:00,18560,18958,18560,18958,600,KBS
2020-01-08 07:00:00,19024,19024,18892,18892,700,KBS
2020-01-09 07:00:00,18892,18892,18892,18892,37,KBS
2020-01-10 07:00:00,18825,18825,18825,18825,100,KBS
2020-01-16 07:00:00,18759,18759,18759,18759,100,KBS
2020-01-17 07:00:00,17765,18693,17765,18693,240,KBS
2020-01-20 07:00:00,18693,18693,18693,18693,3,KBS
2020-01-31 07:00:00,18560,18560,18560,18560,200,KBS
2020-02-03 07:00:00,19157,19157,19157,19157,100,KBS
2020-02-04 07:00:00,17433,18892,17367,18825,1430,KBS
2020-02-05 07:00:00,17566,18825,17566,18825,800,KBS
2020-02-06 07:00:00,18825,18825,18825,18825,405,KBS
2020-02-10 07:00:00,17765,17964,17632,17964,1300,KBS
2020-02-11 07:00:00,17566,17566,17566,17566,100,KBS
2020-02-12 07:00:00,17234,17234,17234,17234,1100,KBS
2020-02-13 07:00:00,17168,17168,17168,17168,100,KBS
2020-02-14 07:00:00,16306,16306,16107,16240,1500,KBS
2020-02-17 07:00:00,15246,15246,14981,14981,1531,KBS
2020-02-18 07:00:00,14583,14649,13920,13920,12600,KBS
2020-02-20 07:00:00,14450,14450,14450,14450,100,KBS
2020-02-21 07:00:00,14583,14583,14583,14583,100,KBS
2020-02-24 07:00:00,14450,14450,14450,14450,100,KBS
2020-02-27 07:00:00,14450,14450,14450,14450,4,KBS
2020-02-28 07:00:00,13589,14450,13589,13920,1600,KBS
2020-03-02 07:00:00,14053,14914,13390,13787,800,KBS
2020-03-03 07:00:00,13787,13920,13787,13787,153178,KBS
2020-03-04 07:00:00,14715,14715,14715,14715,100,KBS
2020-03-05 07:00:00,14583,14583,14583,14583,100,KBS
2020-03-09 07:00:00,13920,13920,13257,13920,1308,KBS
2020-03-10 07:00:00,13920,13920,13920,13920,2,KBS
2020-03-11 07:00:00,13854,13854,13854,13854,100,KBS
2020-03-12 07:00:00,13787,13787,12594,13125,4347,KBS
2020-03-17 07:00:00,11865,13125,11865,13125,7200,KBS
2020-03-18 07:00:00,13125,13125,13125,13125,47,KBS
2020-03-19 07:00:00,13125,13125,13125,13125,100,KBS
2020-03-20 07:00:00,13125,13125,13125,13125,7,KBS
2020-03-24 07:00:00,12926,12926,12064,12064,300,KBS
2020-03-25 07:00:00,12064,12064,12064,12064,100,KBS
2020-03-26 07:00:00,11269,11865,11269,11865,1194,KBS
2020-03-27 07:00:00,11269,11269,10805,11136,1400,KBS
2020-03-30 07:00:00,11136,11136,10075,10075,7060,KBS
2020-03-31 07:00:00,10142,10142,10142,10142,139,KBS
2020-04-01 07:00:00,10208,10208,9877,9943,9040,KBS
2020-04-03 07:00:00,9943,10208,9943,10208,2800,KBS
2020-04-06 07:00:00,11003,11136,11003,11003,6500,KBS
2020-04-07 07:00:00,11269,11269,10805,10805,1219,KBS
2020-04-08 07:00:00,10805,11401,10805,11202,700,KBS
2020-04-09 07:00:00,11070,11269,11070,11269,2870,KBS
2020-04-10 07:00:00,11269,11335,11269,11335,818,KBS
2020-04-13 07:00:00,11467,12462,11202,11269,13600,KBS
2020-04-14 07:00:00,11269,11269,11269,11269,1000,KBS
2020-04-15 07:00:00,11269,11269,11269,11269,562,KBS
2020-04-16 07:00:00,11534,11534,11467,11467,1500,KBS
2020-04-17 07:00:00,11467,12594,11467,12329,8310,KBS
2020-04-20 07:00:00,13257,13522,13257,13522,11260,KBS
2020-04-21 07:00:00,12528,12528,12329,12329,2670,KBS
2020-04-22 07:00:00,12329,12329,12329,12329,97,KBS
2020-04-23 07:00:00,12594,12594,12594,12594,710,KBS
2020-04-24 07:00:00,12528,12528,12528,12528,110,KBS
2020-04-27 07:00:00,12263,12263,12263,12263,1600,KBS
2020-04-28 07:00:00,12263,12263,12263,12263,200,KBS
2020-04-29 07:00:00,12329,12329,12263,12263,3000,KBS
2020-05-04 07:00:00,11865,11865,11865,11865,200,KBS
2020-05-05 07:00:00,11733,11733,11733,11733,2519,KBS
2020-05-06 07:00:00,11600,11799,10606,11799,5100,KBS
2020-05-07 07:00:00,11600,11799,11600,11600,3400,KBS
2020-05-08 07:00:00,11600,11666,11534,11534,3978,KBS
2020-05-11 07:00:00,11600,11600,11401,11467,8368,KBS
2020-05-12 07:00:00,11467,11467,11401,11401,6200,KBS
2020-05-13 07:00:00,11401,11401,11335,11335,17392,KBS
2020-05-14 07:00:00,11335,11600,11335,11534,22720,KBS
2020-05-15 07:00:00,11534,11666,11534,11534,3900,KBS
2020-05-18 07:00:00,11534,11534,11534,11534,1800,KBS
2020-05-19 07:00:00,11269,11269,11070,11070,9057,KBS
2020-05-20 07:00:00,11070,11136,10805,10805,21397,KBS
2020-05-21 07:00:00,10805,10805,9943,9943,25610,KBS
2020-05-22 07:00:00,9943,10075,9943,10009,70100,KBS
2020-05-25 07:00:00,10009,11003,10009,10606,10900,KBS
2020-05-26 07:00:00,10606,11003,10606,10937,43485,KBS
2020-05-27 07:00:00,10805,11202,10805,10937,19600,KBS
2020-05-28 07:00:00,10805,10805,10473,10473,16300,KBS
2020-05-29 07:00:00,10473,10937,10274,10937,600,KBS
2020-06-01 07:00:00,10937,11003,10937,10937,7400,KBS
2020-06-02 07:00:00,10606,10606,10407,10407,80100,KBS
2020-06-03 07:00:00,10407,10473,10341,10407,38800,KBS
2020-06-04 07:00:00,10407,10606,10341,10407,128646,KBS
2020-06-05 07:00:00,10274,10341,10208,10274,44310,KBS
2020-06-08 07:00:00,10274,10606,10274,10539,138731,KBS
2020-06-09 07:00:00,10539,10738,10341,10539,62140,KBS
2020-06-10 07:00:00,10341,10539,10274,10274,31720,KBS
2020-06-11 07:00:00,10274,10274,10009,10142,59005,KBS
2020-06-12 07:00:00,9943,10274,9943,10274,36976,KBS
2020-06-15 07:00:00,9877,9943,9877,9877,5636,KBS
2020-06-16 07:00:00,9877,9943,9810,9810,9300,KBS
2020-06-17 07:00:00,9877,9877,9611,9810,5600,KBS
2020-06-18 07:00:00,9413,9810,9413,9810,900,KBS
2020-06-19 07:00:00,9744,9810,9744,9810,16115,KBS
2020-06-22 07:00:00,9413,9611,9413,9545,6800,KBS
2020-06-23 07:00:00,9545,9545,9479,9545,30400,KBS
2020-06-24 07:00:00,9413,9611,9413,9611,12400,KBS
2020-06-25 07:00:00,9147,9943,9147,9943,9391,KBS
2020-06-26 07:00:00,9943,10009,9943,9943,4866,KBS
2020-06-29 07:00:00,9943,9943,9943,9943,18310,KBS
2020-06-30 07:00:00,9943,9943,9479,9479,14500,KBS
2020-07-01 07:00:00,9810,9810,9810,9810,100,KBS
2020-07-03 07:00:00,9678,9678,9346,9346,11700,KBS
2020-07-06 07:00:00,9744,9744,8816,9479,88930,KBS
2020-07-07 07:00:00,9280,9346,9280,9280,10390,KBS
2020-07-08 07:00:00,9744,9744,9147,9147,11829,KBS
2020-07-09 07:00:00,9147,9280,9147,9280,2940,KBS
2020-07-10 07:00:00,9280,9346,9280,9346,1300,KBS
2020-07-13 07:00:00,9413,9413,9413,9413,8000,KBS
2020-07-14 07:00:00,9147,9147,9147,9147,500,KBS
2020-07-15 07:00:00,9147,9214,9015,9015,14650,KBS
2020-07-16 07:00:00,9346,9413,9346,9346,2112,KBS
2020-07-17 07:00:00,8949,9280,8949,9280,3360,KBS
2020-07-20 07:00:00,9280,9280,9280,9280,2000,KBS
2020-07-21 07:00:00,9015,9280,8949,9280,10100,KBS
2020-07-22 07:00:00,9280,9280,9015,9280,5900,KBS
2020-07-23 07:00:00,9280,9280,8949,8949,4510,KBS
2020-07-24 07:00:00,9015,9081,8882,8882,24960,KBS
2020-07-27 07:00:00,8153,8683,8153,8617,27709,KBS
2020-07-28 07:00:00,8021,9147,7954,9147,5780,KBS
2020-07-29 07:00:00,8485,8485,8352,8352,3220,KBS
2020-07-30 07:00:00,8485,8485,8485,8485,9130,KBS
2020-07-31 07:00:00,8551,8551,7822,8352,980,KBS
2020-08-03 07:00:00,8352,8750,8352,8750,14229,KBS
2020-08-04 07:00:00,8683,9280,8485,8485,29631,KBS
2020-08-05 07:00:00,9147,9147,9015,9147,1460,KBS
2020-08-06 07:00:00,9015,9147,8949,9147,2060,KBS
2020-08-07 07:00:00,9015,9081,8949,9015,2110,KBS
2020-08-10 07:00:00,8816,9015,8816,9015,1910,KBS
2020-08-11 07:00:00,9081,9081,8949,9015,9900,KBS
2020-08-12 07:00:00,9147,9147,9081,9147,7400,KBS
2020-08-13 07:00:00,9147,9288,9077,9147,69100,KBS
2020-08-14 07:00:00,9147,9147,9007,9007,11110,KBS
2020-08-17 07:00:00,8936,9007,8444,9007,97489,KBS
2020-08-18 07:00:00,9007,9007,8866,8936,10600,KBS
2020-08-19 07:00:00,8936,8936,8796,8796,31300,KBS
2020-08-20 07:00:00,8866,9640,8796,9499,2095589,KBS
2020-08-21 07:00:00,10203,10203,9640,9781,8070,KBS
2020-08-24 07:00:00,9992,10133,9851,10133,64120,KBS
2020-08-25 07:00:00,9921,9921,9359,9359,207270,KBS
2020-08-26 07:00:00,9429,9851,9429,9781,96772,KBS
2020-08-27 07:00:00,9851,9992,9499,9781,26170,KBS
2020-08-28 07:00:00,9710,9851,9499,9710,142708,KBS
2020-08-31 07:00:00,9570,9710,9570,9570,76020,KBS
2020-09-01 07:00:00,9499,9640,9499,9570,74300,KBS
2020-09-03 07:00:00,9640,9640,9570,9640,52740,KBS
2020-09-04 07:00:00,9499,9640,9499,9499,18465,KBS
2020-09-07 07:00:00,9570,9570,9499,9499,17225,KBS
2020-09-08 07:00:00,9499,9851,9499,9781,78560,KBS
2020-09-09 07:00:00,9710,9781,9499,9570,11600,KBS
2020-09-10 07:00:00,9570,9781,9570,9710,57650,KBS
2020-09-11 07:00:00,9781,9781,9570,9710,16731,KBS
2020-09-14 07:00:00,9570,9781,9499,9640,36800,KBS
2020-09-15 07:00:00,9570,9640,9570,9640,60920,KBS
2020-09-16 07:00:00,9781,9781,9640,9710,76600,KBS
2020-09-17 07:00:00,9710,9710,9640,9710,24538,KBS
2020-09-18 07:00:00,9781,10625,9781,10625,388597,KBS
2020-09-21 07:00:00,11329,11681,10766,11540,103740,KBS
2020-09-22 07:00:00,11540,11681,11258,11329,68743,KBS
2020-09-23 07:00:00,10907,11188,10696,10907,178126,KBS
2020-09-24 07:00:00,10907,10907,10555,10625,84150,KBS
2020-09-25 07:00:00,10625,11047,10625,10836,56600,KBS
2020-09-28 07:00:00,10836,11258,10696,11047,49700,KBS
2020-09-29 07:00:00,10977,11047,10555,10696,62700,KBS
2020-09-30 07:00:00,10696,10696,10484,10625,51150,KBS
2020-10-01 07:00:00,10625,10625,10484,10625,18860,KBS
2020-10-02 07:00:00,10836,11681,10766,11188,367070,KBS
2020-10-05 07:00:00,11681,11681,11047,11188,102420,KBS
2020-10-06 07:00:00,11188,11258,10907,10977,112430,KBS
2020-10-07 07:00:00,10977,10977,10625,10766,211245,KBS
2020-10-08 07:00:00,10766,10766,10625,10696,64100,KBS
2020-10-09 07:00:00,10696,10907,10625,10907,40000,KBS
2020-10-12 07:00:00,10696,10696,10625,10696,22580,KBS
2020-10-13 07:00:00,10625,10907,10555,10696,37200,KBS
2020-10-14 07:00:00,10344,10696,10344,10625,40120,KBS
2020-10-15 07:00:00,10555,10555,10414,10414,55680,KBS
2020-10-16 07:00:00,10414,10414,10203,10273,63230,KBS
2020-10-19 07:00:00,10273,10414,10133,10414,46930,KBS
2020-10-20 07:00:00,10414,10414,10203,10414,32490,KBS
2020-10-21 07:00:00,10273,10696,10273,10484,55700,KBS
2020-10-22 07:00:00,10484,10555,10344,10344,36400,KBS
2020-10-23 07:00:00,10344,10414,10203,10273,10847,KBS
2020-10-26 07:00:00,10414,10414,10133,10133,28010,KBS
2020-10-27 07:00:00,10133,10133,9921,10133,70851,KBS
2020-10-28 07:00:00,10484,10484,10273,10344,70320,KBS
2020-10-29 07:00:00,9992,10203,9992,9992,31201,KBS
2020-10-30 07:00:00,10203,10203,9921,10062,20750,KBS
2020-11-02 07:00:00,10273,10344,9992,10203,7110,KBS
2020-11-03 07:00:00,10203,10625,10203,10484,45432,KBS
2020-11-04 07:00:00,10484,10625,10414,10484,38636,KBS
2020-11-05 07:00:00,10203,10414,10133,10414,14200,KBS
2020-11-06 07:00:00,10414,10414,10203,10203,6706,KBS
2020-11-09 07:00:00,10203,10344,10203,10344,9132,KBS
2020-11-10 07:00:00,10344,10414,10133,10344,30500,KBS
2020-11-11 07:00:00,10273,10555,10203,10484,35271,KBS
2020-11-12 07:00:00,10484,11258,10484,10907,92600,KBS
2020-11-13 07:00:00,10977,11047,10696,10836,24417,KBS
2020-11-16 07:00:00,10766,10907,10625,10766,36485,KBS
2020-11-17 07:00:00,10766,11047,10696,10907,70460,KBS
2020-11-18 07:00:00,10977,11962,10907,11751,425946,KBS
2020-11-19 07:00:00,11962,12806,11681,12032,384510,KBS
2020-11-20 07:00:00,12173,12314,12032,12103,76850,KBS
2020-11-23 07:00:00,12173,12173,11821,11821,87025,KBS
2020-11-24 07:00:00,11821,11962,11329,11470,161264,KBS
2020-11-25 07:00:00,11610,12173,11610,11681,84510,KBS
2020-11-26 07:00:00,11681,12103,11681,11892,63041,KBS
2020-11-27 07:00:00,11892,11892,11610,11821,91686,KBS
2020-11-30 07:00:00,12032,12032,11681,11681,49826,KBS
2020-12-01 07:00:00,11610,11681,11329,11540,74214,KBS
2020-12-02 07:00:00,11540,11540,11329,11329,85156,KBS
2020-12-03 07:00:00,11329,12103,11258,11892,117313,KBS
2020-12-04 07:00:00,11892,12244,11892,12103,83750,KBS
2020-12-07 07:00:00,12173,12173,11892,11892,32090,KBS
2020-12-08 07:00:00,11892,12032,11751,11962,83082,KBS
2020-12-09 07:00:00,11751,12103,11751,12103,79730,KBS
2020-12-10 07:00:00,12032,12806,11892,12736,301267,KBS
2020-12-11 07:00:00,12736,13792,12384,13792,264918,KBS
2020-12-14 07:00:00,13862,13862,13440,13651,78110,KBS
2020-12-15 07:00:00,13229,13651,13229,13651,72363,KBS
2020-12-16 07:00:00,13369,13580,13229,13369,91249,KBS
2020-12-17 07:00:00,13369,14073,13369,13932,76539,KBS
2020-12-18 07:00:00,14073,14214,13510,14003,42725,KBS
2020-12-21 07:00:00,14003,14003,13369,13721,91880,KBS
2020-12-22 07:00:00,13580,13721,13440,13580,35220,KBS
2020-12-23 07:00:00,13510,13792,13510,13580,53845,KBS
2020-12-24 07:00:00,13580,13580,13018,13580,98999,KBS
2020-12-25 07:00:00,13580,14003,13440,13721,65646,KBS
2020-12-28 07:00:00,13721,14777,13721,14355,86261,KBS
2020-12-29 07:00:00,14355,14777,14003,14003,35165,KBS
2020-12-30 07:00:00,14073,14073,13792,13792,11799,KBS
2020-12-31 07:00:00,13792,14073,13580,14073,54317,KBS
2021-01-04 07:00:00,14214,14214,13792,14003,77980,KBS
2021-01-05 07:00:00,14003,14425,13721,13862,29318,KBS
2021-01-06 07:00:00,14003,14143,13932,14003,57853,KBS
2021-01-07 07:00:00,14003,14706,13932,14425,82147,KBS
2021-01-08 07:00:00,14425,14495,14003,14003,78199,KBS
2021-01-11 07:00:00,14003,14214,13932,14073,86230,KBS
2021-01-12 07:00:00,14143,14214,13932,14143,67900,KBS
2021-01-13 07:00:00,14143,15129,13932,14917,162300,KBS
2021-01-14 07:00:00,15058,15410,14706,15129,63312,KBS
2021-01-15 07:00:00,15129,15129,14777,14777,61230,KBS
2021-01-18 07:00:00,14777,14777,14073,14143,97230,KBS
2021-01-19 07:00:00,14143,14214,12736,13440,103169,KBS
2021-01-20 07:00:00,13369,13721,12314,13721,81407,KBS
