date,open,high,low,close,volume,_source
2020-01-22 07:00:00,13579,13579,13579,13579,3,KBS
2020-02-12 07:00:00,13579,13579,13579,13579,6,KBS
2020-02-20 07:00:00,14576,14576,14576,14576,600,KBS
2020-04-09 07:00:00,14576,14576,14133,14133,1000,KBS
2020-04-13 07:00:00,13413,13413,13413,13413,1000,KBS
2020-04-14 07:00:00,14743,14743,14743,14743,1000,KBS
2020-04-17 07:00:00,15075,15075,15075,15075,1000,KBS
2020-04-20 07:00:00,14964,14964,14964,14964,900,KBS
2020-04-21 07:00:00,14964,14964,14964,14964,100,KBS
2020-04-24 07:00:00,13497,13615,13497,13615,300,KBS
2020-04-27 07:00:00,14906,14906,14906,14906,2001,KBS
2020-04-28 07:00:00,13439,13439,13439,13439,100,KBS
2020-04-29 07:00:00,14612,14612,14554,14554,300,KBS
2020-05-04 07:00:00,15903,15903,15845,15845,2900,KBS
2020-05-08 07:00:00,16960,17429,16960,17429,7300,KBS
2020-05-11 07:00:00,17605,17899,17547,17899,5700,KBS
2020-05-12 07:00:00,17312,17312,16960,17018,5900,KBS
2020-05-14 07:00:00,17018,17018,16725,16725,500,KBS
2020-05-15 07:00:00,15786,15845,15551,15551,7910,KBS
2020-05-18 07:00:00,15786,15845,15786,15845,2100,KBS
2020-05-19 07:00:00,15845,15845,15845,15845,2000,KBS
2020-05-20 07:00:00,15845,15845,15845,15845,2000,KBS
2020-05-21 07:00:00,15845,15845,15845,15845,1800,KBS
2020-05-26 07:00:00,15258,15258,14436,14436,4000,KBS
2020-05-29 07:00:00,15493,15786,15493,15551,3300,KBS
2020-06-01 07:00:00,15786,16138,15786,16138,1600,KBS
2020-06-05 07:00:00,15551,15786,15551,15786,1100,KBS
2020-06-17 07:00:00,14964,14964,14964,14964,700,KBS
2020-06-22 07:00:00,15258,15258,15258,15258,1000,KBS
2020-07-08 07:00:00,15258,15258,15258,15258,700,KBS
2020-07-13 07:00:00,15258,15258,15258,15258,10,KBS
2020-07-14 07:00:00,15258,15258,15258,15258,130,KBS
2020-07-17 07:00:00,15258,15258,15258,15258,200,KBS
2020-07-22 07:00:00,15258,15258,15258,15258,330,KBS
2020-07-23 07:00:00,15258,15258,15258,15258,1500,KBS
