date,open,high,low,close,volume,_source
2020-01-02 07:00:00,9079,9395,9040,9395,1569270,KBS
2020-01-03 07:00:00,9395,9474,9197,9237,1245410,KBS
2020-01-06 07:00:00,9197,9237,8961,8961,2064670,KBS
2020-01-07 07:00:00,9000,9040,8842,8882,1893960,KBS
2020-01-08 07:00:00,8842,8842,8289,8487,5339280,KBS
2020-01-09 07:00:00,8566,8763,8526,8605,2226540,KBS
2020-01-10 07:00:00,8645,8803,8526,8763,1461150,KBS
2020-01-13 07:00:00,8763,8763,8684,8684,1298370,KBS
2020-01-14 07:00:00,8763,8763,8605,8605,1438620,KBS
2020-01-15 07:00:00,8605,8605,8526,8605,1119580,KBS
2020-01-16 07:00:00,8684,8724,8605,8684,1479520,KBS
2020-01-17 07:00:00,8724,8724,8526,8526,1629430,KBS
2020-01-20 07:00:00,8526,8605,8408,8447,1136080,KBS
2020-01-21 07:00:00,8605,8842,8605,8605,2980510,KBS
2020-01-22 07:00:00,8684,8803,8645,8763,1844340,KBS
2020-01-30 07:00:00,8684,8961,8684,8763,3263130,KBS
2020-01-31 07:00:00,8763,8842,8289,8289,2556250,KBS
2020-02-03 07:00:00,7816,8053,7713,7887,3839880,KBS
2020-02-04 07:00:00,7974,8053,7500,7500,3640180,KBS
2020-02-05 07:00:00,7579,7658,7476,7555,2301300,KBS
2020-02-06 07:00:00,7579,7934,7547,7934,2202420,KBS
2020-02-07 07:00:00,7934,7974,7808,7824,1520380,KBS
2020-02-10 07:00:00,7658,7737,7618,7642,1441160,KBS
2020-02-11 07:00:00,7674,7863,7658,7784,1775070,KBS
2020-02-12 07:00:00,7847,8329,7816,8329,3050250,KBS
2020-02-13 07:00:00,8447,8645,8171,8329,3076810,KBS
2020-02-14 07:00:00,8329,8329,8132,8211,1156570,KBS
2020-02-17 07:00:00,8171,8250,8092,8171,2084770,KBS
2020-02-18 07:00:00,8211,8250,8132,8171,1786200,KBS
2020-02-19 07:00:00,8211,8368,8171,8250,1982300,KBS
2020-02-20 07:00:00,8289,8645,8289,8605,4728350,KBS
2020-02-21 07:00:00,8605,8645,8408,8487,1762570,KBS
2020-02-24 07:00:00,8211,8250,7895,7895,3312940,KBS
2020-02-25 07:00:00,7595,7879,7595,7855,3369430,KBS
2020-02-26 07:00:00,7658,8211,7658,8053,2278130,KBS
2020-02-27 07:00:00,8053,8171,7895,7974,1045640,KBS
2020-02-28 07:00:00,7816,7879,7697,7776,2284820,KBS
2020-03-02 07:00:00,7776,7887,7721,7879,1786920,KBS
2020-03-03 07:00:00,8053,8092,7839,7839,2539230,KBS
2020-03-04 07:00:00,7855,7974,7816,7863,2680650,KBS
2020-03-05 07:00:00,8013,8211,7974,8053,3579000,KBS
2020-03-06 07:00:00,8013,8092,7895,7974,2292720,KBS
2020-03-09 07:00:00,7421,7737,7421,7421,4943410,KBS
2020-03-10 07:00:00,7263,7571,7105,7500,2871290,KBS
2020-03-11 07:00:00,7555,7618,7082,7121,5177740,KBS
2020-03-12 07:00:00,6711,6829,6624,6624,5361200,KBS
2020-03-13 07:00:00,6174,7026,6166,7026,4570810,KBS
2020-03-16 07:00:00,6947,7011,6561,7011,3241750,KBS
2020-03-17 07:00:00,6639,7413,6639,6987,3061070,KBS
2020-03-18 07:00:00,7026,7066,6805,6916,1935700,KBS
2020-03-19 07:00:00,6718,6861,6632,6687,2633250,KBS
2020-03-20 07:00:00,6711,6868,6639,6679,1980340,KBS
2020-03-23 07:00:00,6434,6679,6213,6213,4628880,KBS
2020-03-24 07:00:00,5929,6158,5889,5945,5979090,KBS
2020-03-25 07:00:00,6221,6253,6134,6197,2458770,KBS
2020-03-26 07:00:00,6158,6158,6000,6000,2129230,KBS
2020-03-27 07:00:00,5961,6308,5961,6016,3296170,KBS
2020-03-30 07:00:00,5684,5921,5597,5637,6321180,KBS
2020-03-31 07:00:00,5637,5779,5408,5597,3326670,KBS
2020-04-01 07:00:00,5526,5811,5526,5811,2786690,KBS
2020-04-03 07:00:00,5984,6111,5921,6079,4559830,KBS
2020-04-06 07:00:00,6158,6466,6158,6426,5085950,KBS
2020-04-07 07:00:00,6474,6474,6197,6308,3974120,KBS
2020-04-08 07:00:00,6237,6742,6118,6742,9412400,KBS
2020-04-09 07:00:00,7105,7105,6868,6876,8939620,KBS
2020-04-10 07:00:00,6876,6876,6711,6734,4340530,KBS
2020-04-13 07:00:00,6711,7105,6711,6947,9334920,KBS
2020-04-14 07:00:00,7026,7192,6987,7145,8810870,KBS
2020-04-15 07:00:00,7145,7247,7113,7153,5992790,KBS
2020-04-16 07:00:00,7137,7137,7003,7066,6101990,KBS
2020-04-17 07:00:00,7184,7224,7113,7137,7226610,KBS
2020-04-20 07:00:00,7145,7618,7145,7421,9313990,KBS
2020-04-21 07:00:00,7232,7674,7184,7366,8218710,KBS
2020-04-22 07:00:00,7224,7611,7224,7484,6720180,KBS
2020-04-23 07:00:00,7626,7650,7500,7500,5040470,KBS
2020-04-24 07:00:00,7500,7539,7374,7539,4195500,KBS
2020-04-27 07:00:00,7642,7879,7618,7816,7551040,KBS
2020-04-28 07:00:00,7816,8132,7816,8132,6732100,KBS
2020-04-29 07:00:00,8329,8447,8132,8329,7596170,KBS
2020-05-04 07:00:00,7855,8092,7753,7753,9813410,KBS
2020-05-05 07:00:00,7753,7753,7508,7626,4936160,KBS
2020-05-06 07:00:00,7547,7855,7547,7855,3990060,KBS
2020-05-07 07:00:00,7863,8053,7855,8053,5567040,KBS
2020-05-08 07:00:00,8053,8211,7895,7974,9446390,KBS
2020-05-11 07:00:00,8013,8053,7871,8013,6886910,KBS
2020-05-12 07:00:00,8013,8447,7895,8211,9616910,KBS
2020-05-13 07:00:00,8211,8329,8013,8132,5437450,KBS
2020-05-14 07:00:00,8092,8132,8013,8013,4737210,KBS
2020-05-15 07:00:00,8013,8171,7879,7895,6774570,KBS
2020-05-18 07:00:00,7934,8013,7863,7974,4182830,KBS
2020-05-19 07:00:00,8132,8132,8013,8053,5691970,KBS
2020-05-20 07:00:00,8053,8092,7974,8053,2829110,KBS
2020-05-21 07:00:00,8092,8132,7974,8053,3418370,KBS
2020-05-22 07:00:00,8013,8053,7974,7974,3427860,KBS
2020-05-25 07:00:00,7974,8211,7895,8053,6129070,KBS
2020-05-26 07:00:00,8132,8447,8092,8368,9494050,KBS
2020-05-27 07:00:00,8526,8566,8132,8132,6554400,KBS
2020-05-28 07:00:00,8171,8289,8092,8211,4370760,KBS
2020-05-29 07:00:00,8211,8211,8092,8092,3266210,KBS
2020-06-01 07:00:00,8132,8289,8053,8250,5895450,KBS
2020-06-02 07:00:00,8250,8526,8211,8289,8399210,KBS
2020-06-03 07:00:00,8289,8368,8289,8368,1852120,KBS
2020-06-04 07:00:00,8368,8447,8329,8368,4422880,KBS
2020-06-05 07:00:00,8250,8368,8250,8329,3629740,KBS
2020-06-08 07:00:00,8368,8645,8329,8447,9229590,KBS
2020-06-09 07:00:00,8447,8842,8408,8724,11287760,KBS
2020-06-10 07:00:00,8763,9158,8645,8882,8462490,KBS
2020-06-11 07:00:00,8882,9000,8289,8289,8025890,KBS
2020-06-12 07:00:00,7895,8250,7855,8250,8061350,KBS
2020-06-15 07:00:00,8408,8605,8250,8289,7993180,KBS
2020-06-16 07:00:00,8566,8566,8368,8447,2829510,KBS
2020-06-17 07:00:00,8487,8526,8250,8329,2289770,KBS
2020-06-18 07:00:00,8211,8289,8132,8211,2110880,KBS
