date,open,high,low,close,volume,_source
2020-01-08 07:00:00,8595,9823,8595,9823,200,KBS
2020-01-09 07:00:00,9823,10164,10164,10164,100,KBS
2020-01-10 07:00:00,11119,11119,11119,11119,100,KBS
2020-01-13 07:00:00,10028,11529,10028,11529,236,KBS
2020-01-14 07:00:00,12279,12279,12279,12279,100,KBS
2020-01-15 07:00:00,12211,12211,12211,12211,100,KBS
2020-01-16 07:00:00,12143,12143,12143,12143,100,KBS
2020-01-17 07:00:00,11870,11870,11870,11870,100,KBS
2020-01-20 07:00:00,12211,12211,12211,12211,200,KBS
2020-01-21 07:00:00,12211,12211,12211,12211,100,KBS
2020-01-22 07:00:00,13370,13370,13370,13370,100,KBS
2020-01-30 07:00:00,14667,14667,14667,14667,100,KBS
2020-02-03 07:00:00,15963,15963,15963,15963,100,KBS
2020-02-04 07:00:00,17327,17327,17327,17327,100,KBS
2020-02-06 07:00:00,17327,17327,15622,15622,200,KBS
2020-02-07 07:00:00,14121,14121,14121,14121,100,KBS
2020-02-10 07:00:00,12757,12757,12757,12757,100,KBS
2020-02-11 07:00:00,11529,11529,11529,11529,110,KBS
2020-02-12 07:00:00,11529,11529,11529,11529,30,KBS
2020-02-13 07:00:00,11529,11529,11529,11529,12,KBS
2020-02-14 07:00:00,10574,10574,10574,10574,100,KBS
2020-02-17 07:00:00,9891,9891,9891,9891,1001,KBS
2020-02-18 07:00:00,9891,9891,9891,9891,10,KBS
2020-02-19 07:00:00,9891,9891,9891,9891,49,KBS
2020-02-24 07:00:00,9891,9891,9891,9891,10,KBS
2020-02-25 07:00:00,9209,9209,9209,9209,520,KBS
2020-02-28 07:00:00,9209,9209,9209,9209,36,KBS
2020-03-04 07:00:00,9209,9209,9209,9209,28,KBS
2020-03-09 07:00:00,9209,9209,8868,8868,3500,KBS
2020-03-10 07:00:00,8050,8050,8050,8050,100,KBS
2020-03-11 07:00:00,8527,8527,8527,8527,100,KBS
2020-03-12 07:00:00,8527,9346,8527,9346,1400,KBS
2020-03-17 07:00:00,8459,8459,8459,8459,100,KBS
2020-03-20 07:00:00,7640,9277,7640,9277,300,KBS
2020-03-25 07:00:00,10164,10164,10164,10164,100,KBS
2020-03-30 07:00:00,11119,11119,11119,11119,100,KBS
2020-03-31 07:00:00,10028,10028,10028,10028,100,KBS
2020-04-03 07:00:00,10028,10028,10028,10028,200,KBS
2020-04-08 07:00:00,9073,9073,9073,9073,1000,KBS
2020-04-10 07:00:00,9823,9823,9823,9823,1000,KBS
2020-04-17 07:00:00,10233,10233,10233,10233,44800,KBS
2020-04-22 07:00:00,10233,10233,10233,10233,1000,KBS
2020-05-27 07:00:00,10846,10846,10846,10846,100,KBS
2020-06-08 07:00:00,11529,11529,11529,11529,2200,KBS
2020-06-15 07:00:00,11460,11460,11460,11460,100,KBS
2020-06-22 07:00:00,11529,11529,11529,11529,510,KBS
2020-06-23 07:00:00,11597,11597,11597,11597,400,KBS
2020-06-30 07:00:00,11597,11597,11597,11597,10,KBS
2020-07-07 07:00:00,11597,11597,11597,11597,10,KBS
2020-07-21 07:00:00,11597,11597,11597,11597,2,KBS
2020-08-05 07:00:00,11597,11597,11597,11597,19,KBS
2020-08-06 07:00:00,11597,11597,11597,11597,1,KBS
2020-08-11 07:00:00,11597,11597,11597,11597,100,KBS
2020-08-21 07:00:00,11449,11449,11449,11449,100,KBS
2020-08-26 07:00:00,11449,11449,11449,11449,1,KBS
2020-08-28 07:00:00,12557,12557,12557,12557,100,KBS
2020-08-31 07:00:00,12557,12557,12557,12557,100,KBS
2020-09-04 07:00:00,11301,11301,11301,11301,100,KBS
