date,open,high,low,close,volume,_source
2020-01-02 07:00:00,15669,15727,15379,15669,411669,KBS
2020-01-03 07:00:00,15553,16829,15553,15959,43337,KBS
2020-01-06 07:00:00,15959,15959,15553,15669,54894,KBS
2020-01-07 07:00:00,15669,15669,15553,15611,66448,KBS
2020-01-08 07:00:00,15553,15553,15379,15437,120052,KBS
2020-01-09 07:00:00,15379,15553,13173,15495,72650,KBS
2020-01-10 07:00:00,15437,15669,15437,15611,115362,KBS
2020-01-13 07:00:00,15553,15843,15553,15727,64447,KBS
2020-01-14 07:00:00,15669,15727,15553,15669,38050,KBS
2020-01-15 07:00:00,15669,15727,15611,15669,105118,KBS
2020-01-16 07:00:00,15669,15727,15611,15669,145386,KBS
2020-01-17 07:00:00,15669,15669,15553,15553,101431,KBS
2020-01-20 07:00:00,15669,15727,15495,15669,67340,KBS
2020-01-21 07:00:00,15669,15727,15611,15669,98161,KBS
2020-01-22 07:00:00,15785,16191,15727,16075,67010,KBS
2020-01-30 07:00:00,15959,16249,15901,15959,90010,KBS
2020-01-31 07:00:00,16017,16017,15843,15959,206877,KBS
2020-02-03 07:00:00,15785,15785,13522,15669,131230,KBS
2020-02-04 07:00:00,15669,15901,15553,15901,261764,KBS
2020-02-05 07:00:00,15785,16191,15785,16133,224712,KBS
2020-02-06 07:00:00,16075,16597,16075,16365,321342,KBS
2020-02-07 07:00:00,16539,16539,16365,16481,140660,KBS
2020-02-10 07:00:00,16539,16655,16481,16481,117419,KBS
2020-02-11 07:00:00,16481,16539,14160,16423,157116,KBS
2020-02-12 07:00:00,16481,16946,16481,16887,358778,KBS
2020-02-13 07:00:00,16946,17468,16829,17120,254816,KBS
2020-02-14 07:00:00,17120,17178,17120,17120,199540,KBS
2020-02-17 07:00:00,17120,17120,16829,17004,320912,KBS
2020-02-18 07:00:00,17004,17004,17004,16771,151090,KBS
2020-02-19 07:00:00,16829,16829,16655,16771,170102,KBS
2020-02-20 07:00:00,16827,16947,16346,16586,76122,KBS
2020-02-21 07:00:00,16586,16827,16346,16346,197440,KBS
2020-02-24 07:00:00,16286,16286,15745,15805,224450,KBS
2020-02-25 07:00:00,15745,16045,15565,15925,41622,KBS
2020-02-26 07:00:00,15925,15925,15805,15805,60289,KBS
2020-02-27 07:00:00,15865,15865,15625,15685,49544,KBS
2020-02-28 07:00:00,15685,15745,15505,15625,96376,KBS
2020-03-02 07:00:00,15505,15565,15264,15324,182440,KBS
2020-03-03 07:00:00,15384,15444,15204,15324,141249,KBS
2020-03-04 07:00:00,15324,15324,15204,15324,88600,KBS
2020-03-05 07:00:00,15444,15985,15444,15865,101289,KBS
2020-03-06 07:00:00,15805,15865,15625,15805,38830,KBS
2020-03-09 07:00:00,15745,15745,14843,14904,266662,KBS
2020-03-10 07:00:00,14964,14964,14663,14783,135580,KBS
2020-03-11 07:00:00,15024,15505,14663,14723,293952,KBS
2020-03-12 07:00:00,15024,15024,14363,14543,177356,KBS
2020-03-13 07:00:00,14363,14543,14122,14543,232474,KBS
2020-03-16 07:00:00,14303,14363,14122,14182,385289,KBS
2020-03-17 07:00:00,14122,14122,13521,13581,291240,KBS
2020-03-18 07:00:00,13521,13822,13461,13521,203509,KBS
2020-03-19 07:00:00,13581,13581,13221,13221,261430,KBS
2020-03-20 07:00:00,13221,13521,13161,13401,401084,KBS
2020-03-23 07:00:00,13401,13401,12019,12019,573363,KBS
2020-03-24 07:00:00,12019,12620,12019,12560,491099,KBS
2020-03-25 07:00:00,12560,13401,12560,13341,586235,KBS
2020-03-26 07:00:00,13341,14483,13221,13581,472586,KBS
2020-03-27 07:00:00,14062,14062,13341,13762,123230,KBS
2020-03-30 07:00:00,13221,13581,12981,13401,83760,KBS
2020-03-31 07:00:00,13221,13702,13221,13461,277731,KBS
2020-04-01 07:00:00,13341,13942,13341,13942,173968,KBS
2020-04-03 07:00:00,13942,14543,13942,14483,487573,KBS
2020-04-06 07:00:00,14543,15084,14543,14964,366604,KBS
2020-04-07 07:00:00,15144,15204,14783,14843,273620,KBS
2020-04-08 07:00:00,14783,14783,12680,14783,272555,KBS
2020-04-09 07:00:00,14723,14964,14723,14964,251775,KBS
2020-04-10 07:00:00,14964,15024,12680,14904,169010,KBS
2020-04-13 07:00:00,14423,14964,14423,14843,291836,KBS
2020-04-14 07:00:00,14964,14964,14483,14543,502830,KBS
2020-04-15 07:00:00,14723,14783,14483,14603,695091,KBS
2020-04-16 07:00:00,14571,14763,14314,14378,256400,KBS
2020-04-17 07:00:00,14378,15084,14378,14827,331260,KBS
2020-04-20 07:00:00,14763,14956,14583,14827,136413,KBS
2020-04-21 07:00:00,14892,14892,14442,14442,228395,KBS
2020-04-22 07:00:00,14571,14571,14186,14442,260275,KBS
2020-04-23 07:00:00,14506,14571,14442,14571,34820,KBS
2020-04-24 07:00:00,14571,14635,14442,14635,124412,KBS
2020-04-27 07:00:00,14635,14892,14571,14699,236177,KBS
2020-04-28 07:00:00,14699,14763,14635,14699,76649,KBS
2020-04-29 07:00:00,14699,14827,14635,14699,156570,KBS
2020-05-04 07:00:00,14763,14763,14378,14635,205580,KBS
2020-05-05 07:00:00,14699,14699,14314,14571,127980,KBS
2020-05-06 07:00:00,14442,14699,14442,14571,163179,KBS
2020-05-07 07:00:00,14571,14635,14506,14571,77520,KBS
2020-05-08 07:00:00,14571,14827,14571,14763,408751,KBS
2020-05-11 07:00:00,14827,15020,14763,14892,360988,KBS
2020-05-12 07:00:00,14956,14956,14827,14956,310506,KBS
2020-05-13 07:00:00,14892,15148,14892,15084,430336,KBS
2020-05-14 07:00:00,15084,15277,15084,15213,323310,KBS
2020-05-15 07:00:00,15213,15341,15084,15148,198781,KBS
2020-05-18 07:00:00,15084,15148,15020,15084,316747,KBS
2020-05-19 07:00:00,15277,15533,12838,15405,853878,KBS
2020-05-20 07:00:00,15533,15533,15277,15341,300104,KBS
2020-05-21 07:00:00,15405,15598,15341,15598,338066,KBS
2020-05-22 07:00:00,15405,15662,15341,15662,469416,KBS
2020-05-25 07:00:00,15598,16368,15533,16304,557497,KBS
2020-05-26 07:00:00,16175,16946,16175,16817,389886,KBS
2020-05-27 07:00:00,16817,16817,16368,16368,431012,KBS
2020-05-28 07:00:00,16368,16625,14763,16496,312117,KBS
2020-05-29 07:00:00,16560,16625,14763,16560,236942,KBS
2020-06-01 07:00:00,16496,16817,16496,16753,176819,KBS
2020-06-02 07:00:00,16753,17010,16689,16753,231838,KBS
2020-06-03 07:00:00,16689,16753,16625,16689,118079,KBS
2020-06-04 07:00:00,16689,16689,16560,16689,128125,KBS
2020-06-05 07:00:00,16625,16753,16560,16753,203954,KBS
2020-06-08 07:00:00,16753,16881,16625,16753,320832,KBS
2020-06-09 07:00:00,16817,17010,16689,17010,484040,KBS
2020-06-10 07:00:00,17010,17202,16881,17010,478843,KBS
2020-06-11 07:00:00,17010,17202,16817,17074,529935,KBS
2020-06-12 07:00:00,16881,17074,16496,17010,407770,KBS
2020-06-15 07:00:00,16817,17074,16689,17010,330160,KBS
2020-06-16 07:00:00,17138,17523,17010,17395,436998,KBS
2020-06-17 07:00:00,17395,17395,17267,17395,116051,KBS
2020-06-18 07:00:00,17395,17459,17331,17331,79642,KBS
2020-06-19 07:00:00,17395,17523,17331,17523,283848,KBS
2020-06-22 07:00:00,17459,17844,17459,17780,261671,KBS
2020-06-23 07:00:00,17844,18743,17844,18679,767985,KBS
2020-06-24 07:00:00,18679,20348,15726,19513,873331,KBS
2020-06-25 07:00:00,19641,19641,18614,19128,237837,KBS
2020-06-26 07:00:00,19000,19641,19000,19128,359350,KBS
2020-06-29 07:00:00,18614,19256,18229,18294,303281,KBS
2020-06-30 07:00:00,18614,18935,15854,18614,265306,KBS
2020-07-01 07:00:00,17908,18935,16047,18807,1048006,KBS
2020-07-02 07:00:00,18679,19256,18614,18935,155980,KBS
2020-07-03 07:00:00,17908,19898,17908,19321,490647,KBS
2020-07-06 07:00:00,19256,20219,16432,19706,413867,KBS
2020-07-07 07:00:00,19770,20091,16817,19898,333656,KBS
2020-07-08 07:00:00,19706,20091,17010,20027,389765,KBS
2020-07-09 07:00:00,19770,20219,19770,20027,267230,KBS
2020-07-10 07:00:00,19898,20283,19898,20219,667093,KBS
2020-07-13 07:00:00,20155,20925,20155,20669,279943,KBS
2020-07-14 07:00:00,20861,20861,20540,20669,126518,KBS
2020-07-15 07:00:00,20733,20797,20669,20669,61606,KBS
2020-07-16 07:00:00,20733,20733,20540,20540,113672,KBS
2020-07-17 07:00:00,20540,20861,20476,20733,329681,KBS
2020-07-20 07:00:00,20861,20925,20733,20797,284757,KBS
2020-07-21 07:00:00,20733,20861,20348,20348,335070,KBS
2020-07-22 07:00:00,20540,20540,19256,20155,378900,KBS
2020-07-23 07:00:00,19962,20348,19834,20091,205741,KBS
