date,open,high,low,close,volume,_source
2020-01-02 07:00:00,16003,16444,15915,16290,941730,KBS
2020-01-03 07:00:00,16290,16334,16092,16092,705830,KBS
2020-01-06 07:00:00,16003,16312,15915,16070,494170,KBS
2020-01-07 07:00:00,16092,16246,16047,16158,434670,KBS
2020-01-08 07:00:00,16047,16136,15695,15739,1276850,KBS
2020-01-09 07:00:00,15871,15959,15739,15739,703580,KBS
2020-01-10 07:00:00,15739,15893,15717,15739,444310,KBS
2020-01-13 07:00:00,15739,15871,15717,15761,297520,KBS
2020-01-14 07:00:00,15761,15871,15761,15783,304650,KBS
2020-01-15 07:00:00,15783,15849,15629,15673,504130,KBS
2020-01-16 07:00:00,15761,16092,15717,16047,962640,KBS
2020-01-17 07:00:00,15981,16290,15981,16092,737100,KBS
2020-01-20 07:00:00,16025,16290,16025,16202,680270,KBS
2020-01-21 07:00:00,16312,16532,16268,16444,941950,KBS
2020-01-22 07:00:00,16532,16532,16136,16312,973340,KBS
2020-01-30 07:00:00,16003,16180,15783,15783,966270,KBS
2020-01-31 07:00:00,15651,15761,14945,14945,1571820,KBS
2020-02-03 07:00:00,14593,14923,14042,14769,1696970,KBS
2020-02-04 07:00:00,14857,15078,14681,14725,797830,KBS
2020-02-05 07:00:00,14813,15033,14681,14681,784800,KBS
2020-02-06 07:00:00,14835,15254,14725,14989,936170,KBS
2020-02-07 07:00:00,14989,15033,14879,14945,615350,KBS
2020-02-10 07:00:00,14769,14945,14769,14791,530950,KBS
2020-02-11 07:00:00,14901,15166,14901,15100,751090,KBS
2020-02-12 07:00:00,15210,15430,15210,15320,784950,KBS
2020-02-13 07:00:00,15210,15342,15166,15342,653670,KBS
2020-02-14 07:00:00,15320,15496,15298,15496,419140,KBS
2020-02-17 07:00:00,15518,15717,15342,15430,801580,KBS
2020-02-18 07:00:00,15430,15607,15386,15474,555770,KBS
2020-02-19 07:00:00,15518,15518,15430,15496,321530,KBS
2020-02-20 07:00:00,15651,15739,15474,15717,821320,KBS
2020-02-21 07:00:00,15563,15739,15430,15430,517740,KBS
2020-02-24 07:00:00,15100,15254,14835,14835,1031360,KBS
2020-02-25 07:00:00,14593,15166,14593,15100,641090,KBS
2020-02-26 07:00:00,14857,15144,14857,15033,583350,KBS
2020-02-27 07:00:00,14945,15254,14901,15254,619200,KBS
2020-02-28 07:00:00,14945,15122,14923,15033,648880,KBS
2020-03-02 07:00:00,15265,15265,15010,15010,633770,KBS
2020-03-03 07:00:00,15172,15195,14987,14987,523910,KBS
2020-03-04 07:00:00,15010,15149,14872,14987,382980,KBS
2020-03-05 07:00:00,15195,15195,14895,14895,436970,KBS
2020-03-06 07:00:00,14848,14987,14640,14802,536990,KBS
2020-03-09 07:00:00,14108,14478,13785,13831,2151310,KBS
2020-03-10 07:00:00,13669,14085,13415,14016,601060,KBS
2020-03-11 07:00:00,14016,14224,13553,13808,1195030,KBS
2020-03-12 07:00:00,13229,13415,12883,12952,1147630,KBS
2020-03-13 07:00:00,12142,13276,12142,13044,1340020,KBS
2020-03-16 07:00:00,12813,13183,12813,12975,892480,KBS
2020-03-17 07:00:00,12813,13877,12813,13831,1234080,KBS
2020-03-18 07:00:00,14340,14340,13877,14016,567680,KBS
2020-03-19 07:00:00,13877,13946,13646,13785,568630,KBS
2020-03-20 07:00:00,13785,13877,13669,13785,409020,KBS
2020-03-23 07:00:00,13415,13438,12836,12836,1248330,KBS
2020-03-24 07:00:00,13137,13229,12813,13044,463230,KBS
2020-03-25 07:00:00,13322,13646,13160,13507,358100,KBS
2020-03-26 07:00:00,13229,13461,13114,13114,336770,KBS
2020-03-27 07:00:00,13091,13114,12929,12952,392970,KBS
2020-03-30 07:00:00,12582,12929,12258,12674,597290,KBS
2020-03-31 07:00:00,12674,13044,12073,12628,509950,KBS
2020-04-01 07:00:00,12859,13160,12721,13091,365330,KBS
2020-04-03 07:00:00,13253,13461,13206,13345,397310,KBS
2020-04-06 07:00:00,13553,13993,13461,13970,572640,KBS
2020-04-07 07:00:00,14085,14085,13461,13877,467970,KBS
2020-04-08 07:00:00,13484,13854,13461,13785,326710,KBS
2020-04-09 07:00:00,13808,14062,13761,13808,651200,KBS
2020-04-10 07:00:00,13808,14386,13785,14039,1022970,KBS
2020-04-13 07:00:00,14039,14293,13831,14062,586150,KBS
2020-04-14 07:00:00,14062,14155,13831,14085,589070,KBS
2020-04-15 07:00:00,14108,14502,14085,14340,1219270,KBS
2020-04-16 07:00:00,14224,14340,14178,14247,406410,KBS
2020-04-17 07:00:00,14247,14525,14247,14340,617040,KBS
2020-04-20 07:00:00,14340,14478,14178,14270,384660,KBS
2020-04-21 07:00:00,14155,14247,13553,13553,1202790,KBS
2020-04-22 07:00:00,13415,13854,13368,13623,752290,KBS
2020-04-23 07:00:00,13877,13877,13646,13646,811490,KBS
2020-04-24 07:00:00,13600,14178,13600,14155,914120,KBS
2020-04-27 07:00:00,14270,14386,14016,14108,446050,KBS
2020-04-28 07:00:00,14108,14108,13854,14039,357440,KBS
2020-04-29 07:00:00,13877,14085,13877,13877,547650,KBS
2020-05-04 07:00:00,13669,13877,13669,13692,643730,KBS
2020-05-05 07:00:00,13692,13877,13692,13877,226730,KBS
2020-05-06 07:00:00,13877,14062,13877,14062,190640,KBS
2020-05-07 07:00:00,14108,14201,14016,14155,370940,KBS
2020-05-08 07:00:00,14270,14525,14085,14155,853130,KBS
2020-05-11 07:00:00,14201,14317,14108,14201,349490,KBS
2020-05-12 07:00:00,14201,14548,14085,14478,924900,KBS
2020-05-13 07:00:00,14478,14802,14293,14802,1001410,KBS
2020-05-14 07:00:00,14617,14848,14617,14779,460710,KBS
2020-05-15 07:00:00,14779,14779,14293,14525,678800,KBS
2020-05-18 07:00:00,14363,14502,14270,14502,495250,KBS
2020-05-19 07:00:00,14571,14687,14478,14548,1133970,KBS
2020-05-20 07:00:00,14548,14571,14455,14525,380660,KBS
2020-05-21 07:00:00,14525,14710,14432,14710,515860,KBS
2020-05-22 07:00:00,14617,14617,14432,14432,408660,KBS
2020-05-25 07:00:00,14432,14478,14317,14432,415190,KBS
2020-05-26 07:00:00,14432,15033,14432,15033,1489950,KBS
2020-05-27 07:00:00,15033,15080,14594,14594,959990,KBS
2020-05-28 07:00:00,14710,14733,14525,14548,486440,KBS
2020-05-29 07:00:00,14548,14548,14409,14455,477830,KBS
2020-06-01 07:00:00,14478,14710,14478,14663,454600,KBS
2020-06-02 07:00:00,14710,14802,14594,14640,432350,KBS
2020-06-03 07:00:00,14640,14710,14617,14663,517360,KBS
2020-06-04 07:00:00,14663,14848,14663,14802,1061670,KBS
2020-06-05 07:00:00,14802,14802,14733,14802,578070,KBS
2020-06-08 07:00:00,14895,15080,14802,14872,1386640,KBS
2020-06-09 07:00:00,15033,15033,14756,14779,585770,KBS
2020-06-10 07:00:00,14779,14779,14640,14779,480400,KBS
2020-06-11 07:00:00,14779,14802,14108,14108,1435460,KBS
2020-06-12 07:00:00,13646,14293,13646,14247,836600,KBS
2020-06-15 07:00:00,14247,14270,13993,13993,482990,KBS
2020-06-16 07:00:00,14108,14201,14062,14201,340070,KBS
2020-06-17 07:00:00,14293,14293,14108,14178,181910,KBS
2020-06-18 07:00:00,14062,14293,14062,14293,147730,KBS
2020-06-19 07:00:00,14293,14548,14247,14525,224740,KBS
2020-06-22 07:00:00,14432,14525,14386,14455,205170,KBS
2020-06-23 07:00:00,14525,14571,14455,14502,266000,KBS
2020-06-24 07:00:00,14478,14594,14386,14502,261380,KBS
2020-06-25 07:00:00,14340,14386,14247,14386,186020,KBS
2020-06-26 07:00:00,14386,14548,14247,14432,100190,KBS
2020-06-29 07:00:00,14201,14340,14155,14201,353270,KBS
2020-06-30 07:00:00,14201,14293,14178,14178,339550,KBS
2020-07-01 07:00:00,14178,14317,14178,14270,96080,KBS
2020-07-02 07:00:00,14293,14386,14247,14317,123890,KBS
