date,open,high,low,close,volume,_source
2020-01-02 07:00:00,17077,17077,16781,17018,600,KBS
2020-01-03 07:00:00,16832,16832,16832,16832,10,KBS
2020-01-06 07:00:00,16399,16399,16399,16399,220,KBS
2020-01-07 07:00:00,17327,17327,16461,16461,40,KBS
2020-01-08 07:00:00,16089,16089,16089,16089,20,KBS
2020-01-09 07:00:00,16708,16708,16708,16708,30,KBS
2020-01-10 07:00:00,17018,17018,17018,17018,1780,KBS
2020-01-13 07:00:00,16399,17080,16399,16399,130,KBS
2020-01-14 07:00:00,16708,16708,16708,16708,10,KBS
2020-01-15 07:00:00,16708,16708,16708,16708,2010,KBS
2020-01-16 07:00:00,17018,17018,17018,17018,500,KBS
2020-01-17 07:00:00,17018,17018,16894,17018,2900,KBS
2020-01-20 07:00:00,17018,17018,17018,17018,920,KBS
2020-01-22 07:00:00,17080,17080,17080,17080,3000,KBS
2020-01-30 07:00:00,16770,16770,16770,16770,90,KBS
2020-01-31 07:00:00,16770,16770,16770,16770,10,KBS
2020-02-03 07:00:00,16832,16832,16832,16832,40,KBS
2020-02-04 07:00:00,15842,17018,15842,17018,20,KBS
2020-02-05 07:00:00,17018,17018,17018,17018,1950,KBS
2020-02-06 07:00:00,17389,17389,17080,17080,20,KBS
2020-02-07 07:00:00,17451,17451,16399,16399,20,KBS
2020-02-10 07:00:00,17141,17141,16708,16708,20,KBS
2020-02-11 07:00:00,17018,17018,17018,17018,20,KBS
2020-02-12 07:00:00,16708,17080,16430,16894,560,KBS
2020-02-13 07:00:00,16708,16708,16708,16708,10,KBS
2020-02-17 07:00:00,16708,17018,16708,17018,70,KBS
2020-02-21 07:00:00,16708,17451,16708,17451,900,KBS
2020-02-25 07:00:00,17637,17637,17018,17018,20,KBS
2020-02-26 07:00:00,17327,17327,17327,17327,10,KBS
2020-02-27 07:00:00,17451,17451,17451,17451,10,KBS
2020-02-28 07:00:00,17327,17327,17080,17327,340,KBS
2020-03-02 07:00:00,17327,17327,17018,17018,3470,KBS
2020-03-03 07:00:00,17018,17018,17018,17018,1350,KBS
2020-03-04 07:00:00,16956,17389,16956,17327,103380,KBS
2020-03-05 07:00:00,17018,17080,17018,17080,2630,KBS
2020-03-06 07:00:00,17544,17544,17080,17080,20,KBS
2020-03-10 07:00:00,17080,17080,17080,17080,330,KBS
2020-03-11 07:00:00,17141,17141,17141,17141,10,KBS
2020-03-12 07:00:00,17141,17141,17018,17018,350,KBS
2020-03-13 07:00:00,16708,16832,16708,16832,6480,KBS
2020-03-16 07:00:00,16894,17018,16708,16832,4510,KBS
2020-03-17 07:00:00,16832,17018,16708,17018,5420,KBS
2020-03-18 07:00:00,16832,17141,16708,17141,3110,KBS
2020-03-19 07:00:00,17203,17203,16708,16956,2710,KBS
2020-03-20 07:00:00,17080,17080,16832,16832,80,KBS
2020-03-23 07:00:00,16770,16832,16770,16832,1500,KBS
