date,open,high,low,close,volume,_source
2020-01-02 07:00:00,85876,85876,84369,84369,28600,KBS
2020-01-03 07:00:00,84369,85499,84369,84595,17590,KBS
2020-01-06 07:00:00,83993,84558,83804,84294,35850,KBS
2020-01-07 07:00:00,83842,84708,83842,84369,15580,KBS
2020-01-08 07:00:00,84558,84558,83842,84068,30610,KBS
2020-01-09 07:00:00,83616,85838,83239,85499,54030,KBS
2020-01-10 07:00:00,85499,88324,85499,87948,55770,KBS
2020-01-13 07:00:00,87948,88626,87948,88098,22590,KBS
2020-01-14 07:00:00,87383,88098,87383,87759,9340,KBS
2020-01-15 07:00:00,87759,88324,87759,88136,22540,KBS
2020-01-16 07:00:00,87759,88475,87759,87872,9270,KBS
2020-01-17 07:00:00,87872,88324,87759,88324,12580,KBS
2020-01-20 07:00:00,87759,88889,87759,88889,17170,KBS
2020-01-21 07:00:00,88889,88889,87759,87759,52160,KBS
2020-01-22 07:00:00,87759,88889,87044,87571,11510,KBS
2020-01-30 07:00:00,87157,87157,82109,82109,38140,KBS
2020-01-31 07:00:00,79850,84972,76836,79850,24730,KBS
2020-02-03 07:00:00,74275,79850,74275,78682,16880,KBS
2020-02-04 07:00:00,78682,78682,75330,76460,167140,KBS
2020-02-05 07:00:00,76460,76460,73070,73070,43870,KBS
2020-02-06 07:00:00,73070,74953,71300,71563,165080,KBS
2020-02-07 07:00:00,72317,74953,71940,73447,47950,KBS
2020-02-10 07:00:00,74953,74953,73447,73447,69570,KBS
2020-02-11 07:00:00,73447,73447,73070,73070,26300,KBS
2020-02-12 07:00:00,73786,73786,71940,71940,57410,KBS
2020-02-13 07:00:00,73590,73590,72132,73283,76770,KBS
2020-02-14 07:00:00,74012,74050,72554,72822,38650,KBS
2020-02-17 07:00:00,72822,72899,71364,71364,31460,KBS
2020-02-18 07:00:00,70021,70213,68295,68295,86320,KBS
2020-02-19 07:00:00,67911,69062,67144,68295,105560,KBS
2020-02-20 07:00:00,69062,69254,68640,69062,280190,KBS
2020-02-21 07:00:00,69062,69676,69062,69292,45380,KBS
2020-02-24 07:00:00,69139,69139,67950,68295,43780,KBS
2020-02-25 07:00:00,69062,69062,67681,68295,16230,KBS
2020-02-26 07:00:00,68832,68832,67604,67911,79880,KBS
2020-02-27 07:00:00,67911,67988,66453,66453,46300,KBS
2020-02-28 07:00:00,66108,66108,62156,62156,76910,KBS
2020-03-02 07:00:00,62156,66376,62156,65225,179490,KBS
2020-03-03 07:00:00,66185,66185,64842,65225,129270,KBS
2020-03-04 07:00:00,65225,65379,64458,64842,30310,KBS
2020-03-05 07:00:00,64842,65225,64842,64842,65380,KBS
2020-03-06 07:00:00,64842,64842,62156,62386,38170,KBS
2020-03-09 07:00:00,58703,61005,58051,59585,107570,KBS
2020-03-10 07:00:00,59585,61350,57936,59585,39620,KBS
2020-03-11 07:00:00,59624,61389,58319,58319,73120,KBS
2020-03-12 07:00:00,57283,61350,54521,55480,38400,KBS
2020-03-13 07:00:00,52948,58703,52948,55250,54560,KBS
2020-03-16 07:00:00,54482,57552,53331,57552,46800,KBS
2020-03-17 07:00:00,54099,57552,54099,54137,25320,KBS
2020-03-18 07:00:00,54137,55979,52180,52180,49230,KBS
2020-03-19 07:00:00,50070,52948,48727,48727,40740,KBS
2020-03-20 07:00:00,48727,50262,46080,48344,51940,KBS
2020-03-23 07:00:00,46425,48152,44967,44967,38230,KBS
2020-03-24 07:00:00,42972,45965,42780,44315,24520,KBS
2020-03-25 07:00:00,44507,47193,44468,46041,137910,KBS
2020-03-26 07:00:00,46617,48574,46041,47960,188080,KBS
2020-03-27 07:00:00,47960,50761,47960,49725,145570,KBS
2020-03-30 07:00:00,49725,49878,46272,46464,24210,KBS
2020-03-31 07:00:00,46464,49456,46464,47193,19220,KBS
2020-04-01 07:00:00,46886,49073,46272,47231,33750,KBS
2020-04-03 07:00:00,49686,49840,47960,47960,67800,KBS
2020-04-06 07:00:00,49495,51221,48727,50646,85700,KBS
2020-04-07 07:00:00,52948,53331,50646,52564,67530,KBS
2020-04-08 07:00:00,52948,54674,52180,52948,86700,KBS
2020-04-09 07:00:00,53715,56631,53715,53715,236310,KBS
