date,open,high,low,close,volume,_source
2020-01-02 07:00:00,6988,6988,6795,6904,33930,KBS
2020-01-03 07:00:00,6904,6946,6736,6946,271420,KBS
2020-01-06 07:00:00,6904,7426,6904,7426,83750,KBS
2020-01-07 07:00:00,7493,7746,7426,7443,75770,KBS
2020-01-08 07:00:00,7434,7434,7325,7426,61020,KBS
2020-01-09 07:00:00,7443,7493,7325,7493,75990,KBS
2020-01-10 07:00:00,7451,7468,7367,7468,51490,KBS
2020-01-13 07:00:00,7325,7544,7325,7519,216310,KBS
2020-01-14 07:00:00,7519,8041,7519,7999,280780,KBS
2020-01-15 07:00:00,8167,8167,7914,8041,86220,KBS
2020-01-16 07:00:00,8041,8167,7956,8066,62640,KBS
2020-01-17 07:00:00,7999,8116,7923,8041,86210,KBS
2020-01-20 07:00:00,7872,8024,7855,7855,157090,KBS
2020-01-21 07:00:00,7839,8125,7763,8125,45110,KBS
2020-01-22 07:00:00,7923,8251,7746,8251,279110,KBS
2020-01-30 07:00:00,8293,8293,7999,8083,147420,KBS
2020-01-31 07:00:00,8083,8083,7830,8041,108100,KBS
2020-02-03 07:00:00,7999,7999,7493,7788,145270,KBS
2020-02-04 07:00:00,7746,7813,7670,7805,101170,KBS
2020-02-05 07:00:00,7805,8041,7805,7931,202540,KBS
2020-02-06 07:00:00,7999,8184,7965,8125,88310,KBS
2020-02-07 07:00:00,8125,8125,8041,8108,87730,KBS
2020-02-10 07:00:00,8041,8083,7914,8083,224820,KBS
2020-02-11 07:00:00,8083,8630,7830,8588,485500,KBS
2020-02-12 07:00:00,8588,8840,8588,8714,263120,KBS
2020-02-13 07:00:00,8883,8883,8672,8798,126040,KBS
2020-02-14 07:00:00,8798,8798,8672,8714,140890,KBS
2020-02-17 07:00:00,8672,8714,8335,8504,221990,KBS
2020-02-18 07:00:00,8462,8672,8403,8672,84900,KBS
2020-02-19 07:00:00,8672,8672,8369,8672,157190,KBS
2020-02-20 07:00:00,8504,8504,8335,8335,152420,KBS
2020-02-21 07:00:00,8293,8293,8125,8175,174090,KBS
2020-02-24 07:00:00,8167,8209,8142,8159,126250,KBS
2020-02-25 07:00:00,8125,8159,8125,8159,100100,KBS
2020-02-26 07:00:00,8125,8167,8125,8159,103050,KBS
2020-02-27 07:00:00,8167,8243,8150,8159,137180,KBS
2020-02-28 07:00:00,8159,8335,8142,8167,77290,KBS
2020-03-02 07:00:00,8209,8420,8167,8420,85880,KBS
2020-03-03 07:00:00,8588,8588,8462,8504,48780,KBS
2020-03-04 07:00:00,8504,8504,8335,8420,74880,KBS
2020-03-05 07:00:00,8420,8504,8167,8251,114540,KBS
2020-03-06 07:00:00,8251,8420,8100,8251,183090,KBS
2020-03-09 07:00:00,8083,8100,7679,7999,304380,KBS
2020-03-10 07:00:00,7830,8167,7830,8167,40910,KBS
2020-03-11 07:00:00,8091,8243,8041,8243,55800,KBS
2020-03-12 07:00:00,7999,8083,7670,8083,598570,KBS
2020-03-13 07:00:00,7914,7914,7569,7914,385180,KBS
2020-03-16 07:00:00,8083,8083,7662,7872,311310,KBS
2020-03-17 07:00:00,7578,7914,7519,7914,203850,KBS
2020-03-18 07:00:00,7914,7990,7704,7956,104740,KBS
2020-03-19 07:00:00,7872,7872,7535,7830,259900,KBS
2020-03-20 07:00:00,7830,7830,7561,7704,250940,KBS
2020-03-23 07:00:00,7662,7695,7325,7611,223990,KBS
2020-03-24 07:00:00,7611,7611,7333,7611,200440,KBS
2020-03-25 07:00:00,7687,7729,7535,7611,225050,KBS
2020-03-26 07:00:00,7578,7653,7535,7611,190470,KBS
2020-03-27 07:00:00,7578,7603,7493,7603,269780,KBS
2020-03-30 07:00:00,7578,7578,7409,7578,173840,KBS
2020-03-31 07:00:00,7493,7578,7493,7578,94320,KBS
2020-04-01 07:00:00,7493,7578,7493,7578,101320,KBS
2020-04-03 07:00:00,7578,7578,7418,7569,62270,KBS
2020-04-06 07:00:00,7502,7670,7502,7662,135410,KBS
2020-04-07 07:00:00,7662,7746,7535,7746,75650,KBS
2020-04-08 07:00:00,7493,7746,7493,7578,132840,KBS
2020-04-09 07:00:00,7578,7729,7535,7729,117070,KBS
2020-04-10 07:00:00,7586,7780,7510,7780,85210,KBS
2020-04-13 07:00:00,7746,7788,7586,7788,155640,KBS
2020-04-14 07:00:00,7746,7788,7662,7763,67750,KBS
2020-04-15 07:00:00,7763,7763,7746,7763,70780,KBS
2020-04-16 07:00:00,7763,7780,7662,7780,61030,KBS
2020-04-17 07:00:00,7780,7830,7763,7822,84440,KBS
2020-04-20 07:00:00,7822,7906,7788,7872,51170,KBS
2020-04-21 07:00:00,7948,7948,7788,7864,80940,KBS
2020-04-22 07:00:00,7746,7864,7746,7746,76490,KBS
2020-04-23 07:00:00,7864,7864,7704,7788,86930,KBS
2020-04-24 07:00:00,7754,7788,7594,7662,108160,KBS
2020-04-27 07:00:00,7620,7746,7620,7746,47460,KBS
2020-04-28 07:00:00,7746,7746,7586,7704,71050,KBS
2020-04-29 07:00:00,7746,7746,7493,7746,106360,KBS
2020-05-04 07:00:00,7704,7704,7578,7662,70800,KBS
2020-05-05 07:00:00,7662,7662,7662,7662,76750,KBS
2020-05-06 07:00:00,7662,7830,7662,7780,141950,KBS
2020-05-07 07:00:00,7780,7872,7771,7788,69570,KBS
2020-05-08 07:00:00,7830,7855,7788,7830,90480,KBS
