date,open,high,low,close,volume,_source
2020-01-02 07:00:00,3403,3403,3403,3403,1550,KBS
2020-01-03 07:00:00,3625,3625,3425,3514,15480,KBS
2020-01-06 07:00:00,3514,3514,3514,3514,60,KBS
2020-01-07 07:00:00,3395,3403,3377,3403,21860,KBS
2020-01-08 07:00:00,3580,3580,3580,3580,10,KBS
2020-01-09 07:00:00,3477,3477,3377,3377,6430,KBS
2020-01-10 07:00:00,3403,3403,3366,3403,20100,KBS
2020-01-13 07:00:00,3403,3403,3329,3329,7560,KBS
2020-01-14 07:00:00,3488,3488,3403,3403,160,KBS
2020-01-15 07:00:00,3403,3403,3384,3384,680,KBS
2020-01-16 07:00:00,3329,3403,3329,3329,2090,KBS
2020-01-17 07:00:00,3329,3329,3329,3329,240,KBS
2020-01-20 07:00:00,3403,3403,3329,3329,3470,KBS
2020-01-21 07:00:00,3336,3473,3336,3366,380,KBS
2020-01-22 07:00:00,3384,3440,3384,3440,15670,KBS
2020-01-30 07:00:00,3403,3403,3255,3403,4270,KBS
2020-01-31 07:00:00,3384,3384,3329,3366,10510,KBS
2020-02-03 07:00:00,3329,3329,3218,3329,320,KBS
2020-02-04 07:00:00,3292,3329,3292,3329,13840,KBS
2020-02-05 07:00:00,3295,3329,3292,3329,50,KBS
2020-02-06 07:00:00,3403,3403,3292,3329,6550,KBS
2020-02-07 07:00:00,3403,3403,3366,3366,1770,KBS
2020-02-10 07:00:00,3366,3366,3366,3366,10,KBS
2020-02-11 07:00:00,3440,3440,3366,3366,220,KBS
2020-02-12 07:00:00,3366,3366,3366,3366,3420,KBS
2020-02-13 07:00:00,3366,3403,3366,3384,5850,KBS
2020-02-14 07:00:00,3403,3403,3329,3329,5700,KBS
2020-02-17 07:00:00,3329,3329,3310,3310,2610,KBS
2020-02-18 07:00:00,3329,3329,3329,3329,1000,KBS
2020-02-19 07:00:00,3329,3329,3329,3329,8250,KBS
2020-02-20 07:00:00,3384,3384,3329,3329,15340,KBS
2020-02-21 07:00:00,3310,3403,3310,3403,230,KBS
2020-02-24 07:00:00,3329,3403,3310,3403,3240,KBS
2020-02-25 07:00:00,3403,3403,3403,3403,10,KBS
2020-02-26 07:00:00,3403,3403,3403,3403,250,KBS
2020-02-27 07:00:00,3329,3395,3329,3395,110,KBS
2020-02-28 07:00:00,3366,3392,3329,3392,6070,KBS
2020-03-02 07:00:00,3329,3329,3329,3329,470,KBS
2020-03-03 07:00:00,3329,3329,3218,3240,8770,KBS
