date,open,high,low,close,volume,_source
2020-01-02 07:00:00,9231,9293,9169,9231,32350,KBS
2020-01-03 07:00:00,9231,9231,9231,9231,10850,KBS
2020-01-06 07:00:00,9169,9169,9169,9169,1000,KBS
2020-01-07 07:00:00,9293,9293,9108,9108,11040,KBS
2020-01-08 07:00:00,9231,9231,9108,9108,8940,KBS
2020-01-09 07:00:00,9477,9477,9108,9108,160,KBS
2020-01-10 07:00:00,9108,9200,9108,9169,2010,KBS
2020-01-13 07:00:00,9169,9231,9108,9108,4240,KBS
2020-01-14 07:00:00,9108,9108,9108,9108,160,KBS
2020-01-15 07:00:00,9200,9293,9200,9293,720,KBS
2020-01-16 07:00:00,9231,9293,9231,9293,1130,KBS
2020-01-17 07:00:00,9293,9354,9262,9262,5730,KBS
2020-01-20 07:00:00,9200,9200,9200,9200,220,KBS
2020-01-21 07:00:00,9231,9293,9200,9293,46550,KBS
2020-01-22 07:00:00,9908,9908,9600,9600,60,KBS
2020-01-30 07:00:00,9477,9477,9200,9200,12990,KBS
2020-01-31 07:00:00,9754,9754,9200,9200,26580,KBS
2020-02-03 07:00:00,8923,9600,8923,9231,34100,KBS
2020-02-04 07:00:00,9231,9231,9231,9231,60,KBS
2020-02-05 07:00:00,9169,9231,9108,9231,15990,KBS
2020-02-06 07:00:00,9262,9293,9169,9293,12880,KBS
2020-02-07 07:00:00,9231,9908,9231,9231,8080,KBS
2020-02-10 07:00:00,9262,9262,9200,9262,54110,KBS
2020-02-11 07:00:00,9231,9262,9169,9262,141120,KBS
2020-02-12 07:00:00,9354,9354,9262,9293,15410,KBS
2020-02-13 07:00:00,9293,9293,9200,9200,53720,KBS
2020-02-14 07:00:00,9231,9231,9231,9231,3230,KBS
2020-02-17 07:00:00,9231,9231,8923,9231,2000,KBS
2020-02-19 07:00:00,9231,9293,9231,9231,15800,KBS
2020-02-20 07:00:00,9293,9293,9200,9200,5770,KBS
2020-02-21 07:00:00,9200,9200,9200,9200,15880,KBS
2020-02-24 07:00:00,9231,9231,9169,9200,10520,KBS
2020-02-25 07:00:00,9231,9231,8616,9231,2720,KBS
2020-02-26 07:00:00,8739,9169,8739,9169,300,KBS
2020-02-28 07:00:00,9169,9169,9108,9169,3960,KBS
2020-03-02 07:00:00,9108,9108,9108,9108,8900,KBS
2020-03-03 07:00:00,9108,9108,9108,9108,10800,KBS
2020-03-04 07:00:00,9200,9200,9046,9169,41830,KBS
2020-03-05 07:00:00,9354,9354,8923,9231,33280,KBS
2020-03-09 07:00:00,8739,9200,8739,8739,9230,KBS
2020-03-10 07:00:00,9323,9323,8739,9108,37790,KBS
2020-03-11 07:00:00,9108,9108,8769,9077,24200,KBS
2020-03-12 07:00:00,8739,8923,8708,8923,2060,KBS
2020-03-13 07:00:00,8616,8923,8493,8893,37060,KBS
2020-03-16 07:00:00,9169,9169,8616,9077,53670,KBS
2020-03-17 07:00:00,8800,8800,8616,8800,67590,KBS
2020-03-18 07:00:00,9108,9108,8585,8954,72050,KBS
2020-03-19 07:00:00,8923,8923,8554,8616,47630,KBS
2020-03-20 07:00:00,8923,8923,8616,8616,79050,KBS
