date,open,high,low,close,volume,_source
2020-01-02 07:00:00,13051,13086,12910,13086,1246310,KBS
2020-01-03 07:00:00,13086,13122,12910,13086,1138760,KBS
2020-01-06 07:00:00,13051,13086,12981,13086,1169180,KBS
2020-01-07 07:00:00,13122,13157,13016,13157,1161080,KBS
2020-01-08 07:00:00,13086,13086,12910,13086,1228120,KBS
2020-01-09 07:00:00,13086,13157,12981,13157,1142480,KBS
2020-01-10 07:00:00,13157,13192,13016,13157,1449550,KBS
2020-01-13 07:00:00,13157,13192,13051,13157,1393950,KBS
2020-01-14 07:00:00,13122,13157,13016,13122,1162070,KBS
2020-01-15 07:00:00,13086,13157,13051,13157,1135920,KBS
2020-01-16 07:00:00,13157,13157,13051,13086,1858230,KBS
2020-01-17 07:00:00,13016,13016,12946,13016,1465060,KBS
2020-01-20 07:00:00,13016,13016,12875,13016,1220390,KBS
2020-01-21 07:00:00,12946,13016,12946,12981,1213840,KBS
2020-01-22 07:00:00,12981,13086,12875,13086,1340690,KBS
2020-01-30 07:00:00,13086,13086,12946,13086,1265830,KBS
2020-01-31 07:00:00,13122,13122,12981,13051,1377900,KBS
2020-02-03 07:00:00,13016,13016,12664,12664,1176470,KBS
2020-02-04 07:00:00,12664,12735,12488,12523,1080060,KBS
2020-02-05 07:00:00,12488,12523,12172,12488,1233740,KBS
2020-02-06 07:00:00,12383,12664,12383,12664,1159630,KBS
2020-02-07 07:00:00,12559,12664,12453,12664,1189610,KBS
2020-02-10 07:00:00,12594,12664,12383,12664,1172120,KBS
2020-02-11 07:00:00,12664,13016,12453,13016,1424250,KBS
2020-02-12 07:00:00,13579,13895,13438,13895,1141920,KBS
2020-02-13 07:00:00,14775,14845,14634,14845,2652950,KBS
2020-02-14 07:00:00,14845,15197,14775,14916,2646120,KBS
2020-02-17 07:00:00,14740,14986,14493,14951,2244210,KBS
2020-02-18 07:00:00,14951,15267,14775,15232,2524060,KBS
2020-02-19 07:00:00,15232,15619,15091,15478,2668960,KBS
2020-02-20 07:00:00,15760,15830,15338,15478,2413050,KBS
2020-02-21 07:00:00,15478,15760,15338,15478,2689720,KBS
2020-02-24 07:00:00,15478,15478,15127,15373,2546690,KBS
2020-02-25 07:00:00,15127,15619,15127,15408,2499440,KBS
2020-02-26 07:00:00,15408,15478,15338,15338,2712300,KBS
2020-02-27 07:00:00,15197,15971,15197,15549,3173970,KBS
2020-02-28 07:00:00,15303,15443,15127,15232,2728040,KBS
2020-03-02 07:00:00,15232,15267,14880,15056,2381980,KBS
2020-03-03 07:00:00,14986,15162,14036,14845,2658250,KBS
2020-03-04 07:00:00,14845,14845,14282,14705,2467610,KBS
2020-03-05 07:00:00,14705,14740,14353,14669,2460490,KBS
2020-03-06 07:00:00,14669,14669,14142,14142,2518130,KBS
2020-03-09 07:00:00,13227,14001,13227,13614,2478570,KBS
2020-03-10 07:00:00,13016,13579,13016,13473,2444540,KBS
2020-03-11 07:00:00,13157,13544,12664,12875,2760890,KBS
2020-03-12 07:00:00,12418,12594,11996,11996,2157000,KBS
2020-03-13 07:00:00,11187,11855,11187,11187,2893260,KBS
2020-03-16 07:00:00,10413,10835,10413,10413,2391460,KBS
2020-03-17 07:00:00,9920,10729,9920,10624,2744430,KBS
2020-03-18 07:00:00,10624,10659,10448,10624,2494440,KBS
2020-03-19 07:00:00,10553,10553,10202,10518,2218220,KBS
2020-03-20 07:00:00,10518,10518,9920,10342,4503760,KBS
2020-03-23 07:00:00,9991,10026,9639,9639,1379360,KBS
2020-03-24 07:00:00,9639,9639,8970,8970,1990370,KBS
2020-03-25 07:00:00,8372,8865,8372,8372,2499150,KBS
2020-03-26 07:00:00,8372,8935,8161,8935,1296160,KBS
2020-03-27 07:00:00,8830,9533,8795,9533,1619660,KBS
