date,open,high,low,close,volume,_source
2020-01-02 07:00:00,43626,43663,41808,42208,10070,KBS
2020-01-03 07:00:00,43517,43517,42536,43408,1770,KBS
2020-01-06 07:00:00,43408,44353,43408,44353,3040,KBS
2020-01-07 07:00:00,44353,44681,42899,43626,6530,KBS
2020-01-08 07:00:00,43626,44499,43626,43808,16310,KBS
2020-01-09 07:00:00,43808,44644,43808,44644,3340,KBS
2020-01-10 07:00:00,44717,45808,44644,45444,25550,KBS
2020-01-13 07:00:00,45444,47625,45444,47553,31960,KBS
2020-01-14 07:00:00,47916,49370,47916,49080,92950,KBS
2020-01-15 07:00:00,50170,50316,48352,49080,48400,KBS
2020-01-16 07:00:00,49080,49080,48352,48716,9760,KBS
2020-01-17 07:00:00,48716,48716,48171,48352,16680,KBS
2020-01-20 07:00:00,48352,48352,47989,48352,8080,KBS
2020-01-21 07:00:00,48352,48352,46935,47262,38120,KBS
2020-01-22 07:00:00,47262,47625,47080,47262,2520,KBS
2020-01-30 07:00:00,47080,47262,45808,47262,27940,KBS
2020-01-31 07:00:00,46171,46535,46026,46026,15340,KBS
2020-02-03 07:00:00,42935,45771,42826,43226,10620,KBS
2020-02-04 07:00:00,43226,45408,42536,42899,11930,KBS
2020-02-05 07:00:00,42899,45044,42899,43263,3270,KBS
2020-02-06 07:00:00,43626,43626,42899,43081,20660,KBS
2020-02-07 07:00:00,43917,43917,42899,42899,22390,KBS
2020-02-10 07:00:00,42899,43081,42863,42899,3670,KBS
2020-02-11 07:00:00,42899,43590,42863,42899,6780,KBS
2020-02-12 07:00:00,42754,42899,42754,42899,4750,KBS
2020-02-13 07:00:00,42899,43444,42899,43263,51120,KBS
2020-02-14 07:00:00,43081,43081,42863,42899,6910,KBS
2020-02-17 07:00:00,42899,42899,42536,42536,24150,KBS
2020-02-18 07:00:00,42536,42536,42463,42463,4820,KBS
2020-02-19 07:00:00,42354,42354,42136,42172,47620,KBS
2020-02-20 07:00:00,42172,42172,41990,42172,33630,KBS
2020-02-21 07:00:00,42172,42172,42027,42027,5980,KBS
2020-02-24 07:00:00,42027,42027,41081,41808,6260,KBS
2020-02-25 07:00:00,39118,41409,39118,41409,9730,KBS
2020-02-26 07:00:00,41409,41808,40354,41808,23390,KBS
2020-02-27 07:00:00,41808,41808,40936,41081,1470,KBS
2020-02-28 07:00:00,40936,40936,39518,39518,6820,KBS
2020-03-02 07:00:00,38573,39264,37046,37555,20590,KBS
2020-03-03 07:00:00,37555,38537,37555,37664,37680,KBS
2020-03-04 07:00:00,37664,38537,37664,37991,55020,KBS
2020-03-05 07:00:00,38173,40645,38173,40645,18110,KBS
2020-03-06 07:00:00,41445,42899,40645,42717,59850,KBS
2020-03-09 07:00:00,40354,40391,39736,39736,24860,KBS
2020-03-10 07:00:00,37410,42027,37410,41081,23180,KBS
2020-03-11 07:00:00,41081,41808,40536,40718,32210,KBS
2020-03-12 07:00:00,38900,39264,37882,38864,193220,KBS
2020-03-13 07:00:00,38318,38318,36173,36392,35040,KBS
2020-03-16 07:00:00,36392,38137,36246,36392,9460,KBS
2020-03-17 07:00:00,37773,37773,36173,36355,15750,KBS
2020-03-18 07:00:00,37082,37809,36719,37628,19500,KBS
2020-03-19 07:00:00,37628,37628,36173,36355,59360,KBS
2020-03-20 07:00:00,36355,36392,36173,36173,47230,KBS
