date,open,high,low,close,volume,_source
2020-01-13 07:00:00,23029,23029,23029,23029,100,KBS
2020-01-16 07:00:00,20813,20813,20813,20813,600,KBS
2020-01-17 07:00:00,20813,20813,20813,20813,40,KBS
2020-01-21 07:00:00,19239,19239,19239,19239,200,KBS
2020-01-22 07:00:00,21163,21163,19239,19239,2908,KBS
2020-01-30 07:00:00,21163,21163,18073,18073,400,KBS
2020-01-31 07:00:00,19239,19239,19239,19239,30000,KBS
2020-02-05 07:00:00,18073,18073,17782,17782,46600,KBS
2020-02-07 07:00:00,17782,17782,17782,17782,300,KBS
2020-02-10 07:00:00,17548,19531,17548,19531,300,KBS
2020-02-11 07:00:00,19531,19531,19531,19531,200,KBS
2020-02-17 07:00:00,18073,18073,18073,18073,200,KBS
2020-02-18 07:00:00,17840,18073,17840,18073,1100,KBS
2020-02-19 07:00:00,18073,18073,18073,18073,100,KBS
2020-02-20 07:00:00,19764,19764,18073,18073,200,KBS
2020-02-21 07:00:00,18365,18365,18365,18365,100,KBS
2020-02-28 07:00:00,18073,18365,18073,18365,1000,KBS
2020-03-02 07:00:00,17490,17782,17490,17782,200,KBS
2020-03-03 07:00:00,17840,17840,17840,17840,600,KBS
2020-03-04 07:00:00,17782,18073,17782,18073,1100,KBS
2020-03-05 07:00:00,18248,18248,18248,18248,500,KBS
2020-03-06 07:00:00,18073,18248,18073,18248,2100,KBS
2020-03-09 07:00:00,17490,17490,17490,17490,100,KBS
2020-03-11 07:00:00,17490,17490,17490,17490,1100,KBS
2020-03-12 07:00:00,17490,17490,15741,15741,900,KBS
2020-03-13 07:00:00,14575,15741,14575,15741,2020,KBS
2020-03-16 07:00:00,15741,15741,15741,15741,1080,KBS
2020-03-19 07:00:00,15741,15741,15741,15741,12,KBS
2020-03-23 07:00:00,14867,15158,14867,15158,400,KBS
2020-03-24 07:00:00,16266,16266,16266,16266,100,KBS
2020-03-30 07:00:00,15158,15158,15158,15158,1000,KBS
2020-03-31 07:00:00,16674,16674,15158,15158,1292,KBS
2020-04-01 07:00:00,16674,16674,16674,16674,100,KBS
2020-04-06 07:00:00,18131,18131,18131,18131,151,KBS
2020-04-07 07:00:00,16616,16616,16324,16324,817,KBS
2020-04-09 07:00:00,17840,17840,17840,17840,100,KBS
2020-04-10 07:00:00,16674,16674,16616,16674,3200,KBS
2020-04-15 07:00:00,17199,17199,17199,17199,100,KBS
2020-04-17 07:00:00,16907,16907,16849,16849,200,KBS
2020-04-20 07:00:00,16791,17782,16791,17782,800,KBS
2020-04-22 07:00:00,17782,16382,16324,16324,5020,KBS
2020-04-23 07:00:00,16324,16324,16324,16324,2300,KBS
2020-04-24 07:00:00,16616,16616,16324,16324,4000,KBS
2020-04-27 07:00:00,16965,16965,16907,16965,920,KBS
2020-04-28 07:00:00,17957,17957,16907,16965,500,KBS
2020-04-29 07:00:00,18598,18598,16907,16907,400,KBS
2020-05-04 07:00:00,16907,17199,16907,17199,517,KBS
2020-05-05 07:00:00,17840,17840,17257,17607,4679,KBS
2020-05-06 07:00:00,17432,17665,17432,17665,1600,KBS
2020-05-07 07:00:00,16499,18365,16499,18365,500,KBS
2020-05-08 07:00:00,18365,18426,18365,18426,11200,KBS
2020-05-11 07:00:00,18119,18119,17812,17812,1505,KBS
2020-05-12 07:00:00,18242,18610,18242,18610,700,KBS
