date,open,high,low,close,volume,_source
2020-01-02 07:00:00,8528,8812,8509,8812,2780,KBS
2020-01-03 07:00:00,8509,8774,8396,8396,1020,KBS
2020-01-06 07:00:00,8396,8585,8245,8585,42530,KBS
2020-01-07 07:00:00,8679,8774,8509,8509,5800,KBS
2020-01-08 07:00:00,8679,8679,8358,8396,6190,KBS
2020-01-09 07:00:00,8358,8453,8358,8453,17010,KBS
2020-01-10 07:00:00,8604,8604,8358,8358,20,KBS
2020-01-13 07:00:00,8623,8642,8377,8377,570,KBS
2020-01-14 07:00:00,8604,8604,8339,8339,11570,KBS
2020-01-15 07:00:00,8623,8623,8585,8585,540,KBS
2020-01-17 07:00:00,8453,8585,8453,8509,1050,KBS
2020-01-20 07:00:00,8509,8509,8131,8131,280,KBS
2020-01-21 07:00:00,8585,8585,8207,8207,30,KBS
2020-01-22 07:00:00,8585,8585,8207,8509,1590,KBS
2020-01-30 07:00:00,8490,8661,8226,8661,1430,KBS
2020-01-31 07:00:00,8661,8661,8566,8661,3330,KBS
2020-02-03 07:00:00,8093,8509,8093,8509,340,KBS
2020-02-04 07:00:00,8131,8509,7980,8509,1250,KBS
2020-02-05 07:00:00,8509,8925,8509,8925,330,KBS
2020-02-06 07:00:00,8925,8925,8925,8925,820,KBS
2020-02-07 07:00:00,8925,8925,8925,8925,100,KBS
2020-02-10 07:00:00,8415,8415,8415,8415,400,KBS
2020-02-11 07:00:00,8661,8661,8623,8623,980,KBS
2020-02-12 07:00:00,8698,8698,8661,8661,1060,KBS
2020-02-13 07:00:00,8661,8661,8661,8661,1080,KBS
2020-02-14 07:00:00,8661,8661,8661,8661,200,KBS
2020-02-17 07:00:00,8661,8661,8661,8661,370,KBS
2020-02-18 07:00:00,8698,8698,8434,8434,1360,KBS
2020-02-19 07:00:00,8509,8509,8188,8509,100,KBS
2020-02-20 07:00:00,8604,8604,8604,8604,10,KBS
2020-02-21 07:00:00,8604,8604,8604,8604,210,KBS
2020-02-24 07:00:00,8339,8547,8320,8547,2250,KBS
2020-02-25 07:00:00,8320,8320,8169,8169,1890,KBS
2020-02-26 07:00:00,8604,8604,8604,8604,650,KBS
2020-02-27 07:00:00,8604,8604,8604,8604,520,KBS
2020-02-28 07:00:00,8642,8679,8642,8679,2120,KBS
2020-03-02 07:00:00,8245,8679,8169,8623,410,KBS
2020-03-03 07:00:00,8623,8623,8623,8623,350,KBS
2020-03-04 07:00:00,8623,8623,8623,8623,300,KBS
2020-03-05 07:00:00,8623,8623,8623,8623,410,KBS
2020-03-06 07:00:00,8585,8585,8585,8585,380,KBS
2020-03-09 07:00:00,8131,8490,7999,8490,5220,KBS
2020-03-10 07:00:00,8018,8623,8018,8320,2400,KBS
2020-03-11 07:00:00,8320,8320,8320,8320,350,KBS
2020-03-12 07:00:00,7942,8093,7753,7753,44590,KBS
2020-03-13 07:00:00,7242,7734,7223,7734,3880,KBS
2020-03-16 07:00:00,8131,8131,7734,8093,740,KBS
2020-03-17 07:00:00,8207,8207,7564,7564,460,KBS
2020-03-18 07:00:00,7280,8074,7280,7299,920,KBS
2020-03-19 07:00:00,6788,7621,6788,7621,540,KBS
2020-03-20 07:00:00,7602,7942,7375,7375,1070,KBS
2020-03-23 07:00:00,6864,7564,6864,7545,330,KBS
2020-03-24 07:00:00,7186,7186,7186,7186,2290,KBS
2020-03-25 07:00:00,7564,7621,7564,7621,810,KBS
2020-03-26 07:00:00,7110,7677,7110,7110,590,KBS
2020-03-27 07:00:00,7564,7564,6694,6845,540,KBS
2020-03-30 07:00:00,7318,7318,6372,7318,560,KBS
2020-03-31 07:00:00,7734,7734,6807,7658,1990,KBS
2020-04-01 07:00:00,7658,7658,7129,7129,500,KBS
2020-04-03 07:00:00,7129,7564,7129,7564,590,KBS
2020-04-06 07:00:00,8055,8055,7223,7223,750,KBS
2020-04-07 07:00:00,7545,7545,7545,7545,310,KBS
2020-04-08 07:00:00,7053,7526,7053,7526,330,KBS
2020-04-09 07:00:00,7545,7545,7015,7015,60,KBS
2020-04-10 07:00:00,7450,7469,6562,7469,1640,KBS
2020-04-13 07:00:00,7469,7469,7469,7469,310,KBS
2020-04-14 07:00:00,6996,7469,6996,7469,1760,KBS
2020-04-15 07:00:00,6996,7526,6996,7186,680,KBS
2020-04-16 07:00:00,7186,7488,7186,7488,440,KBS
2020-04-17 07:00:00,7261,7866,7261,7866,480,KBS
2020-04-20 07:00:00,7318,7847,7318,7337,1280,KBS
2020-04-21 07:00:00,7772,7772,6996,6996,390,KBS
2020-04-22 07:00:00,6996,7356,6543,7356,340,KBS
2020-04-23 07:00:00,7356,7356,7299,7299,50,KBS
2020-04-24 07:00:00,7299,7299,7186,7186,510,KBS
2020-04-27 07:00:00,6996,7223,6996,7223,70,KBS
2020-04-28 07:00:00,7223,7223,7223,7223,10,KBS
2020-04-29 07:00:00,6845,7526,6845,6845,1790,KBS
2020-05-04 07:00:00,7299,7299,6770,6770,5290,KBS
2020-05-05 07:00:00,7242,7242,6845,6845,730,KBS
2020-05-06 07:00:00,7186,7186,6694,7072,130,KBS
2020-05-07 07:00:00,7148,7148,6807,7091,660,KBS
2020-05-08 07:00:00,7469,7469,7148,7148,1140,KBS
2020-05-11 07:00:00,6883,7469,6751,6883,1350,KBS
2020-05-12 07:00:00,7223,7223,6883,6902,3000,KBS
2020-05-13 07:00:00,7186,7186,7186,7186,70,KBS
2020-05-14 07:00:00,7186,7186,6996,6996,1020,KBS
2020-05-15 07:00:00,7337,7337,6996,6996,370,KBS
2020-05-18 07:00:00,6902,6902,6902,6902,30,KBS
2020-05-19 07:00:00,6486,7110,6486,7110,60,KBS
2020-05-20 07:00:00,7186,7583,7186,7583,7950,KBS
2020-05-21 07:00:00,7375,7942,7337,7375,1580,KBS
2020-05-22 07:00:00,7715,7715,7564,7715,3550,KBS
2020-05-26 07:00:00,7639,7639,7223,7261,9660,KBS
2020-05-27 07:00:00,7186,7186,7186,7186,690,KBS
2020-05-28 07:00:00,7186,7488,7186,7488,230,KBS
2020-05-29 07:00:00,7488,7488,7488,7488,20,KBS
2020-06-01 07:00:00,7299,7431,7299,7431,300,KBS
2020-06-02 07:00:00,6959,7375,6959,7375,1140,KBS
2020-06-03 07:00:00,7129,7129,7129,7129,20,KBS
2020-06-04 07:00:00,7015,7450,7015,7091,600,KBS
2020-06-05 07:00:00,7413,7413,6807,7299,5610,KBS
