date,open,high,low,close,volume,_source
2020-01-03 07:00:00,17800,17800,17800,17800,10,KBS
2020-01-15 07:00:00,16600,17900,16600,17900,360,KBS
2020-01-16 07:00:00,17900,17900,17900,17900,500,KBS
2020-01-17 07:00:00,17900,17900,17900,17900,10,KBS
2020-01-20 07:00:00,16650,16650,16650,16650,160,KBS
2020-01-21 07:00:00,15500,16650,15500,16600,320,KBS
2020-01-30 07:00:00,17700,17700,17700,17700,80,KBS
2020-01-31 07:00:00,17500,17500,17500,17500,20,KBS
2020-02-03 07:00:00,16300,16300,16300,16300,20,KBS
2020-02-10 07:00:00,15200,16350,15200,16300,250,KBS
2020-02-12 07:00:00,15200,15200,15200,15200,160,KBS
2020-02-13 07:00:00,15200,15200,14150,15200,770,KBS
2020-02-14 07:00:00,15100,15100,15100,15100,30,KBS
2020-02-17 07:00:00,14100,15100,14050,15100,40,KBS
2020-02-18 07:00:00,15100,15100,14100,14100,210,KBS
2020-02-20 07:00:00,15000,15000,15000,15000,6050,KBS
2020-02-21 07:00:00,16050,16050,16050,16050,2410,KBS
2020-02-24 07:00:00,17150,17150,17150,17150,10,KBS
2020-02-25 07:00:00,17150,18000,17150,18000,20,KBS
2020-02-26 07:00:00,18000,18000,18000,18000,130,KBS
2020-02-28 07:00:00,19200,19200,19200,19200,10,KBS
2020-03-02 07:00:00,19200,19200,19200,19200,450,KBS
2020-03-06 07:00:00,20000,20000,20000,20000,10,KBS
2020-03-11 07:00:00,19050,19050,19050,19050,30,KBS
2020-03-12 07:00:00,20150,20150,20150,20150,10,KBS
2020-03-13 07:00:00,20150,20150,18750,20100,340,KBS
2020-03-16 07:00:00,19500,21500,19500,20300,950,KBS
2020-03-17 07:00:00,20300,20300,20300,20300,30,KBS
2020-03-20 07:00:00,18900,20300,18900,20300,230,KBS
2020-03-25 07:00:00,18900,20300,18900,20300,220,KBS
2020-03-26 07:00:00,18900,20250,18900,20250,220,KBS
2020-03-27 07:00:00,18900,20150,18850,20150,530,KBS
2020-03-31 07:00:00,18750,20050,18750,19950,230,KBS
2020-04-01 07:00:00,19150,19150,19150,19150,10,KBS
2020-04-03 07:00:00,19100,19100,19100,19100,10,KBS
2020-04-07 07:00:00,17800,20250,17800,20250,110,KBS
2020-04-08 07:00:00,18850,20200,18850,20200,810,KBS
2020-04-09 07:00:00,21550,21550,18800,19900,2590,KBS
2020-04-13 07:00:00,21250,21250,18550,20450,1060,KBS
2020-04-14 07:00:00,19050,20050,19050,20050,20,KBS
2020-04-17 07:00:00,20000,20000,20000,20000,10,KBS
2020-04-20 07:00:00,18600,19950,18600,19950,1030,KBS
2020-04-22 07:00:00,18600,19500,18600,19500,20,KBS
2020-04-24 07:00:00,18150,18150,18150,18150,160,KBS
2020-04-27 07:00:00,16900,19400,16900,19400,1760,KBS
2020-04-28 07:00:00,20700,20700,20700,20700,10,KBS
2020-05-06 07:00:00,20700,20700,20700,20700,10,KBS
2020-05-07 07:00:00,19300,19300,19300,19300,460,KBS
2020-05-08 07:00:00,17950,19500,17950,19500,3850,KBS
2020-05-11 07:00:00,19500,19200,18150,19200,110,KBS
2020-05-12 07:00:00,17900,18900,17900,18700,450,KBS
2020-05-13 07:00:00,18000,18900,17400,17900,2170,KBS
2020-05-14 07:00:00,16650,19050,16650,17800,4980,KBS
2020-05-15 07:00:00,18850,18850,16600,17300,1990,KBS
2020-05-18 07:00:00,16600,17450,16600,17100,2050,KBS
2020-05-19 07:00:00,16000,18250,15950,18250,4340,KBS
2020-05-20 07:00:00,17000,18000,17000,18000,5350,KBS
2020-05-21 07:00:00,16750,17800,16750,17800,1600,KBS
2020-05-22 07:00:00,16650,17450,16650,17450,340,KBS
2020-05-25 07:00:00,16250,17300,16250,17300,170,KBS
2020-05-26 07:00:00,16200,17200,16200,17200,750,KBS
2020-05-27 07:00:00,17200,17200,17200,17200,20,KBS
2020-05-28 07:00:00,16500,17200,16450,17200,1640,KBS
2020-06-02 07:00:00,17000,17000,17000,17000,10,KBS
2020-06-08 07:00:00,16100,17000,16000,17000,1900,KBS
2020-06-09 07:00:00,17700,17700,17700,17700,10,KBS
2020-06-10 07:00:00,16500,16650,16500,16650,760,KBS
2020-06-11 07:00:00,17000,17000,17000,17000,10,KBS
