date,open,high,low,close,volume,_source
2020-01-02 07:00:00,21884,21884,21609,21839,23500,KBS
2020-01-03 07:00:00,21609,21793,21563,21724,27618,KBS
2020-01-06 07:00:00,21632,21632,20735,20758,39631,KBS
2020-01-07 07:00:00,21103,21126,21034,20804,9163,KBS
2020-01-08 07:00:00,20735,20919,20022,20206,52420,KBS
2020-01-09 07:00:00,20459,20459,19770,20022,21800,KBS
2020-01-10 07:00:00,20114,20459,19999,20367,16726,KBS
2020-01-13 07:00:00,22528,22528,20206,20229,2438,KBS
2020-01-14 07:00:00,20229,20689,20206,20574,1497,KBS
2020-01-15 07:00:00,20229,20229,19678,19999,7930,KBS
2020-01-16 07:00:00,19999,20229,19999,20160,2470,KBS
2020-01-17 07:00:00,20160,20160,19931,20160,1860,KBS
2020-01-20 07:00:00,19999,19999,19540,19770,10656,KBS
2020-01-21 07:00:00,20804,20804,19586,19862,2407,KBS
2020-01-22 07:00:00,19609,19678,19379,19701,8965,KBS
2020-01-30 07:00:00,18919,19540,18873,19310,3910,KBS
2020-01-31 07:00:00,19540,19540,17356,17701,101976,KBS
2020-02-03 07:00:00,17701,17701,15862,17241,84376,KBS
2020-02-04 07:00:00,17011,17011,16321,16321,11596,KBS
2020-02-05 07:00:00,16781,17126,16620,17011,33376,KBS
2020-02-06 07:00:00,17011,18023,17011,18023,15520,KBS
2020-02-07 07:00:00,17379,17471,17356,17356,4850,KBS
2020-02-10 07:00:00,16551,17241,16551,17241,520,KBS
2020-02-11 07:00:00,16551,17011,16551,17011,5220,KBS
2020-02-12 07:00:00,17011,17931,16781,17931,23617,KBS
2020-02-13 07:00:00,17747,18620,16781,18390,15151,KBS
2020-02-14 07:00:00,18390,18482,18390,18482,4073,KBS
2020-02-17 07:00:00,18390,18505,15632,18160,9720,KBS
2020-02-18 07:00:00,18206,18206,18206,18275,2610,KBS
2020-02-19 07:00:00,18252,20689,18252,19471,42245,KBS
2020-02-20 07:00:00,19471,19540,18965,19172,25110,KBS
2020-02-21 07:00:00,19080,19080,18850,18942,9800,KBS
2020-02-24 07:00:00,18390,18390,17471,17517,22700,KBS
2020-02-25 07:00:00,17678,18160,17678,18160,13307,KBS
2020-02-26 07:00:00,17839,17839,17356,17586,33220,KBS
2020-02-27 07:00:00,17586,17816,17586,17816,13144,KBS
2020-02-28 07:00:00,17264,17586,17011,17586,9250,KBS
2020-03-02 07:00:00,17241,17563,17241,17471,21810,KBS
2020-03-03 07:00:00,17471,17908,17471,17701,15800,KBS
2020-03-04 07:00:00,17655,17816,17540,17816,9649,KBS
2020-03-05 07:00:00,17747,18046,17747,17885,10000,KBS
2020-03-06 07:00:00,17862,17862,17471,17701,9500,KBS
2020-03-09 07:00:00,16206,16321,15402,15425,88278,KBS
2020-03-10 07:00:00,15402,16505,15402,16436,21395,KBS
2020-03-11 07:00:00,16781,16781,15425,16321,35880,KBS
2020-03-12 07:00:00,14942,15609,14827,15149,34640,KBS
2020-03-13 07:00:00,13885,15172,13448,15057,67070,KBS
2020-03-16 07:00:00,14597,15172,14551,14666,29710,KBS
2020-03-17 07:00:00,14919,15632,14919,15517,17282,KBS
2020-03-18 07:00:00,15862,16092,15632,15701,22714,KBS
2020-03-19 07:00:00,15172,15747,15172,15747,23000,KBS
2020-03-20 07:00:00,15632,15724,15448,15724,13700,KBS
2020-03-23 07:00:00,15517,15517,14046,14321,93430,KBS
2020-03-24 07:00:00,14207,16781,14207,14942,32910,KBS
2020-03-25 07:00:00,15172,15448,15172,15402,18645,KBS
2020-03-26 07:00:00,15333,15402,15057,15333,38600,KBS
2020-03-27 07:00:00,15218,15402,15149,15264,17420,KBS
2020-03-30 07:00:00,14482,14942,14367,14712,16400,KBS
2020-03-31 07:00:00,14942,15172,14597,14712,17700,KBS
2020-04-01 07:00:00,14827,14942,14827,14942,5500,KBS
2020-04-03 07:00:00,14712,15287,14597,15172,10300,KBS
2020-04-06 07:00:00,15402,16092,15402,16092,15220,KBS
2020-04-07 07:00:00,15977,15977,15632,15632,11500,KBS
2020-04-08 07:00:00,15632,16551,15402,16092,30200,KBS
2020-04-09 07:00:00,16321,17816,16321,17793,47790,KBS
2020-04-10 07:00:00,17954,18046,17494,17494,17700,KBS
2020-04-13 07:00:00,17701,17701,16781,16988,29225,KBS
2020-04-14 07:00:00,16781,16781,16321,16758,18920,KBS
2020-04-15 07:00:00,16781,17471,16781,17471,6900,KBS
2020-04-16 07:00:00,16896,17241,16896,17241,13150,KBS
2020-04-17 07:00:00,17149,19701,17149,17149,55040,KBS
2020-04-20 07:00:00,17356,18390,17356,18390,45550,KBS
2020-04-21 07:00:00,18160,18160,16781,17471,26270,KBS
2020-04-22 07:00:00,17241,17379,16781,17379,9710,KBS
2020-04-23 07:00:00,17701,17701,16781,17241,10720,KBS
2020-04-24 07:00:00,17264,17333,16321,17241,9710,KBS
2020-04-27 07:00:00,17356,19494,17149,19287,76405,KBS
2020-04-28 07:00:00,19540,19655,18390,18505,61440,KBS
2020-04-29 07:00:00,18850,18965,17931,18160,15100,KBS
2020-05-04 07:00:00,16804,18321,16781,17241,57480,KBS
2020-05-05 07:00:00,17126,17701,17034,17701,34710,KBS
2020-05-06 07:00:00,17471,18390,17471,18390,18000,KBS
2020-05-07 07:00:00,18046,18413,17954,18298,20422,KBS
2020-05-08 07:00:00,15632,18390,15632,18275,24870,KBS
2020-05-11 07:00:00,17287,18114,17287,17701,7320,KBS
2020-05-12 07:00:00,17609,20413,17586,17816,16728,KBS
2020-05-13 07:00:00,17839,18160,17701,17954,15382,KBS
2020-05-14 07:00:00,17701,17977,17701,17816,14708,KBS
2020-05-15 07:00:00,17931,17931,17471,17471,20610,KBS
2020-05-18 07:00:00,17517,17931,14919,17862,14900,KBS
2020-05-19 07:00:00,17931,18850,17701,18574,52400,KBS
2020-05-20 07:00:00,18505,19425,18505,18988,77410,KBS
2020-05-21 07:00:00,18850,19080,18850,19034,52328,KBS
2020-05-22 07:00:00,18620,19080,18620,18965,45420,KBS
2020-05-25 07:00:00,19034,21034,18827,21034,155230,KBS
2020-05-26 07:00:00,21034,21149,20229,20574,42227,KBS
2020-05-27 07:00:00,20689,20804,19793,20022,54890,KBS
2020-05-28 07:00:00,20114,20413,19770,20344,42460,KBS
