date,open,high,low,close,volume,_source
2020-01-02 07:00:00,10825,10825,10825,10825,10,KBS
2020-01-03 07:00:00,10954,10954,10954,10954,60,KBS
2020-01-06 07:00:00,10954,10954,10954,10954,50,KBS
2020-01-07 07:00:00,10309,10309,10309,10309,2080,KBS
2020-01-08 07:00:00,10653,10653,10653,10653,10,KBS
2020-01-09 07:00:00,10653,10653,10653,10653,70,KBS
2020-01-10 07:00:00,10954,10954,10954,10954,70,KBS
2020-01-13 07:00:00,10911,10911,10911,10911,20,KBS
2020-01-16 07:00:00,10911,10911,10911,10911,30,KBS
2020-01-17 07:00:00,10911,10911,10911,10911,190,KBS
2020-01-20 07:00:00,10911,10911,10911,10911,50,KBS
2020-01-21 07:00:00,10180,10739,10180,10739,110,KBS
2020-01-22 07:00:00,11125,11125,11125,11125,70,KBS
2020-01-31 07:00:00,11125,11125,11125,11125,10,KBS
2020-02-03 07:00:00,10352,10954,10352,10954,60,KBS
2020-02-04 07:00:00,10223,10395,10223,10395,100,KBS
2020-02-05 07:00:00,9708,10653,9708,10653,2290,KBS
2020-02-06 07:00:00,10825,10911,10825,10911,20,KBS
2020-02-07 07:00:00,11125,11125,11082,11082,60,KBS
2020-02-10 07:00:00,10309,10997,10309,10997,30,KBS
2020-02-11 07:00:00,10266,10911,10266,10911,120,KBS
2020-02-12 07:00:00,10180,10739,10180,10739,1210,KBS
2020-02-13 07:00:00,10954,10954,10696,10739,50,KBS
2020-02-14 07:00:00,10868,10868,10868,10868,40,KBS
2020-02-17 07:00:00,10696,10696,10696,10696,10,KBS
2020-02-18 07:00:00,9966,10653,9966,10653,30,KBS
2020-02-19 07:00:00,9966,10653,9966,10223,150,KBS
2020-02-20 07:00:00,9880,10911,9880,10911,6710,KBS
2020-02-21 07:00:00,10223,10653,10180,10653,710,KBS
2020-02-24 07:00:00,11383,11383,11383,11383,3000,KBS
2020-02-26 07:00:00,11469,11469,10653,11125,220,KBS
2020-03-03 07:00:00,10352,10352,10352,10352,530,KBS
2020-03-04 07:00:00,9794,10266,9794,10266,210,KBS
2020-03-05 07:00:00,9751,10266,9751,10180,160,KBS
2020-03-06 07:00:00,10266,10266,9536,9880,1770,KBS
2020-03-09 07:00:00,9450,10266,9192,10266,2370,KBS
2020-03-10 07:00:00,9579,10223,9579,9579,220,KBS
2020-03-11 07:00:00,9064,9837,9064,9837,30,KBS
2020-03-12 07:00:00,9149,9708,9149,9149,21100,KBS
2020-03-13 07:00:00,8591,9321,8591,9235,2270,KBS
2020-03-16 07:00:00,8591,9880,8591,9794,120,KBS
2020-03-17 07:00:00,9450,9450,9450,9450,40,KBS
2020-03-18 07:00:00,8806,9665,8806,9665,1740,KBS
2020-03-19 07:00:00,9021,9450,9021,9450,250,KBS
2020-03-20 07:00:00,8806,9622,8806,9450,330,KBS
2020-03-23 07:00:00,9622,9622,8806,9364,680,KBS
2020-03-24 07:00:00,8720,9407,8720,9407,540,KBS
2020-03-25 07:00:00,9450,9450,9450,9450,10,KBS
2020-03-26 07:00:00,8806,10094,8806,10094,760,KBS
2020-03-27 07:00:00,9407,9837,9407,9837,30,KBS
2020-03-31 07:00:00,9149,10309,9149,10309,320,KBS
2020-04-03 07:00:00,10137,10137,10137,10137,10,KBS
2020-04-08 07:00:00,9450,9794,9450,9794,60,KBS
2020-04-10 07:00:00,9622,9622,9622,9622,100,KBS
2020-04-13 07:00:00,9622,9622,9021,9622,1520,KBS
2020-04-14 07:00:00,8978,9837,8978,9837,340,KBS
2020-04-20 07:00:00,9450,9708,9149,9192,5990,KBS
2020-04-21 07:00:00,9450,9450,8677,8677,7020,KBS
2020-04-22 07:00:00,8677,8677,8677,8677,500,KBS
2020-04-23 07:00:00,9192,9192,8591,8591,1010,KBS
2020-04-24 07:00:00,9149,9149,8849,8849,300,KBS
2020-04-27 07:00:00,9364,9364,8505,9321,350,KBS
2020-04-28 07:00:00,9794,9794,9794,9794,10,KBS
2020-04-29 07:00:00,9794,9708,9321,9321,20,KBS
2020-05-04 07:00:00,8720,9235,8677,9235,1190,KBS
