date,open,high,low,close,volume,_source
2020-01-17 07:00:00,5800,6600,5800,6600,5600,KBS
2020-01-21 07:00:00,7200,7200,7200,7200,100,KBS
2020-04-03 07:00:00,7200,7200,7200,7200,200,KBS
2020-06-17 07:00:00,6500,7200,6500,7200,1000,KBS
2020-06-18 07:00:00,7100,7100,7100,7100,500,KBS
2020-06-29 07:00:00,6400,6400,6400,6400,700,KBS
2020-06-30 07:00:00,5800,5800,5800,5800,100,KBS
2020-07-08 07:00:00,5800,5800,5800,5800,15,KBS
2020-07-17 07:00:00,5800,5800,5800,5800,23,KBS
2020-07-20 07:00:00,5800,5800,5800,5800,10,KBS
2020-08-13 07:00:00,5300,5300,5300,5300,500,KBS
2020-08-14 07:00:00,5000,5000,5000,5000,100,KBS
2020-08-17 07:00:00,5500,5500,5000,5100,4900,KBS
2020-08-18 07:00:00,5100,5100,5100,5100,400,KBS
2020-08-19 07:00:00,5100,5300,5000,5300,2201,KBS
2020-08-20 07:00:00,5100,5300,5100,5300,300,KBS
2020-08-21 07:00:00,5300,5300,5300,5300,20,KBS
2020-08-24 07:00:00,5300,5300,5300,5300,600,KBS
2020-08-25 07:00:00,5400,5400,5400,5400,1300,KBS
2020-08-26 07:00:00,5400,5400,5400,5400,1,KBS
2020-08-27 07:00:00,5100,5100,5100,5100,400,KBS
2020-08-31 07:00:00,5100,5100,5100,5100,300,KBS
2020-09-01 07:00:00,5000,5000,5000,5000,656,KBS
2020-09-04 07:00:00,5000,5000,5000,5000,2000,KBS
2020-09-07 07:00:00,5200,5200,5200,5200,4600,KBS
2020-09-09 07:00:00,5300,5300,5300,5300,100,KBS
2020-09-10 07:00:00,5300,5300,5300,5300,2600,KBS
2020-09-14 07:00:00,5200,5200,5200,5200,1378,KBS
2020-09-15 07:00:00,5400,5500,5400,5500,3100,KBS
2020-09-18 07:00:00,5100,5100,5100,5100,3100,KBS
2020-09-21 07:00:00,5100,5100,5100,5100,2700,KBS
2020-09-22 07:00:00,5600,5600,5600,5600,4000,KBS
2020-09-23 07:00:00,5600,5600,5600,5600,111,KBS
2020-09-24 07:00:00,5300,5300,5300,5300,2200,KBS
2020-09-25 07:00:00,5800,5800,5800,5800,4000,KBS
2020-09-28 07:00:00,5800,5800,5800,5800,100,KBS
2020-09-29 07:00:00,5800,5800,5800,5800,96,KBS
2020-10-01 07:00:00,5600,5700,5600,5700,300,KBS
2020-10-02 07:00:00,5700,5700,5400,5400,3700,KBS
2020-10-05 07:00:00,5600,5600,5400,5500,4210,KBS
2020-10-06 07:00:00,5600,5600,5600,5600,100,KBS
2020-10-07 07:00:00,5600,5600,5600,5600,800,KBS
2020-10-08 07:00:00,5600,5600,5600,5600,500,KBS
2020-10-09 07:00:00,5600,5600,5400,5400,300,KBS
2020-10-13 07:00:00,5400,5400,5300,5300,700,KBS
2020-10-14 07:00:00,5400,5400,5400,5400,2300,KBS
2020-10-19 07:00:00,5300,5500,5300,5400,5800,KBS
2020-10-22 07:00:00,5100,5100,5100,5100,3700,KBS
2020-10-26 07:00:00,5100,5100,5100,5100,39,KBS
2020-10-28 07:00:00,4800,4800,4700,4700,4500,KBS
2020-10-30 07:00:00,4700,4700,4500,4500,2100,KBS
2020-11-03 07:00:00,4800,4800,4800,4800,600,KBS
2020-11-09 07:00:00,5100,5100,5100,5100,100,KBS
2020-11-10 07:00:00,5100,5100,5100,5100,25,KBS
2020-11-13 07:00:00,5500,5500,5500,5500,120,KBS
2020-11-16 07:00:00,5000,5000,5000,5000,400,KBS
2020-11-17 07:00:00,4600,4600,4600,4600,500,KBS
2020-11-18 07:00:00,4600,4600,4600,4600,900,KBS
2020-11-19 07:00:00,4900,4900,4900,4900,101,KBS
2020-11-25 07:00:00,4900,4900,4900,4900,600,KBS
2020-11-27 07:00:00,4700,4700,4700,4700,105,KBS
2020-11-30 07:00:00,4800,4800,4800,4800,2700,KBS
2020-12-02 07:00:00,4600,4600,4600,4600,300,KBS
2020-12-03 07:00:00,4700,5000,4600,5000,500,KBS
2020-12-04 07:00:00,5000,5000,5000,5000,700,KBS
2020-12-07 07:00:00,5000,5000,5000,5000,1100,KBS
2020-12-08 07:00:00,4900,4900,4800,4800,700,KBS
2020-12-09 07:00:00,4800,4800,4800,4800,300,KBS
2020-12-10 07:00:00,4800,4800,4800,4800,20,KBS
2020-12-15 07:00:00,4500,4500,4500,4500,1020,KBS
2020-12-16 07:00:00,4700,4700,4600,4600,200,KBS
2020-12-17 07:00:00,4600,4600,4600,4600,10,KBS
2020-12-22 07:00:00,5000,5000,5000,5000,1000,KBS
2020-12-23 07:00:00,5500,5500,5200,5200,2270,KBS
2020-12-24 07:00:00,5300,5300,5300,5300,100,KBS
2020-12-25 07:00:00,5300,5300,5300,5300,40,KBS
2020-12-28 07:00:00,5000,5000,5000,5000,2763,KBS
2020-12-29 07:00:00,5000,5000,5000,5000,627,KBS
2020-12-30 07:00:00,5100,5500,5100,5500,3620,KBS
2020-12-31 07:00:00,5500,5900,5500,5900,3735,KBS
2021-01-04 07:00:00,5900,5900,5900,5900,2510,KBS
2021-01-05 07:00:00,5900,6300,5900,6300,7950,KBS
2021-01-06 07:00:00,6400,6400,6400,6400,435,KBS
2021-01-07 07:00:00,6400,6400,6400,6400,10,KBS
2021-01-08 07:00:00,6400,6400,6400,6400,100,KBS
2021-01-11 07:00:00,6400,6400,6400,6400,103,KBS
2021-01-12 07:00:00,6100,6100,5900,6100,6000,KBS
2021-01-13 07:00:00,6100,6300,6100,6300,16200,KBS
2021-01-14 07:00:00,6300,6300,6200,6200,1600,KBS
2021-01-15 07:00:00,6200,6400,6000,6400,9700,KBS
2021-01-18 07:00:00,6400,6500,6100,6500,2500,KBS
2021-01-19 07:00:00,6500,6500,6200,6400,4400,KBS
2021-01-20 07:00:00,6000,6000,5900,5900,1900,KBS
2021-01-21 07:00:00,5900,6200,5900,6200,4200,KBS
2021-01-25 07:00:00,6200,6300,6200,6300,363,KBS
2021-01-26 07:00:00,5900,5900,5900,5900,3300,KBS
2021-01-27 07:00:00,5800,5800,5600,5600,3500,KBS
2021-01-28 07:00:00,5500,5500,5500,5500,400,KBS
2021-01-29 07:00:00,5500,5500,5500,5500,800,KBS
2021-02-03 07:00:00,5500,5500,5500,5500,45,KBS
2021-02-04 07:00:00,5500,5500,5400,5400,600,KBS
2021-02-08 07:00:00,5400,5400,5400,5400,3300,KBS
2021-02-09 07:00:00,5400,5800,5400,5800,209,KBS
2021-02-17 07:00:00,5800,5800,5800,5800,200,KBS
2021-02-18 07:00:00,5800,5800,5800,5800,60,KBS
2021-02-19 07:00:00,5700,5700,5700,5700,400,KBS
2021-02-23 07:00:00,5700,5700,5700,5700,100,KBS
2021-02-26 07:00:00,6000,6200,6000,6200,11500,KBS
2021-03-01 07:00:00,6800,6800,6800,6800,12201,KBS
2021-03-02 07:00:00,7400,7400,7400,7400,9300,KBS
2021-03-03 07:00:00,8100,8100,7800,7800,2500,KBS
2021-03-04 07:00:00,8000,8000,7100,7600,16900,KBS
2021-03-05 07:00:00,7600,7600,7500,7500,3937,KBS
2021-03-08 07:00:00,7500,8200,7500,8200,34300,KBS
2021-03-09 07:00:00,7500,8100,7400,7600,10100,KBS
2021-03-10 07:00:00,7600,7600,7600,7600,3300,KBS
2021-03-11 07:00:00,7600,7700,7600,7700,910,KBS
2021-03-12 07:00:00,7700,7700,7700,7700,2406,KBS
2021-03-15 07:00:00,7700,7900,7700,7900,1240,KBS
2021-03-16 07:00:00,8100,8100,8100,8100,100,KBS
2021-03-17 07:00:00,8300,8300,8100,8100,450,KBS
2021-03-18 07:00:00,8100,8100,8100,8100,600,KBS
2021-03-19 07:00:00,8100,8100,7500,7600,500,KBS
2021-03-22 07:00:00,7400,7400,7400,7400,4200,KBS
2021-03-23 07:00:00,7200,7200,7200,7200,1700,KBS
2021-03-24 07:00:00,7000,7200,6900,7200,400,KBS
2021-03-26 07:00:00,7200,7900,7100,7400,11200,KBS
2021-03-29 07:00:00,7300,7900,7300,7900,436,KBS
2021-03-30 07:00:00,7900,7900,7900,7900,100,KBS
2021-03-31 07:00:00,7900,7900,7900,7900,300,KBS
2021-04-01 07:00:00,7900,7900,7900,7900,313,KBS
2021-04-02 07:00:00,8000,8000,8000,8000,3900,KBS
2021-04-05 07:00:00,8000,8400,7500,8100,4180,KBS
2021-04-06 07:00:00,7600,8100,7400,7700,4100,KBS
2021-04-07 07:00:00,7800,7800,7800,7800,100,KBS
2021-04-08 07:00:00,7600,7600,7600,7600,100,KBS
2021-04-09 07:00:00,7600,7900,7600,7900,5900,KBS
2021-04-12 07:00:00,8100,8200,7900,8200,10813,KBS
2021-04-13 07:00:00,8600,8600,8200,8200,1100,KBS
2021-04-14 07:00:00,8200,8400,8200,8400,3600,KBS
2021-04-15 07:00:00,8400,9000,8400,8500,7410,KBS
2021-04-16 07:00:00,8200,8200,7800,7800,10635,KBS
2021-04-19 07:00:00,7800,8300,7800,8300,14800,KBS
2021-04-20 07:00:00,8300,8300,8200,8300,3300,KBS
2021-04-22 07:00:00,7900,7900,7800,7800,2400,KBS
2021-04-23 07:00:00,7200,8000,7200,8000,3100,KBS
2021-04-27 07:00:00,7300,8000,7300,8000,2000,KBS
2021-04-28 07:00:00,7500,7500,7500,7500,200,KBS
2021-05-04 07:00:00,6900,7900,6900,7900,12400,KBS
2021-05-05 07:00:00,7900,8100,7900,8100,252,KBS
2021-05-06 07:00:00,8100,8100,7300,7300,2536,KBS
2021-05-07 07:00:00,7300,7300,7300,7300,830,KBS
2021-05-10 07:00:00,6800,6800,6700,6700,9400,KBS
2021-05-11 07:00:00,6600,6700,6300,6700,1248,KBS
2021-05-12 07:00:00,6800,6800,6800,6800,4830,KBS
2021-05-13 07:00:00,6800,7200,6800,7200,8100,KBS
2021-05-14 07:00:00,6600,6900,6600,6900,700,KBS
2021-05-18 07:00:00,6400,6400,6400,6400,4600,KBS
2021-05-19 07:00:00,6900,6900,6900,6900,2000,KBS
2021-05-20 07:00:00,6900,7200,6900,7200,2500,KBS
2021-05-25 07:00:00,7000,7000,7000,7000,1000,KBS
2021-05-26 07:00:00,7300,7300,7300,7300,100,KBS
2021-05-28 07:00:00,6600,7000,6600,7000,1600,KBS
2021-06-02 07:00:00,6900,6900,6900,6900,800,KBS
