date,open,high,low,close,volume,_source
2020-01-02 07:00:00,15950,15950,15950,15950,10,KBS
2020-01-03 07:00:00,15500,15500,15450,15450,3000,KBS
2020-01-06 07:00:00,15600,16000,15450,15450,420,KBS
2020-01-07 07:00:00,15400,15450,15400,15450,1000,KBS
2020-01-08 07:00:00,14550,15900,14550,14900,40,KBS
2020-01-09 07:00:00,15700,15700,15500,15500,1020,KBS
2020-01-10 07:00:00,15500,16000,15500,15500,500,KBS
2020-01-13 07:00:00,15500,16000,15500,16000,2650,KBS
2020-01-16 07:00:00,15500,16000,15400,16000,6030,KBS
2020-01-17 07:00:00,16000,16500,16000,16500,60,KBS
2020-01-20 07:00:00,16200,16200,16100,16100,370,KBS
2020-01-21 07:00:00,16300,16300,16300,16300,10,KBS
2020-01-30 07:00:00,17000,17000,15700,16850,30,KBS
2020-01-31 07:00:00,16900,16900,16900,16900,140,KBS
2020-02-03 07:00:00,15800,17000,15800,16500,2320,KBS
2020-02-04 07:00:00,16000,16000,16000,16000,16100,KBS
2020-02-05 07:00:00,16000,16000,15900,15900,2050,KBS
2020-02-06 07:00:00,15900,16000,15900,16000,3080,KBS
2020-02-07 07:00:00,16800,16800,16800,16800,10,KBS
2020-02-11 07:00:00,16500,16500,16500,16500,60,KBS
2020-02-12 07:00:00,15600,17000,15600,17000,20,KBS
2020-02-14 07:00:00,17700,17700,17700,17700,10,KBS
2020-02-17 07:00:00,16500,17700,16500,17700,550,KBS
2020-02-18 07:00:00,17700,17700,17700,17700,24000,KBS
2020-02-21 07:00:00,17500,17500,17500,17500,10,KBS
2020-02-24 07:00:00,16300,17000,16300,17000,30,KBS
2020-02-27 07:00:00,16050,17000,16050,17000,20,KBS
2020-02-28 07:00:00,17000,17000,17000,17000,50,KBS
2020-03-04 07:00:00,17500,17500,17500,17500,10,KBS
2020-03-05 07:00:00,17500,17500,16300,17400,30,KBS
2020-03-06 07:00:00,17400,17400,17000,17000,2370,KBS
2020-03-09 07:00:00,17500,17500,17000,17000,20,KBS
2020-03-10 07:00:00,16900,16900,16900,16900,20,KBS
2020-03-12 07:00:00,15800,15800,15800,15800,360,KBS
2020-03-13 07:00:00,15800,16900,14700,16900,3750,KBS
2020-03-17 07:00:00,16900,16900,16900,16900,10,KBS
2020-03-20 07:00:00,15750,15750,15750,15750,60,KBS
2020-03-23 07:00:00,16500,16500,16500,16500,10,KBS
2020-03-24 07:00:00,17000,17000,17000,17000,2050,KBS
2020-03-25 07:00:00,15900,16500,15900,16500,40,KBS
2020-03-30 07:00:00,15350,15350,15350,15350,100,KBS
2020-03-31 07:00:00,14400,15350,14400,15350,20,KBS
2020-04-01 07:00:00,14300,14300,14300,14300,50,KBS
2020-04-03 07:00:00,14300,15300,14300,15300,110,KBS
2020-04-06 07:00:00,15100,15100,14300,14900,1170,KBS
2020-04-07 07:00:00,15000,15900,14900,14900,30,KBS
2020-04-08 07:00:00,14500,15400,14500,15400,860,KBS
2020-04-09 07:00:00,14500,15000,14350,15000,2140,KBS
2020-04-13 07:00:00,14300,15000,14300,15000,120,KBS
2020-04-14 07:00:00,14250,14250,14200,14200,520,KBS
2020-04-15 07:00:00,13250,14250,13250,14000,2280,KBS
2020-04-16 07:00:00,13100,14500,13100,14500,610,KBS
2020-04-17 07:00:00,14500,14500,14500,14500,100,KBS
2020-04-20 07:00:00,14500,14900,14500,14900,420,KBS
2020-04-21 07:00:00,14900,15800,14900,15700,4430,KBS
2020-04-27 07:00:00,15500,15700,15500,15700,160,KBS
2020-04-29 07:00:00,15700,15700,15000,15700,360,KBS
2020-05-04 07:00:00,15600,15600,15600,15600,10,KBS
2020-05-05 07:00:00,15700,15700,15700,15700,90,KBS
2020-05-06 07:00:00,15700,16200,15700,15700,40,KBS
2020-05-07 07:00:00,16700,16700,14650,15600,1030,KBS
2020-05-08 07:00:00,15600,15600,15600,15600,30,KBS
2020-05-11 07:00:00,16000,16600,15600,16000,21770,KBS
2020-05-12 07:00:00,16000,17000,16000,16500,6120,KBS
2020-05-13 07:00:00,16500,16700,16500,16700,5460,KBS
2020-05-15 07:00:00,15600,16600,15600,16600,4060,KBS
2020-05-18 07:00:00,16600,16600,16600,16600,100,KBS
2020-05-19 07:00:00,15800,16000,15600,16000,170,KBS
2020-05-20 07:00:00,16000,16000,15500,16000,690,KBS
