date,open,high,low,close,volume,_source
2020-01-02 07:00:00,13619,14211,13619,14152,8190,KBS
2020-01-03 07:00:00,14181,14181,14152,14152,220,KBS
2020-01-07 07:00:00,14389,14389,13974,13974,530,KBS
2020-01-10 07:00:00,13619,13619,13619,13619,1070,KBS
2020-01-13 07:00:00,13619,13915,13619,13619,11160,KBS
2020-01-14 07:00:00,13619,13619,13619,13619,5000,KBS
2020-01-15 07:00:00,13619,13619,13619,13619,3150,KBS
2020-01-16 07:00:00,13619,13678,13619,13678,4880,KBS
2020-01-17 07:00:00,14152,14507,13323,14448,2510,KBS
2020-01-20 07:00:00,14448,14685,14448,14685,1000,KBS
2020-01-21 07:00:00,14744,14744,14744,14744,3000,KBS
2020-01-22 07:00:00,14329,14803,14329,14803,11220,KBS
2020-01-30 07:00:00,14093,14803,14093,14803,20,KBS
2020-02-03 07:00:00,14211,14329,13974,14329,720,KBS
2020-02-04 07:00:00,14329,14329,14329,14329,1190,KBS
2020-02-05 07:00:00,14329,14744,14329,14744,250,KBS
2020-02-10 07:00:00,13737,14507,13737,14507,760,KBS
2020-02-11 07:00:00,13915,14507,13915,14507,2010,KBS
2020-02-13 07:00:00,14625,14625,14625,14625,40,KBS
2020-02-17 07:00:00,14211,14211,14181,14181,240,KBS
2020-02-20 07:00:00,13974,14329,13974,14329,1080,KBS
2020-02-21 07:00:00,14211,14211,13974,13974,1390,KBS
2020-02-24 07:00:00,13796,13796,13737,13737,500,KBS
2020-02-25 07:00:00,13915,13915,13737,13915,1510,KBS
2020-02-27 07:00:00,13796,13796,13796,13796,3290,KBS
2020-02-28 07:00:00,13915,13915,13619,13619,660,KBS
2020-03-02 07:00:00,13619,13796,13619,13796,700,KBS
2020-03-03 07:00:00,14211,14211,13796,13796,380,KBS
2020-03-04 07:00:00,13856,13856,13856,13856,20,KBS
2020-03-05 07:00:00,14033,14329,14033,14329,10800,KBS
2020-03-06 07:00:00,14300,14329,14300,14329,70,KBS
2020-03-09 07:00:00,13915,13915,13856,13856,2840,KBS
2020-03-10 07:00:00,14211,14211,13915,13915,1420,KBS
2020-03-11 07:00:00,13796,13796,13441,13441,400,KBS
2020-03-12 07:00:00,13500,13500,12553,12553,2700,KBS
2020-03-13 07:00:00,13027,13412,13027,13145,1040,KBS
2020-03-16 07:00:00,13145,13145,13027,13145,7000,KBS
2020-03-17 07:00:00,13027,13027,12908,13027,6020,KBS
2020-03-19 07:00:00,13500,13500,13500,13500,10,KBS
2020-03-20 07:00:00,13500,13737,13500,13619,3690,KBS
2020-03-23 07:00:00,13204,13323,13027,13027,1900,KBS
2020-03-24 07:00:00,13027,13619,13027,13323,250,KBS
2020-03-26 07:00:00,13500,13500,13145,13145,220,KBS
2020-03-27 07:00:00,13204,13204,13145,13145,2750,KBS
2020-03-30 07:00:00,13145,13323,13145,13323,1020,KBS
2020-04-01 07:00:00,13204,13204,13027,13027,1060,KBS
2020-04-03 07:00:00,12198,13264,12198,13204,2990,KBS
2020-04-06 07:00:00,13204,13204,13145,13175,7310,KBS
2020-04-07 07:00:00,13204,13204,13204,13204,400,KBS
2020-04-08 07:00:00,13204,13204,12908,12908,1270,KBS
2020-04-09 07:00:00,13264,13382,12938,13382,3130,KBS
2020-04-13 07:00:00,13145,13175,13145,13175,1240,KBS
2020-04-14 07:00:00,13175,13441,13175,13175,600,KBS
2020-04-15 07:00:00,13204,13500,13204,13500,650,KBS
2020-04-16 07:00:00,13619,13619,13500,13500,1930,KBS
2020-04-20 07:00:00,13500,13500,13323,13500,300,KBS
2020-04-21 07:00:00,13500,13500,13500,13500,520,KBS
2020-04-22 07:00:00,13500,13500,13323,13323,2050,KBS
2020-04-23 07:00:00,13678,13678,13204,13204,2880,KBS
2020-04-24 07:00:00,13204,13204,13145,13204,1370,KBS
2020-04-27 07:00:00,13204,13204,13204,13204,3380,KBS
2020-04-28 07:00:00,13204,13204,13145,13145,1440,KBS
2020-04-29 07:00:00,13145,13323,13323,13323,340,KBS
2020-05-05 07:00:00,13500,13500,13323,13500,600,KBS
2020-05-08 07:00:00,13500,13500,13500,13500,200,KBS
2020-05-12 07:00:00,13678,13678,13678,13678,100,KBS
2020-05-13 07:00:00,13678,13678,13323,13323,2900,KBS
2020-05-14 07:00:00,13560,13560,13560,13560,500,KBS
2020-05-15 07:00:00,13619,13619,13619,13619,5300,KBS
2020-05-18 07:00:00,13086,13619,13086,13619,1500,KBS
2020-05-19 07:00:00,13204,13915,13204,13915,1220,KBS
2020-05-20 07:00:00,13619,13856,12968,13856,820,KBS
2020-05-21 07:00:00,13915,13915,13915,13915,11200,KBS
2020-05-22 07:00:00,13796,14211,13796,13915,2200,KBS
2020-05-25 07:00:00,14211,14211,13974,14033,2190,KBS
2020-05-26 07:00:00,13915,14211,13915,14211,120,KBS
2020-05-27 07:00:00,14152,14152,14152,14152,100,KBS
2020-05-28 07:00:00,14211,14211,14211,14211,30,KBS
2020-05-29 07:00:00,13915,13915,13796,13796,6000,KBS
2020-06-01 07:00:00,14181,14211,14152,14211,1560,KBS
2020-06-03 07:00:00,14211,14211,14211,14211,500,KBS
2020-06-04 07:00:00,14211,14211,14211,14211,100,KBS
2020-06-05 07:00:00,14211,14211,14211,14211,900,KBS
2020-06-08 07:00:00,13974,13974,13974,13974,10,KBS
2020-06-09 07:00:00,13974,14211,13974,14211,800,KBS
2020-06-10 07:00:00,13915,14211,13915,14211,4020,KBS
2020-06-11 07:00:00,14211,14211,14211,14211,3320,KBS
2020-06-12 07:00:00,13974,13974,13974,13974,100,KBS
2020-06-15 07:00:00,13974,13974,13915,13915,2200,KBS
2020-06-17 07:00:00,13915,13915,13915,13915,350,KBS
2020-06-19 07:00:00,13974,13974,13619,13619,600,KBS
2020-06-22 07:00:00,13619,13648,13352,13352,5100,KBS
2020-06-24 07:00:00,14241,14241,14241,14241,10,KBS
2020-06-26 07:00:00,14211,14211,14211,14211,10,KBS
2020-06-29 07:00:00,14211,14211,14211,14211,100,KBS
2020-06-30 07:00:00,14211,14211,14211,14211,300,KBS
2020-07-01 07:00:00,14211,14211,14211,14211,200,KBS
2020-07-02 07:00:00,14211,14211,13708,13708,260,KBS
2020-07-03 07:00:00,14181,14211,14181,14181,60,KBS
2020-07-06 07:00:00,14152,14152,14152,14152,50,KBS
2020-07-07 07:00:00,14152,14181,14093,14093,110,KBS
2020-07-08 07:00:00,13856,13856,13352,13619,1720,KBS
2020-07-10 07:00:00,13737,13737,13737,13737,3000,KBS
2020-07-13 07:00:00,14152,14211,14152,14211,4910,KBS
2020-07-14 07:00:00,13856,14211,13856,14211,17410,KBS
2020-07-15 07:00:00,13619,14211,13619,14211,560,KBS
2020-07-16 07:00:00,13648,13648,13648,13648,500,KBS
2020-07-17 07:00:00,14211,14211,14211,14211,4000,KBS
2020-07-20 07:00:00,14152,14152,14033,14033,500,KBS
2020-07-21 07:00:00,14211,14507,14211,14211,1310,KBS
2020-07-22 07:00:00,14211,14211,14211,14211,1320,KBS
2020-07-24 07:00:00,14803,14803,14211,14211,680,KBS
2020-07-27 07:00:00,14211,14773,14211,14773,1790,KBS
2020-07-28 07:00:00,14773,14773,14211,14329,1850,KBS
2020-07-29 07:00:00,14211,14211,13915,14211,5040,KBS
2020-07-30 07:00:00,14211,14211,14211,14211,130,KBS
2020-08-03 07:00:00,13648,14211,13619,14211,6590,KBS
2020-08-04 07:00:00,14211,14211,14211,14211,570,KBS
2020-08-05 07:00:00,14270,14270,14270,14270,570,KBS
2020-08-06 07:00:00,14329,14329,14270,14270,400,KBS
2020-08-07 07:00:00,14270,14773,14241,14773,2870,KBS
2020-08-10 07:00:00,15395,15780,15218,15218,28010,KBS
2020-08-11 07:00:00,15632,15632,15099,15247,9830,KBS
2020-08-12 07:00:00,15099,15336,15099,15336,6470,KBS
2020-08-13 07:00:00,15336,15336,14803,15099,14980,KBS
2020-08-14 07:00:00,15099,15277,15040,15099,7070,KBS
2020-08-17 07:00:00,15099,15158,15099,15129,5550,KBS
2020-08-18 07:00:00,15218,15306,15099,15306,6790,KBS
2020-08-19 07:00:00,15306,15395,15158,15336,21930,KBS
2020-08-20 07:00:00,15514,15573,15336,15336,22950,KBS
2020-08-21 07:00:00,15336,15573,15218,15454,55370,KBS
2020-08-24 07:00:00,15869,15987,15454,15780,71730,KBS
2020-08-25 07:00:00,15780,15869,15691,15810,18090,KBS
2020-08-26 07:00:00,15750,15750,15366,15573,29980,KBS
2020-08-27 07:00:00,15573,15605,15381,15381,11950,KBS
2020-08-28 07:00:00,15381,15509,15252,15252,10350,KBS
2020-08-31 07:00:00,15252,15317,14996,15060,25760,KBS
2020-09-01 07:00:00,15060,15252,14996,15252,19270,KBS
2020-09-03 07:00:00,15381,15381,15092,15252,5430,KBS
2020-09-04 07:00:00,15092,15252,15092,15252,3010,KBS
2020-09-07 07:00:00,15188,15188,15060,15060,15960,KBS
2020-09-08 07:00:00,15188,15188,15060,15092,1250,KBS
2020-09-09 07:00:00,15124,15188,15092,15188,8050,KBS
2020-09-10 07:00:00,15156,15220,15156,15220,2300,KBS
2020-09-11 07:00:00,15124,15252,15124,15220,6440,KBS
2020-09-14 07:00:00,15220,15733,15220,15605,37670,KBS
