date,open,high,low,close,volume,_source
2020-01-02 07:00:00,16065,16065,16065,16065,1000,KBS
2020-01-06 07:00:00,17027,17027,17027,17027,30,KBS
2020-01-09 07:00:00,18167,18167,17027,17383,40,KBS
2020-01-13 07:00:00,18416,18416,18416,18416,10,KBS
2020-01-17 07:00:00,17134,17134,17134,17134,10,KBS
2020-01-20 07:00:00,17098,17241,17098,17241,200,KBS
2020-01-30 07:00:00,17241,17241,17241,17241,50,KBS
2020-02-03 07:00:00,16421,16421,16386,16386,110,KBS
2020-02-04 07:00:00,17526,17526,17526,17526,10,KBS
2020-02-05 07:00:00,18487,18487,18487,18487,10,KBS
2020-02-11 07:00:00,19698,19698,19698,19698,10,KBS
2020-02-12 07:00:00,18345,18345,18345,18345,20,KBS
2020-02-17 07:00:00,17098,17098,17098,17098,20,KBS
2020-02-18 07:00:00,17098,17098,17098,17098,10,KBS
2020-02-26 07:00:00,17134,17134,17098,17098,110,KBS
2020-02-27 07:00:00,17098,17098,17098,17098,990,KBS
2020-03-09 07:00:00,15923,15923,15923,15923,240,KBS
2020-03-11 07:00:00,16671,16671,16671,16671,50,KBS
2020-03-13 07:00:00,15531,15531,15531,15531,2250,KBS
2020-03-16 07:00:00,14961,14961,14462,14462,3250,KBS
2020-03-17 07:00:00,13892,15424,13465,15424,6290,KBS
2020-03-18 07:00:00,16243,16243,16243,16243,10,KBS
2020-03-19 07:00:00,16386,16386,16386,16386,10,KBS
2020-03-20 07:00:00,16386,16386,15246,15246,1140,KBS
2020-03-23 07:00:00,14213,14213,14213,14213,60,KBS
2020-03-24 07:00:00,14925,14925,14925,14925,1500,KBS
2020-03-25 07:00:00,15602,15602,14106,15281,540,KBS
2020-03-26 07:00:00,16350,16350,14961,15958,300,KBS
2020-03-27 07:00:00,14854,15317,14854,15317,910,KBS
2020-03-30 07:00:00,16386,16386,14248,14248,3520,KBS
2020-03-31 07:00:00,13251,15175,13251,14961,70,KBS
2020-04-03 07:00:00,15745,15745,15745,15745,50,KBS
2020-04-06 07:00:00,15994,15994,15994,15994,20,KBS
2020-04-07 07:00:00,16029,16029,15103,15139,660,KBS
2020-04-08 07:00:00,15175,15317,15175,15175,130,KBS
2020-04-09 07:00:00,15388,15388,15388,15388,20,KBS
2020-04-10 07:00:00,15388,15602,14391,15602,70,KBS
2020-04-15 07:00:00,15602,15602,15602,15602,70,KBS
2020-04-16 07:00:00,15566,15602,15566,15602,20,KBS
2020-04-17 07:00:00,15566,16671,15495,16671,960,KBS
2020-04-20 07:00:00,15531,16671,15531,16671,170,KBS
2020-04-23 07:00:00,16386,16457,16386,16386,1170,KBS
2020-04-24 07:00:00,16386,17062,16386,16386,1150,KBS
2020-04-27 07:00:00,15602,15602,15602,15602,100,KBS
2020-04-28 07:00:00,16671,16671,16671,16671,10,KBS
2020-04-29 07:00:00,16671,16671,16528,16528,210,KBS
2020-05-04 07:00:00,16528,16956,15887,15887,200,KBS
2020-05-05 07:00:00,16956,16991,16956,16991,160,KBS
2020-05-06 07:00:00,18176,18176,16732,16732,100,KBS
2020-05-08 07:00:00,16140,16140,16140,16140,10,KBS
2020-05-11 07:00:00,16140,17213,16658,17213,40,KBS
2020-05-12 07:00:00,17213,17213,17213,17213,490,KBS
2020-05-13 07:00:00,17213,17213,17213,17213,10,KBS
2020-05-14 07:00:00,17398,18139,17398,18139,1190,KBS
2020-05-15 07:00:00,17991,17991,17991,17991,90,KBS
2020-05-18 07:00:00,19249,19249,18879,18879,20,KBS
2020-05-21 07:00:00,18879,19249,18065,18102,130,KBS
2020-05-22 07:00:00,18509,18509,18509,18509,10,KBS
2020-05-25 07:00:00,18509,19323,18509,19323,1260,KBS
2020-05-26 07:00:00,20545,20545,18509,20286,550,KBS
2020-05-27 07:00:00,18879,19990,18879,19990,1030,KBS
2020-06-02 07:00:00,18694,18694,18657,18657,300,KBS
2020-06-04 07:00:00,18472,19842,18472,19842,260,KBS
2020-06-05 07:00:00,19842,19842,19620,19842,230,KBS
2020-06-08 07:00:00,19620,19620,19249,19249,540,KBS
2020-06-09 07:00:00,19249,19990,19249,19323,410,KBS
2020-06-12 07:00:00,19249,19249,19249,19249,100,KBS
2020-06-18 07:00:00,19990,19990,19990,19990,10,KBS
2020-06-23 07:00:00,19990,19990,19990,19990,100,KBS
2020-06-24 07:00:00,19249,19249,19249,19249,50,KBS
2020-06-29 07:00:00,19474,19474,19474,19474,10,KBS
2020-07-07 07:00:00,19474,19474,19474,19474,20,KBS
2020-07-10 07:00:00,19849,19849,19849,19849,10,KBS
2020-07-13 07:00:00,18725,18725,18725,18725,40,KBS
2020-07-14 07:00:00,19998,19998,19998,19998,10,KBS
2020-07-15 07:00:00,19998,19998,19998,19998,830,KBS
2020-07-21 07:00:00,19998,19998,19998,19998,60,KBS
2020-07-22 07:00:00,19998,19998,19998,19998,2280,KBS
2020-07-27 07:00:00,18613,18613,18613,18613,10,KBS
2020-07-28 07:00:00,17339,17339,17339,17339,10,KBS
2020-07-29 07:00:00,16141,16141,16141,16141,2290,KBS
2020-08-03 07:00:00,16778,17227,16778,17227,110,KBS
2020-08-04 07:00:00,17227,17377,17227,17227,600,KBS
2020-08-05 07:00:00,17227,17227,17227,17227,40,KBS
2020-08-06 07:00:00,16104,16104,16104,16104,10,KBS
2020-08-10 07:00:00,15355,15355,15355,15355,10,KBS
2020-08-11 07:00:00,16403,16403,16403,16403,10,KBS
2020-08-12 07:00:00,16553,16553,16553,16553,10,KBS
2020-08-17 07:00:00,15841,15841,15841,15841,10,KBS
2020-08-18 07:00:00,16927,16927,16927,16927,30,KBS
2020-08-21 07:00:00,16965,16965,16965,16965,10,KBS
2020-08-24 07:00:00,15804,16965,15804,16965,20,KBS
2020-08-25 07:00:00,15841,16965,15841,16965,60,KBS
2020-08-26 07:00:00,16965,16965,16965,16965,10,KBS
2020-08-31 07:00:00,17976,17976,17976,17976,300,KBS
2020-09-01 07:00:00,18725,18725,18725,18725,10,KBS
2020-09-03 07:00:00,17414,17414,17414,17414,10,KBS
2020-09-04 07:00:00,17976,17976,17976,17976,10,KBS
2020-09-07 07:00:00,17976,17976,16853,16853,130,KBS
2020-09-11 07:00:00,16104,16104,16104,16104,140,KBS
2020-09-15 07:00:00,17227,17227,17227,17227,190,KBS
2020-09-16 07:00:00,17227,17227,17227,17227,40,KBS
2020-09-18 07:00:00,17227,17227,16104,17227,5280,KBS
2020-09-21 07:00:00,17227,17976,17227,17976,1090,KBS
2020-09-24 07:00:00,17227,17227,17227,17227,300,KBS
2020-09-25 07:00:00,17976,17976,17976,17976,1000,KBS
2020-09-29 07:00:00,17976,17976,17976,17976,200,KBS
2020-10-05 07:00:00,17976,17976,17976,17976,2260,KBS
2020-10-06 07:00:00,16853,17976,16853,17976,370,KBS
2020-10-14 07:00:00,19100,19100,19100,19100,10,KBS
2020-10-16 07:00:00,19100,19100,17826,17826,240,KBS
2020-10-19 07:00:00,16703,16703,16703,16703,10,KBS
2020-10-20 07:00:00,17864,17864,17864,17864,100,KBS
2020-10-21 07:00:00,17864,17864,17864,17864,10,KBS
2020-10-23 07:00:00,17864,17864,17864,17864,10,KBS
2020-10-29 07:00:00,18351,18351,18351,18351,10,KBS
2020-11-02 07:00:00,18575,18575,18575,18575,100,KBS
2020-11-04 07:00:00,18575,18575,18575,18575,20,KBS
2020-11-05 07:00:00,18725,18725,18725,18725,20,KBS
2020-11-13 07:00:00,18725,18725,18725,18725,100,KBS
2020-11-16 07:00:00,17414,17414,17414,17414,10,KBS
2020-11-17 07:00:00,18613,18613,16478,16478,140,KBS
2020-11-18 07:00:00,16478,17602,16478,17602,1610,KBS
2020-11-19 07:00:00,18725,18800,18725,18800,880,KBS
2020-11-20 07:00:00,19474,20111,19474,20111,730,KBS
2020-11-23 07:00:00,20111,20111,20111,20111,360,KBS
2020-11-24 07:00:00,19998,19998,18725,18725,440,KBS
2020-11-25 07:00:00,19886,19886,17414,17527,990,KBS
2020-11-26 07:00:00,18276,18276,18276,18276,60,KBS
2020-11-27 07:00:00,17602,17602,17602,17602,1110,KBS
2020-11-30 07:00:00,16590,16628,16590,16628,30,KBS
2020-12-01 07:00:00,17789,17789,17789,17789,40,KBS
2020-12-02 07:00:00,16778,16778,16778,16778,80,KBS
2020-12-03 07:00:00,16778,16778,16778,16778,60,KBS
2020-12-04 07:00:00,17002,17002,17002,17002,80,KBS
2020-12-07 07:00:00,18126,18163,18126,18163,220,KBS
2020-12-08 07:00:00,16927,18725,16927,18051,730,KBS
2020-12-09 07:00:00,18725,19287,18725,19287,850,KBS
2020-12-10 07:00:00,20223,20223,20223,20223,100,KBS
2020-12-11 07:00:00,21571,21609,19474,21609,110,KBS
2020-12-14 07:00:00,20972,22470,20148,20148,3000,KBS
2020-12-22 07:00:00,19549,19549,19549,19549,360,KBS
2020-12-23 07:00:00,19549,19549,19549,19549,20,KBS
2020-12-24 07:00:00,18837,18837,18837,18837,220,KBS
2020-12-25 07:00:00,17826,19923,17826,19923,60,KBS
2020-12-28 07:00:00,19923,19923,19923,19923,610,KBS
2020-12-29 07:00:00,19923,19923,19923,19923,70,KBS
2020-12-30 07:00:00,19849,21309,19849,21309,2560,KBS
2020-12-31 07:00:00,20073,22770,20073,22770,360,KBS
2021-01-04 07:00:00,22545,22770,22470,22770,8100,KBS
2021-01-05 07:00:00,21721,22695,21721,22695,600,KBS
2021-01-06 07:00:00,21571,22770,21571,22770,500,KBS
2021-01-07 07:00:00,22770,22770,22770,22770,2600,KBS
2021-01-12 07:00:00,21272,21347,21272,21347,1700,KBS
2021-01-14 07:00:00,21347,21347,21347,21347,2700,KBS
2021-01-15 07:00:00,21347,21347,20972,20972,3000,KBS
2021-01-18 07:00:00,19849,19849,19849,19849,3200,KBS
2021-01-20 07:00:00,19474,19474,19474,19474,2600,KBS
2021-01-21 07:00:00,19474,19474,19474,19474,100,KBS
2021-01-22 07:00:00,20747,20747,20747,20747,200,KBS
2021-01-25 07:00:00,20822,22170,20822,22170,1100,KBS
2021-01-26 07:00:00,22245,22320,22245,22320,500,KBS
2021-01-28 07:00:00,22245,22245,20972,20972,1100,KBS
2021-02-01 07:00:00,22433,22433,22433,22433,100,KBS
2021-02-02 07:00:00,23968,23968,23968,23968,200,KBS
2021-02-03 07:00:00,22320,22320,22320,22320,1000,KBS
2021-02-08 07:00:00,22470,22470,22470,22470,4500,KBS
2021-02-17 07:00:00,23968,23968,23968,23968,100,KBS
2021-02-18 07:00:00,25616,25616,25616,25616,100,KBS
2021-02-26 07:00:00,25616,25616,25616,25616,700,KBS
2021-03-01 07:00:00,23856,23856,23856,23856,600,KBS
2021-03-03 07:00:00,25503,25503,25503,25503,100,KBS
2021-03-05 07:00:00,26739,26739,26739,26739,100,KBS
2021-03-08 07:00:00,28387,28387,26515,26515,200,KBS
2021-03-10 07:00:00,26515,28312,26515,28312,200,KBS
2021-03-16 07:00:00,26964,28350,26590,26590,800,KBS
2021-03-17 07:00:00,26215,26215,26215,26215,400,KBS
2021-03-18 07:00:00,26215,27563,26215,27563,200,KBS
2021-03-22 07:00:00,28387,28387,28387,28387,100,KBS
2021-03-23 07:00:00,29211,29211,28387,29211,500,KBS
2021-03-24 07:00:00,27339,27339,27339,27339,1700,KBS
2021-04-02 07:00:00,27339,27339,27339,27339,100,KBS
2021-04-06 07:00:00,26065,26065,26065,26065,100,KBS
2021-04-07 07:00:00,27863,27863,27563,27713,600,KBS
2021-04-08 07:00:00,27713,27713,27713,27713,2000,KBS
2021-04-13 07:00:00,26065,26065,26065,26065,100,KBS
