date,open,high,low,close,volume,_source
2020-01-02 07:00:00,10651,10675,10456,10651,580,KBS
2020-01-03 07:00:00,10602,10651,10262,10432,1380,KBS
2020-01-06 07:00:00,10286,10432,10237,10286,3550,KBS
2020-01-07 07:00:00,10335,10529,10298,10335,3590,KBS
2020-01-08 07:00:00,10335,10456,10310,10408,11380,KBS
2020-01-09 07:00:00,10432,10797,10432,10700,13570,KBS
2020-01-10 07:00:00,10772,10943,10700,10894,4720,KBS
2020-01-13 07:00:00,10943,11064,10845,11064,5850,KBS
2020-01-14 07:00:00,11064,11113,10943,11113,9450,KBS
2020-01-15 07:00:00,11162,11162,10943,11113,3080,KBS
2020-01-16 07:00:00,10943,11149,10906,11149,6240,KBS
2020-01-17 07:00:00,11089,11089,10858,11040,5670,KBS
2020-01-20 07:00:00,11040,11064,10943,11040,2450,KBS
2020-01-21 07:00:00,11040,11064,10894,10943,3580,KBS
2020-01-22 07:00:00,10943,11040,10724,10943,2340,KBS
2020-01-30 07:00:00,11210,11551,11162,11551,15220,KBS
2020-01-31 07:00:00,11964,11964,11551,11794,30130,KBS
2020-02-03 07:00:00,11551,11551,10991,11332,20530,KBS
2020-02-04 07:00:00,11356,11551,11283,11551,12150,KBS
2020-02-05 07:00:00,11672,11672,11453,11551,1140,KBS
2020-02-06 07:00:00,11551,11648,11466,11551,5160,KBS
2020-02-07 07:00:00,11551,11551,11307,11502,2410,KBS
2020-02-10 07:00:00,11307,11429,11089,11113,19130,KBS
2020-02-11 07:00:00,11186,11186,10991,11113,6920,KBS
2020-02-12 07:00:00,11113,11113,10943,11064,5790,KBS
2020-02-13 07:00:00,11064,11113,11064,11089,3180,KBS
2020-02-14 07:00:00,11113,11186,10943,10943,7800,KBS
2020-02-17 07:00:00,10943,10943,10700,10821,20500,KBS
2020-02-18 07:00:00,10566,10821,10456,10651,26700,KBS
2020-02-19 07:00:00,10639,10821,10456,10821,13640,KBS
2020-02-20 07:00:00,10894,10943,10578,10627,980,KBS
2020-02-21 07:00:00,10700,10967,10627,10821,7790,KBS
2020-02-24 07:00:00,10748,10918,10578,10821,14560,KBS
2020-02-25 07:00:00,10578,10943,10578,10943,8320,KBS
2020-02-26 07:00:00,10894,11003,10894,10967,3560,KBS
2020-02-27 07:00:00,10894,11052,10894,10967,3510,KBS
2020-02-28 07:00:00,10894,10955,10700,10894,10460,KBS
2020-03-02 07:00:00,10943,10943,10821,10894,3190,KBS
2020-03-03 07:00:00,10894,10943,10821,10918,10890,KBS
2020-03-04 07:00:00,11016,11283,10894,11283,9760,KBS
2020-03-05 07:00:00,11283,11380,10505,11283,8250,KBS
2020-03-06 07:00:00,11259,11283,10943,11064,3620,KBS
2020-03-09 07:00:00,10456,10651,10432,10456,21770,KBS
2020-03-10 07:00:00,10456,10894,10456,10894,2230,KBS
2020-03-11 07:00:00,10833,11064,10505,10882,6420,KBS
2020-03-12 07:00:00,10481,10700,10359,10456,15890,KBS
2020-03-13 07:00:00,10456,10469,10213,10469,9850,KBS
2020-03-16 07:00:00,10700,10700,10481,10675,2740,KBS
2020-03-17 07:00:00,10700,10821,10578,10651,2750,KBS
2020-03-18 07:00:00,10651,10675,10578,10651,5040,KBS
2020-03-19 07:00:00,10627,10700,10408,10456,4930,KBS
2020-03-20 07:00:00,10481,10578,10383,10554,7710,KBS
2020-03-23 07:00:00,10456,10554,9824,9970,40990,KBS
2020-03-24 07:00:00,10219,10356,10219,10344,5610,KBS
2020-03-25 07:00:00,10842,10842,10269,10568,2100,KBS
2020-03-26 07:00:00,10568,10643,10369,10518,3640,KBS
2020-03-27 07:00:00,10668,10668,10469,10568,860,KBS
2020-03-30 07:00:00,10369,10369,9970,10169,3500,KBS
2020-03-31 07:00:00,10219,10219,9970,10194,1150,KBS
2020-04-01 07:00:00,10095,10319,10095,10319,3100,KBS
2020-04-03 07:00:00,10419,10419,10319,10369,1520,KBS
2020-04-06 07:00:00,10369,10543,10294,10518,7860,KBS
2020-04-07 07:00:00,10643,10693,10593,10593,60,KBS
2020-04-08 07:00:00,10593,10593,10469,10568,650,KBS
2020-04-09 07:00:00,10693,10768,10593,10618,2190,KBS
2020-04-10 07:00:00,10593,10655,10444,10568,4390,KBS
2020-04-13 07:00:00,10518,10593,10356,10518,8780,KBS
2020-04-14 07:00:00,10493,10518,10269,10518,12910,KBS
2020-04-15 07:00:00,10518,10718,10319,10568,3770,KBS
2020-04-16 07:00:00,10643,10643,10419,10593,7590,KBS
2020-04-17 07:00:00,10469,10643,10469,10593,5470,KBS
2020-04-20 07:00:00,10718,10718,10419,10469,8820,KBS
2020-04-21 07:00:00,10419,10643,10419,10643,22480,KBS
2020-04-22 07:00:00,10643,10768,10469,10768,19970,KBS
2020-04-23 07:00:00,10817,10842,10643,10705,3240,KBS
2020-04-24 07:00:00,10643,10743,10643,10743,920,KBS
2020-04-27 07:00:00,10842,11079,10743,11079,44200,KBS
2020-04-28 07:00:00,11092,11341,11092,11328,10620,KBS
2020-04-29 07:00:00,11279,11328,10967,11279,5330,KBS
2020-05-04 07:00:00,11216,11341,10967,11341,6650,KBS
2020-05-05 07:00:00,11341,11690,11341,11553,19370,KBS
2020-05-06 07:00:00,11590,11964,11366,11964,21570,KBS
2020-05-07 07:00:00,11989,12288,11740,12089,8920,KBS
2020-05-08 07:00:00,12213,12263,12101,12138,17550,KBS
2020-05-11 07:00:00,12300,12388,12014,12300,6830,KBS
2020-05-12 07:00:00,12114,12463,12114,12388,6520,KBS
2020-05-13 07:00:00,12163,12288,12014,12188,20570,KBS
2020-05-14 07:00:00,12188,12213,12138,12138,20780,KBS
2020-05-15 07:00:00,12188,12288,12114,12114,11570,KBS
2020-05-18 07:00:00,12089,12188,12089,12188,13470,KBS
2020-05-19 07:00:00,12375,12463,12213,12463,14710,KBS
2020-05-20 07:00:00,12463,12662,12288,12463,12850,KBS
2020-05-21 07:00:00,12848,12848,12385,12527,300,KBS
2020-05-22 07:00:00,12591,12642,12385,12565,1320,KBS
2020-05-25 07:00:00,12591,12591,12385,12385,2250,KBS
2020-05-26 07:00:00,12411,12707,12411,12591,3610,KBS
2020-05-27 07:00:00,12591,12848,12591,12719,3090,KBS
2020-05-28 07:00:00,12822,12822,12488,12591,1750,KBS
2020-05-29 07:00:00,12642,12797,12360,12360,10120,KBS
2020-06-01 07:00:00,12694,13208,12475,12835,7560,KBS
2020-06-02 07:00:00,12604,13233,12488,12488,1080,KBS
2020-06-03 07:00:00,12797,12797,12514,12797,5420,KBS
2020-06-04 07:00:00,12797,13619,12797,13105,4970,KBS
2020-06-05 07:00:00,13362,13876,13362,13876,22900,KBS
2020-06-08 07:00:00,13747,14056,13747,14056,14950,KBS
2020-06-09 07:00:00,14133,14364,14056,14364,11650,KBS
2020-06-10 07:00:00,14390,14621,14364,14544,18450,KBS
2020-06-11 07:00:00,14415,15161,14415,14647,4710,KBS
2020-06-12 07:00:00,14415,14647,13876,14647,9730,KBS
2020-06-15 07:00:00,14647,15238,14390,14647,4000,KBS
2020-06-16 07:00:00,14775,14775,14441,14647,6180,KBS
2020-06-17 07:00:00,14390,14647,14390,14647,2950,KBS
2020-06-18 07:00:00,14647,14647,14415,14518,4240,KBS
2020-06-19 07:00:00,14518,14595,14441,14595,3880,KBS
2020-06-22 07:00:00,14621,14621,14210,14210,5550,KBS
2020-06-23 07:00:00,14261,14338,14081,14236,9950,KBS
2020-06-24 07:00:00,14621,14621,14133,14441,9920,KBS
2020-06-25 07:00:00,15040,15126,14698,14812,10380,KBS
2020-06-26 07:00:00,14898,14898,14812,14898,270,KBS
2020-06-29 07:00:00,14612,14926,14270,14527,11560,KBS
2020-06-30 07:00:00,14298,14841,14270,14298,4800,KBS
2020-07-01 07:00:00,14270,14413,14156,14270,3900,KBS
2020-07-02 07:00:00,14270,14270,13699,13756,16380,KBS
