date,open,high,low,close,volume,_source
2020-04-29 07:00:00,4567,4567,4567,4567,2000,KBS
2021-04-13 07:00:00,5009,5009,5009,5009,196400,KBS
2021-04-14 07:00:00,5451,5451,5451,5451,100,KBS
2021-04-15 07:00:00,5451,5451,5451,5451,50,KBS
2021-04-16 07:00:00,5967,5967,5967,5967,5500,KBS
2021-04-20 07:00:00,6556,6556,6556,6556,100,KBS
2021-04-22 07:00:00,7145,7145,7145,7145,449,KBS
2021-04-23 07:00:00,7808,7808,7808,7808,20800,KBS
2021-04-26 07:00:00,8545,8545,8545,8545,600,KBS
2021-04-27 07:00:00,9355,9355,9355,9355,10424,KBS
2021-04-28 07:00:00,10239,10239,10239,10239,28900,KBS
2021-04-29 07:00:00,11197,11197,11197,11197,13000,KBS
2021-05-04 07:00:00,12302,12302,12302,12302,15046,KBS
2021-05-05 07:00:00,13481,13481,13481,13481,5367,KBS
2021-05-06 07:00:00,14807,14807,14807,14807,12100,KBS
2021-05-07 07:00:00,16280,16280,16280,16280,600,KBS
2021-05-10 07:00:00,17900,17900,17900,17900,1900,KBS
2021-05-11 07:00:00,19668,19668,19668,19668,100,KBS
2021-05-12 07:00:00,19668,21584,19668,21584,600,KBS
2021-05-13 07:00:00,23720,23720,23720,23720,900,KBS
2021-05-14 07:00:00,26077,26077,26077,26077,100,KBS
2021-05-17 07:00:00,28655,28655,28655,28655,800,KBS
2021-05-18 07:00:00,31455,31455,31455,31455,4000,KBS
2021-05-19 07:00:00,34549,34549,31455,34549,2650,KBS
2021-05-20 07:00:00,35727,37937,34549,37937,3200,KBS
2021-05-21 07:00:00,37937,38011,37937,38011,2100,KBS
2021-05-24 07:00:00,38011,38084,34622,34622,1800,KBS
2021-05-25 07:00:00,31160,34254,31160,31160,2500,KBS
2021-05-26 07:00:00,31160,31160,28066,28066,600,KBS
2021-05-27 07:00:00,25267,25267,25267,25267,1300,KBS
2021-05-28 07:00:00,22762,22762,22762,22762,3350,KBS
2021-05-31 07:00:00,22762,22762,22762,22762,200,KBS
2021-06-02 07:00:00,21363,21363,21363,21363,500,KBS
2021-06-03 07:00:00,20626,20626,19226,19889,6870,KBS
2021-06-04 07:00:00,17900,17900,17900,17900,3120,KBS
2021-06-08 07:00:00,16133,16133,16133,16133,200,KBS
2021-06-09 07:00:00,14586,14659,14586,14659,3550,KBS
2021-06-10 07:00:00,16059,16059,16059,16059,37995,KBS
2021-06-14 07:00:00,17606,17606,17606,17606,700,KBS
2021-06-15 07:00:00,19300,19300,19300,19300,1900,KBS
2021-06-16 07:00:00,19300,19300,19300,19300,49,KBS
2021-06-23 07:00:00,17385,17385,17385,17385,3000,KBS
2021-06-24 07:00:00,17385,17385,15691,15691,7170,KBS
2021-06-25 07:00:00,14217,14217,14217,14217,900,KBS
2021-06-28 07:00:00,15617,15617,15617,15617,22660,KBS
2021-06-30 07:00:00,14070,14070,14070,14070,100,KBS
2021-07-02 07:00:00,15470,15470,15470,15470,2350,KBS
2021-07-14 07:00:00,17016,17016,17016,17016,400,KBS
2021-07-15 07:00:00,18711,18711,18711,18711,300,KBS
2021-07-20 07:00:00,18711,18711,18711,18711,400,KBS
2021-07-26 07:00:00,18711,18711,18711,18711,700,KBS
2021-08-03 07:00:00,18711,18711,18711,18711,100,KBS
2021-09-14 07:00:00,19521,19521,19521,19521,400,KBS
2021-10-12 07:00:00,17679,17679,17679,17679,200,KBS
2021-10-14 07:00:00,18416,18416,18416,18416,200,KBS
2021-11-10 07:00:00,16574,16574,16574,16574,300,KBS
2021-11-15 07:00:00,16206,16206,16206,16206,200,KBS
2021-11-16 07:00:00,15838,17827,14807,14807,1410,KBS
2021-11-23 07:00:00,14807,14807,14807,14807,1,KBS
2021-11-25 07:00:00,13333,13333,13333,13333,5000,KBS
2021-12-03 07:00:00,12155,12155,12155,12155,100,KBS
2021-12-14 07:00:00,13333,13333,13333,13333,300,KBS
2021-12-21 07:00:00,13333,13333,13333,13333,100,KBS
2021-12-24 07:00:00,12007,12376,12007,12376,600,KBS
2021-12-30 07:00:00,11271,13333,11271,13333,2630,KBS
2022-01-04 07:00:00,13333,13333,13333,13333,200,KBS
2022-01-05 07:00:00,13407,13407,13407,13407,100,KBS
2022-01-12 07:00:00,12155,12155,12155,12155,1000,KBS
2022-01-20 07:00:00,12155,12155,10976,10976,300,KBS
2022-01-25 07:00:00,9945,9945,9945,9945,2399,KBS
2022-02-11 07:00:00,9576,9576,9576,9576,100,KBS
2022-02-14 07:00:00,9576,9576,9576,9576,737,KBS
2022-03-04 07:00:00,10534,10534,10534,10534,100,KBS
2022-03-07 07:00:00,11050,11050,11050,11050,100,KBS
2022-03-08 07:00:00,12155,12155,12155,12155,100,KBS
2022-03-09 07:00:00,13333,13333,13333,13333,100,KBS
2022-03-10 07:00:00,14659,14659,14659,14659,100,KBS
2022-03-11 07:00:00,16059,16059,16059,16059,200,KBS
2022-03-14 07:00:00,17606,17606,17606,17606,200,KBS
2022-03-15 07:00:00,19300,19300,19300,19300,200,KBS
2022-03-16 07:00:00,21215,21215,21215,21215,450,KBS
2022-03-17 07:00:00,23278,23278,23278,23278,300,KBS
2022-03-18 07:00:00,25562,25562,25562,25562,100,KBS
2022-03-21 07:00:00,28066,28066,28066,28066,11300,KBS
2022-03-22 07:00:00,30865,30865,30865,30865,8947,KBS
2022-03-23 07:00:00,33886,33886,33886,33886,2100,KBS
2022-03-24 07:00:00,37274,37274,30497,30497,5900,KBS
2022-03-25 07:00:00,30497,30497,27477,27477,850,KBS
2022-03-28 07:00:00,24751,24751,24751,24751,3800,KBS
2022-03-29 07:00:00,22320,25783,22320,25783,3910,KBS
2022-03-30 07:00:00,25783,25783,25783,25783,500,KBS
2022-03-31 07:00:00,23204,23204,23204,23204,200,KBS
2022-04-01 07:00:00,20921,24751,20921,24309,4300,KBS
2022-04-04 07:00:00,22562,22562,22562,22562,100,KBS
2022-04-05 07:00:00,21195,24765,21195,24765,200,KBS
2022-04-06 07:00:00,22334,22334,22334,22334,1200,KBS
2022-04-07 07:00:00,20131,20131,20131,20131,400,KBS
2022-04-08 07:00:00,18156,18232,18156,18156,1100,KBS
2022-04-12 07:00:00,16409,16409,16409,16409,2000,KBS
2022-04-13 07:00:00,14813,14813,14813,14813,100,KBS
2022-04-15 07:00:00,13370,13370,13370,13370,2200,KBS
2022-04-18 07:00:00,12079,12079,12079,12079,2600,KBS
2022-04-19 07:00:00,13218,13218,10939,10939,700,KBS
2022-04-21 07:00:00,12003,12003,12003,12003,100,KBS
2022-04-22 07:00:00,13142,13142,13142,13142,100,KBS
2022-04-25 07:00:00,14434,14434,14434,14434,218,KBS
2022-04-26 07:00:00,13674,13674,12990,12990,700,KBS
2022-04-28 07:00:00,11775,11775,11775,11775,200,KBS
2022-05-06 07:00:00,12914,12914,12914,12914,110,KBS
2022-05-11 07:00:00,14206,14206,14206,14206,2000,KBS
2022-05-17 07:00:00,12838,12838,12838,12838,218,KBS
2022-05-19 07:00:00,14054,14054,14054,14054,4000,KBS
2022-06-03 07:00:00,12762,12762,12762,12762,100,KBS
2022-06-14 07:00:00,12762,12762,12762,12762,500,KBS
2022-06-15 07:00:00,12762,12762,12762,12762,300,KBS
2022-06-16 07:00:00,13978,13978,13978,13978,6000,KBS
2022-07-15 07:00:00,12610,12610,12610,12610,1300,KBS
2022-07-18 07:00:00,12610,12610,12610,12610,10,KBS
2022-07-20 07:00:00,11395,11395,11395,11395,100,KBS
2022-07-22 07:00:00,11395,11395,11395,11395,36,KBS
2022-07-29 07:00:00,12534,12534,12534,12534,100,KBS
2022-08-01 07:00:00,13750,13750,13750,13750,100,KBS
2022-08-02 07:00:00,12383,15041,12383,15041,1600,KBS
2022-08-03 07:00:00,16409,16409,16409,16409,100,KBS
2022-08-04 07:00:00,17852,17852,17852,17852,100,KBS
2022-08-05 07:00:00,19447,19447,19447,19447,100,KBS
2022-08-08 07:00:00,21195,21195,21195,21195,500,KBS
2022-08-09 07:00:00,23094,23094,23094,23094,700,KBS
2022-08-10 07:00:00,24233,24233,24233,24233,100,KBS
2022-08-11 07:00:00,26208,26208,26208,26208,100,KBS
2022-08-12 07:00:00,28715,28715,28715,28715,100,KBS
2022-08-22 07:00:00,28715,28715,28715,28715,600,KBS
2022-08-31 07:00:00,25905,28639,25905,25905,300,KBS
2022-09-05 07:00:00,23322,23322,23322,23322,100,KBS
2022-09-08 07:00:00,24993,24993,21043,21043,1257,KBS
2022-09-09 07:00:00,18992,21043,18992,21043,2708,KBS
2022-09-15 07:00:00,21954,22106,21043,22106,300,KBS
2022-09-16 07:00:00,19903,19903,19903,19903,100,KBS
2022-09-19 07:00:00,17928,17928,17928,17928,100,KBS
2022-09-20 07:00:00,16181,16181,16181,16181,2392,KBS
2022-09-21 07:00:00,14586,17472,14586,17472,1369,KBS
2022-09-22 07:00:00,15725,15725,15725,15725,3300,KBS
2022-09-23 07:00:00,14282,14282,14206,14206,400,KBS
2022-09-27 07:00:00,14206,14206,14206,14206,170,KBS
2022-09-30 07:00:00,12914,12914,12914,12914,100,KBS
2022-10-03 07:00:00,12914,12914,12914,12914,45,KBS
2022-10-10 07:00:00,12914,12914,12914,12914,41,KBS
2022-10-11 07:00:00,14206,14206,14206,14206,104,KBS
2022-10-12 07:00:00,14206,14206,14206,14206,120,KBS
2022-10-13 07:00:00,14206,14206,14206,14206,60,KBS
2022-10-18 07:00:00,15421,15421,15421,15421,100,KBS
2022-10-21 07:00:00,15421,15421,15421,15421,30,KBS
2023-02-07 07:00:00,15573,15573,15573,15573,300,KBS
2023-02-17 07:00:00,14054,14054,14054,14054,200,KBS
2023-02-20 07:00:00,12686,12686,12686,12686,400,KBS
2023-02-24 07:00:00,11547,11547,11471,11471,200,KBS
2023-02-28 07:00:00,10407,10407,10407,10407,121,KBS
2023-03-01 07:00:00,10407,10407,10407,10407,3,KBS
2023-03-03 07:00:00,9496,9496,9496,9496,100,KBS
2023-03-09 07:00:00,8812,8812,8812,8812,100,KBS
2023-03-10 07:00:00,8432,8508,8432,8508,500,KBS
2023-03-13 07:00:00,7976,7976,7976,7976,400,KBS
2023-03-14 07:00:00,7369,7369,7369,7369,100,KBS
2023-03-15 07:00:00,7217,7217,7217,7217,100,KBS
2023-03-16 07:00:00,7217,7217,7217,7217,300,KBS
2023-03-17 07:00:00,7901,7901,7901,7901,100,KBS
2023-03-20 07:00:00,8280,8280,8280,8280,1100,KBS
2023-03-21 07:00:00,9040,9040,9040,9040,301,KBS
2023-03-24 07:00:00,8204,9876,8204,9876,300,KBS
2023-03-31 07:00:00,9876,9876,9876,9876,1,KBS
2023-04-07 07:00:00,10787,10787,10787,10787,702,KBS
2023-04-14 07:00:00,10255,10255,10255,10255,400,KBS
2023-04-18 07:00:00,9268,9268,9268,9268,100,KBS
2023-04-20 07:00:00,9268,9268,9268,9268,100,KBS
2023-05-05 07:00:00,9268,9268,9268,9918,1,KBS
2023-05-12 07:00:00,10081,10081,10081,10081,100,KBS
2023-05-16 07:00:00,11056,11056,11056,11056,100,KBS
2023-05-18 07:00:00,12113,12113,10000,10000,200,KBS
2023-05-23 07:00:00,10975,10975,10975,10975,100,KBS
2023-05-26 07:00:00,9918,9918,9918,9918,100,KBS
2023-05-30 07:00:00,9024,9024,9024,9024,100,KBS
2023-05-31 07:00:00,8211,8211,8211,8211,100,KBS
2023-06-02 07:00:00,9024,9024,9024,9024,100,KBS
2023-06-06 07:00:00,9837,9837,9837,9837,100,KBS
2023-06-07 07:00:00,9837,9837,9837,9837,1,KBS
2023-06-23 07:00:00,10731,10813,10731,10813,400,KBS
2023-06-27 07:00:00,9837,10569,9837,10569,200,KBS
2023-06-28 07:00:00,9593,10569,9593,10569,400,KBS
2023-06-29 07:00:00,11626,11626,9674,11626,400,KBS
2023-06-30 07:00:00,12682,12764,12682,12764,200,KBS
2023-07-03 07:00:00,13983,13983,13983,13983,120,KBS
2023-07-05 07:00:00,15203,15203,15203,15203,100,KBS
2023-07-06 07:00:00,16666,16666,16666,16666,500,KBS
2023-07-07 07:00:00,15121,15121,15121,15121,200,KBS
2023-07-10 07:00:00,13658,13658,13658,13658,100,KBS
2023-07-11 07:00:00,12357,12357,12357,12357,100,KBS
2023-07-12 07:00:00,11300,11300,11138,11138,300,KBS
2023-07-14 07:00:00,10162,10162,10162,10162,100,KBS
2023-07-17 07:00:00,9756,9756,9756,9756,100,KBS
2023-07-18 07:00:00,10406,10406,8943,8943,200,KBS
2023-07-19 07:00:00,9837,9837,9837,9837,100,KBS
2023-07-20 07:00:00,10813,10813,10813,10813,100,KBS
2023-07-21 07:00:00,11869,11869,11869,11869,100,KBS
2023-07-24 07:00:00,10731,10731,10731,10731,100,KBS
2023-07-25 07:00:00,10813,10813,9674,9674,300,KBS
2023-07-26 07:00:00,9674,9674,9674,9674,100,KBS
2023-08-01 07:00:00,10569,10569,10569,10569,100,KBS
2023-08-02 07:00:00,10569,10569,10569,10569,200,KBS
2023-08-07 07:00:00,9593,9593,9593,9593,600,KBS
2023-08-08 07:00:00,10487,10487,10487,10487,100,KBS
2023-08-10 07:00:00,11382,11463,11382,11463,200,KBS
2023-08-11 07:00:00,12520,12520,12520,12520,100,KBS
2023-08-14 07:00:00,13495,13495,13495,13495,100,KBS
2023-08-15 07:00:00,13414,13414,12195,12195,800,KBS
2023-08-16 07:00:00,13170,13170,13170,13170,100,KBS
2023-08-23 07:00:00,11869,11869,11869,11869,100,KBS
2023-08-24 07:00:00,10813,10813,10813,10813,100,KBS
2023-09-05 07:00:00,9918,9918,9837,9918,1300,KBS
2023-09-11 07:00:00,9024,9918,9024,9918,600,KBS
2023-09-12 07:00:00,9918,9918,9024,9024,400,KBS
2023-09-20 07:00:00,9024,9024,9024,9024,1,KBS
2023-09-25 07:00:00,9024,9024,9024,9024,1,KBS
2023-09-26 07:00:00,8943,8943,8943,8943,300,KBS
2023-09-27 07:00:00,9837,9837,9837,9837,100,KBS
2023-09-28 07:00:00,9837,9837,9837,9837,1,KBS
2023-10-02 07:00:00,8943,8943,8943,8943,300,KBS
2023-10-12 07:00:00,8943,8943,8943,8943,500,KBS
2023-10-25 07:00:00,8943,8943,8943,8943,3,KBS
2023-10-30 07:00:00,8943,8943,8943,8943,100,KBS
2023-11-06 07:00:00,8130,8130,8130,8130,100,KBS
2024-02-06 07:00:00,7642,7642,7561,7561,3000,KBS
2024-02-26 07:00:00,8292,8292,8292,8292,100,KBS
2024-02-28 07:00:00,9105,9105,9105,9105,100,KBS
2024-03-06 07:00:00,10000,10000,10000,10000,100,KBS
2024-03-08 07:00:00,9024,9024,9024,9024,203,KBS
2024-03-14 07:00:00,8130,8130,8130,8130,100,KBS
2024-04-04 07:00:00,8943,8943,8943,8943,200,KBS
2024-04-05 07:00:00,8943,8943,8943,8943,20,KBS
2024-04-08 07:00:00,8048,8048,8048,8048,100,KBS
2024-04-12 07:00:00,8780,8780,8780,8780,100,KBS
2024-04-17 07:00:00,9593,9593,9593,9593,100,KBS
2024-04-23 07:00:00,9593,9593,9593,9593,50,KBS
2024-04-25 07:00:00,9593,9593,9593,9593,2,KBS
2024-05-14 07:00:00,9593,9593,9593,10291,10,KBS
2024-05-30 07:00:00,9593,9593,9593,10291,30,KBS
2024-06-19 07:00:00,9593,9593,9593,10291,1,KBS
2024-06-20 07:00:00,9593,10552,9593,10552,610,KBS
2024-06-21 07:00:00,11599,11599,11599,11599,300,KBS
2024-06-24 07:00:00,12733,12733,11599,12733,404,KBS
2024-06-25 07:00:00,13954,13954,13954,13954,105,KBS
2024-06-26 07:00:00,13954,15349,13954,15349,1110,KBS
2024-06-27 07:00:00,13866,13866,13866,13866,210,KBS
2024-06-28 07:00:00,12558,12558,12558,12558,100,KBS
2024-07-01 07:00:00,11337,11337,11337,11337,200,KBS
2024-07-03 07:00:00,10204,10204,10204,10204,400,KBS
2024-07-04 07:00:00,9244,9244,9244,9244,1001,KBS
2024-07-05 07:00:00,9244,9244,9244,9244,9,KBS
2024-07-08 07:00:00,10116,10116,10116,10116,100,KBS
2024-07-09 07:00:00,10116,10116,9157,9157,600,KBS
2024-07-12 07:00:00,9942,9942,9942,9942,100,KBS
2024-07-15 07:00:00,9070,10901,8983,10901,400,KBS
2024-07-16 07:00:00,11948,11948,11948,11948,100,KBS
2024-07-17 07:00:00,10814,11773,10814,11773,200,KBS
2024-07-24 07:00:00,11773,11773,11773,11773,1,KBS
2024-07-26 07:00:00,12471,12471,12471,12471,100,KBS
2024-07-29 07:00:00,12471,12471,12471,12471,9,KBS
2024-08-01 07:00:00,12471,12471,12471,12471,1,KBS
2024-08-08 07:00:00,12471,12471,12471,12471,70,KBS
2024-08-12 07:00:00,12471,12471,12471,12471,1,KBS
2024-08-15 07:00:00,12471,12471,12471,12471,4,KBS
2024-08-21 07:00:00,12471,12471,12471,12471,1,KBS
2024-08-29 07:00:00,12471,12471,12471,12471,1,KBS
