date,open,high,low,close,volume,_source
2020-02-14 07:00:00,7000,7900,7000,7900,1200,KBS
2020-02-21 07:00:00,7900,8000,7900,8000,13500,KBS
2020-03-13 07:00:00,8000,8000,8000,8000,400,KBS
2020-03-27 07:00:00,8000,8000,8000,8000,200,KBS
2020-04-24 07:00:00,6900,7500,6900,7200,574300,KBS
2020-05-08 07:00:00,6800,6900,6300,6300,720600,KBS
2020-05-15 07:00:00,6800,6800,6500,6800,810700,KBS
2020-05-22 07:00:00,6600,6600,6500,6600,13560,KBS
2020-05-29 07:00:00,5700,5700,5700,5700,100,KBS
2020-06-05 07:00:00,6300,6500,6300,6500,700,KBS
2020-06-12 07:00:00,7200,7200,7200,7200,2500,KBS
2020-07-10 07:00:00,7200,7200,7200,7200,2,KBS
2020-07-24 07:00:00,7200,7200,7200,7200,8,KBS
2020-09-04 07:00:00,7200,7200,7200,7200,1,KBS
2020-09-18 07:00:00,6200,6200,6200,6200,1000,KBS
2020-09-25 07:00:00,6000,6000,5400,5400,400,KBS
2020-10-02 07:00:00,5200,6500,5100,6500,1100,KBS
2020-10-09 07:00:00,4800,4800,4800,4800,380,KBS
2020-10-16 07:00:00,4200,5500,4200,4400,6200,KBS
2020-10-23 07:00:00,4400,5000,4400,4800,1600,KBS
2020-10-30 07:00:00,4300,5500,4300,4900,1400,KBS
2020-11-06 07:00:00,4500,5200,4500,5200,450,KBS
2020-11-13 07:00:00,4500,5700,4500,4800,13630,KBS
2020-11-20 07:00:00,4800,5200,4800,5200,300,KBS
2020-11-27 07:00:00,4500,5600,4500,5600,400,KBS
2020-12-04 07:00:00,4900,5800,4900,5100,29100,KBS
2020-12-11 07:00:00,5000,6600,5000,5800,1560400,KBS
2020-12-18 07:00:00,5100,5100,5100,5100,720,KBS
2020-12-25 07:00:00,5800,5800,4500,4600,3000,KBS
2021-01-08 07:00:00,5100,5200,5100,5100,1200,KBS
2021-01-15 07:00:00,5800,5800,4700,4700,200,KBS
2021-01-22 07:00:00,4700,5300,4600,5300,2800,KBS
2021-01-29 07:00:00,4500,4500,4500,4500,100,KBS
2021-02-05 07:00:00,4500,4900,4100,4900,4400,KBS
2021-02-19 07:00:00,4100,4100,4100,4100,400,KBS
2021-02-26 07:00:00,4700,4700,4100,4100,3900,KBS
2021-03-05 07:00:00,4600,4700,4100,4700,28300,KBS
2021-03-12 07:00:00,5100,5100,4600,4600,14600,KBS
2021-03-19 07:00:00,4900,4900,4900,4900,110,KBS
2021-03-26 07:00:00,5600,5600,4900,5000,5902,KBS
2021-04-02 07:00:00,5100,5500,5100,5500,6502,KBS
2021-04-09 07:00:00,5800,5800,4600,5200,10200,KBS
2021-04-16 07:00:00,6500,6500,5900,6500,20900,KBS
2021-04-19 07:00:00,6500,7400,6500,7400,45210,KBS
2021-04-20 07:00:00,6800,6800,6300,6300,200,KBS
2021-04-22 07:00:00,7400,7400,6400,6700,5800,KBS
2021-04-23 07:00:00,6400,6700,5800,6500,2600,KBS
2021-04-26 07:00:00,6300,6300,6100,6200,3300,KBS
2021-04-27 07:00:00,5600,6200,5300,6200,18009,KBS
2021-04-28 07:00:00,6000,6100,5400,5800,20700,KBS
2021-04-29 07:00:00,5400,6100,5400,6100,3600,KBS
2021-05-04 07:00:00,5500,6100,5500,5600,700,KBS
2021-05-05 07:00:00,5300,5300,5200,5300,8850,KBS
