date,open,high,low,close,volume,_source
2020-01-02 07:00:00,13002,13002,12496,12654,13790,KBS
2020-01-03 07:00:00,12654,12654,11895,12464,48860,KBS
2020-01-06 07:00:00,12084,12590,12084,12116,670,KBS
2020-01-07 07:00:00,12148,12242,12021,12242,13030,KBS
2020-01-08 07:00:00,12084,12116,11578,11926,13050,KBS
2020-01-09 07:00:00,11926,11958,11705,11895,7850,KBS
2020-01-10 07:00:00,11895,11895,11388,11452,29070,KBS
2020-01-13 07:00:00,11452,11515,11293,11325,14090,KBS
2020-01-14 07:00:00,11325,11705,11262,11325,22060,KBS
2020-01-15 07:00:00,11641,11641,11388,11515,2210,KBS
2020-01-16 07:00:00,11673,11673,11420,11547,11790,KBS
2020-01-17 07:00:00,11452,11641,11388,11483,4840,KBS
2020-01-20 07:00:00,11483,11483,11388,11388,12490,KBS
2020-01-21 07:00:00,11388,11515,11262,11452,28770,KBS
2020-01-22 07:00:00,11325,11705,11135,11452,10600,KBS
2020-01-30 07:00:00,11452,11452,10819,10882,37580,KBS
2020-01-31 07:00:00,10819,10882,10123,10123,44240,KBS
2020-02-03 07:00:00,10313,10313,9427,9427,124930,KBS
2020-02-04 07:00:00,9617,9743,9490,9712,54680,KBS
2020-02-05 07:00:00,9870,9996,9870,9996,7230,KBS
2020-02-06 07:00:00,10439,10629,9838,10439,52040,KBS
2020-02-07 07:00:00,10281,10471,10281,10376,4770,KBS
2020-02-10 07:00:00,10313,10851,9933,10376,9110,KBS
2020-02-11 07:00:00,10439,10503,10313,10376,12840,KBS
2020-02-12 07:00:00,10376,10851,10376,10503,36400,KBS
2020-02-13 07:00:00,10566,10819,10566,10566,16580,KBS
2020-02-14 07:00:00,10566,10756,10471,10566,23060,KBS
2020-02-17 07:00:00,10503,10819,10503,10819,27590,KBS
2020-02-18 07:00:00,11009,11388,10945,10945,24980,KBS
2020-02-19 07:00:00,10945,11705,10945,11705,80350,KBS
2020-02-20 07:00:00,11958,12401,11958,12274,66550,KBS
2020-02-21 07:00:00,12274,12780,12021,12021,57170,KBS
2020-02-24 07:00:00,12021,12021,11199,11199,117600,KBS
2020-02-25 07:00:00,10945,11388,10756,11388,21590,KBS
2020-02-26 07:00:00,11388,11515,11072,11515,23290,KBS
2020-02-27 07:00:00,11325,12211,11325,12021,29220,KBS
2020-02-28 07:00:00,11768,11768,11388,11452,25370,KBS
2020-03-02 07:00:00,11452,11831,11452,11673,20170,KBS
2020-03-03 07:00:00,12274,12274,11768,11831,19070,KBS
2020-03-04 07:00:00,11831,11831,11641,11641,13460,KBS
2020-03-05 07:00:00,11768,11831,11515,11515,24590,KBS
2020-03-06 07:00:00,11388,11641,11388,11578,7350,KBS
2020-03-09 07:00:00,11262,11388,10787,10787,99680,KBS
2020-03-10 07:00:00,10756,11135,10186,11135,38040,KBS
2020-03-11 07:00:00,11135,11325,10376,10819,209560,KBS
2020-03-12 07:00:00,10123,10186,10091,10123,31820,KBS
2020-03-13 07:00:00,9554,9933,9427,9933,41220,KBS
2020-03-16 07:00:00,9617,9933,9490,9522,33570,KBS
2020-03-17 07:00:00,8858,9395,8858,9395,118490,KBS
2020-03-18 07:00:00,9680,9807,9206,9300,10330,KBS
2020-03-19 07:00:00,9490,9490,9111,9300,8550,KBS
2020-03-20 07:00:00,9300,9364,9174,9237,46730,KBS
2020-03-23 07:00:00,9174,9174,8605,8605,54720,KBS
2020-03-24 07:00:00,8541,9016,8541,8858,10060,KBS
2020-03-25 07:00:00,8858,9364,8858,9237,18210,KBS
2020-03-26 07:00:00,9427,9427,9111,9111,15190,KBS
2020-03-27 07:00:00,9111,9617,9111,9364,28410,KBS
2020-03-30 07:00:00,9237,9300,8731,8794,90270,KBS
2020-03-31 07:00:00,9174,9174,8541,8731,13620,KBS
2020-04-01 07:00:00,9206,9206,8858,9111,5430,KBS
2020-04-03 07:00:00,8984,9364,8984,9174,26880,KBS
2020-04-06 07:00:00,9174,9554,9174,9554,32100,KBS
2020-04-07 07:00:00,9743,9807,9332,9554,9880,KBS
2020-04-08 07:00:00,9554,9554,9269,9395,2620,KBS
2020-04-09 07:00:00,9364,9743,9237,9395,24490,KBS
2020-04-10 07:00:00,9395,9490,9364,9364,20000,KBS
2020-04-13 07:00:00,9395,9680,9395,9459,20320,KBS
2020-04-14 07:00:00,9459,9680,9237,9680,65440,KBS
2020-04-15 07:00:00,9680,10344,9680,10250,60510,KBS
2020-04-16 07:00:00,10250,10439,10123,10281,10770,KBS
2020-04-17 07:00:00,10439,10629,10313,10439,30510,KBS
2020-04-20 07:00:00,10566,10945,10376,10376,181890,KBS
2020-04-21 07:00:00,10376,10503,9743,9807,66030,KBS
2020-04-22 07:00:00,9364,10123,9364,10123,25990,KBS
2020-04-23 07:00:00,10439,10439,9996,10091,49540,KBS
2020-04-24 07:00:00,10250,10250,9996,10060,46220,KBS
2020-04-27 07:00:00,10313,10756,10313,10756,105550,KBS
2020-04-28 07:00:00,11483,11483,11388,11483,350280,KBS
2020-04-29 07:00:00,11705,11958,11388,11705,97640,KBS
2020-05-04 07:00:00,11578,11578,10977,11293,115080,KBS
2020-05-05 07:00:00,11009,11705,11009,11388,120330,KBS
2020-05-06 07:00:00,11262,11831,11262,11641,750930,KBS
2020-05-07 07:00:00,11958,12021,11641,11831,153530,KBS
2020-05-08 07:00:00,11831,12021,11800,11863,195960,KBS
2020-05-11 07:00:00,11705,11863,11673,11705,253880,KBS
2020-05-12 07:00:00,11705,12496,11705,12274,198730,KBS
2020-05-13 07:00:00,12274,12464,12021,12148,110400,KBS
2020-05-14 07:00:00,12116,12401,11768,11831,264240,KBS
2020-05-15 07:00:00,12021,12021,11673,11705,122470,KBS
2020-05-18 07:00:00,11452,11895,11452,11641,58300,KBS
2020-05-19 07:00:00,11895,11895,11578,11578,109460,KBS
2020-05-20 07:00:00,11388,11641,11388,11547,162010,KBS
2020-05-21 07:00:00,11515,11895,11452,11705,221120,KBS
2020-05-22 07:00:00,11863,11863,11547,11547,107970,KBS
2020-05-25 07:00:00,11831,12337,11641,12337,708410,KBS
2020-05-26 07:00:00,12654,13192,12654,13192,484100,KBS
2020-05-27 07:00:00,13381,13856,13160,13192,425290,KBS
2020-05-28 07:00:00,13160,13192,12527,13033,415940,KBS
2020-05-29 07:00:00,13097,13603,12938,13350,257030,KBS
2020-06-01 07:00:00,13603,14267,13603,14267,424950,KBS
2020-06-02 07:00:00,14931,14931,13824,13856,496090,KBS
2020-06-03 07:00:00,13856,14552,13824,14109,287380,KBS
