date,open,high,low,close,volume,_source
2020-02-05 07:00:00,7414,8015,7348,8015,13260,KBS
2020-02-06 07:00:00,8015,8015,8015,8015,40,KBS
2020-02-12 07:00:00,7348,7348,7348,7348,550,KBS
2020-02-13 07:00:00,7348,7348,6880,6880,8400,KBS
2020-02-14 07:00:00,7014,7481,7014,7481,7380,KBS
2020-02-17 07:00:00,7548,7548,7548,7548,200,KBS
2020-02-18 07:00:00,7548,7548,7548,7548,700,KBS
2020-02-19 07:00:00,7548,7548,7548,7548,40,KBS
2020-02-21 07:00:00,7014,7014,7014,7014,500,KBS
2020-02-24 07:00:00,7014,7014,6680,6680,1500,KBS
2020-02-26 07:00:00,6145,6145,6145,6145,10000,KBS
2020-02-27 07:00:00,6145,6145,6145,6145,100,KBS
2020-02-28 07:00:00,6680,6680,6680,6680,100,KBS
2020-03-02 07:00:00,6813,7348,6813,7348,8950,KBS
2020-03-04 07:00:00,7949,7949,7949,7949,100,KBS
2020-03-06 07:00:00,7949,7949,7949,7949,10,KBS
2020-03-19 07:00:00,7348,7348,7348,7348,2100,KBS
2020-03-24 07:00:00,6613,6680,6613,6680,1000,KBS
2020-03-25 07:00:00,6012,7214,6012,6012,23038,KBS
2020-04-01 07:00:00,5410,6479,5410,6479,200,KBS
2020-04-06 07:00:00,6880,6880,6880,6880,100,KBS
2020-04-10 07:00:00,7214,7214,6680,6680,200,KBS
2020-04-14 07:00:00,6680,6680,6680,6680,10,KBS
2020-04-15 07:00:00,7014,7014,7014,7014,100,KBS
2020-04-16 07:00:00,6746,7348,6746,7348,1200,KBS
2020-04-17 07:00:00,7014,7080,6813,7014,9800,KBS
2020-04-20 07:00:00,7014,7014,7014,7014,100,KBS
2020-04-22 07:00:00,6680,6680,6346,6346,13200,KBS
2020-04-23 07:00:00,6412,6479,6412,6412,16000,KBS
2020-04-28 07:00:00,6346,6346,6346,6346,700,KBS
2020-04-29 07:00:00,6880,6880,6880,6880,100,KBS
2020-05-04 07:00:00,6813,7548,6813,7548,21310,KBS
2020-05-05 07:00:00,7748,8283,7748,8283,23300,KBS
2020-05-08 07:00:00,8349,8550,8349,8550,1300,KBS
2020-05-13 07:00:00,8550,8550,8550,8550,10,KBS
2020-05-14 07:00:00,8683,8683,8550,8550,600,KBS
2020-05-15 07:00:00,7748,8617,7748,8617,2148,KBS
2020-05-21 07:00:00,8617,8617,8617,8617,300,KBS
2020-05-26 07:00:00,8082,8082,8082,8082,2200,KBS
2020-06-02 07:00:00,8015,8015,7949,7949,6000,KBS
2020-06-05 07:00:00,7348,7348,7348,7348,23700,KBS
2020-06-08 07:00:00,8015,8015,7548,8015,5800,KBS
2020-06-10 07:00:00,8015,8149,8015,8082,1748,KBS
2020-06-11 07:00:00,8216,8416,8082,8216,10600,KBS
2020-06-12 07:00:00,8149,8216,8149,8216,8200,KBS
2020-06-17 07:00:00,8349,8550,8349,8550,8500,KBS
2020-06-18 07:00:00,8483,8483,8483,8483,2000,KBS
2020-06-22 07:00:00,8550,9285,8550,9285,43600,KBS
2020-06-23 07:00:00,9285,9485,9285,9285,5600,KBS
2020-06-25 07:00:00,9752,9752,9752,9752,100,KBS
2020-06-26 07:00:00,8817,9017,8817,9017,1120,KBS
2020-06-29 07:00:00,9017,9017,8216,8216,220,KBS
2020-06-30 07:00:00,8015,8015,8015,8015,900,KBS
2020-07-01 07:00:00,7348,8683,7348,8683,200,KBS
2020-07-02 07:00:00,7949,8082,7949,8082,4300,KBS
2020-07-03 07:00:00,8015,8082,8015,8082,1000,KBS
2020-07-07 07:00:00,8015,8750,8015,8750,4200,KBS
2020-07-08 07:00:00,8750,8750,8750,8750,10,KBS
2020-07-09 07:00:00,9285,9285,8082,8082,2500,KBS
2020-07-14 07:00:00,8884,8884,8884,8884,1400,KBS
2020-07-15 07:00:00,9552,9552,8884,8884,225,KBS
2020-07-16 07:00:00,8884,8884,8416,8416,10900,KBS
2020-07-17 07:00:00,7748,9151,7748,9151,3000,KBS
2020-07-20 07:00:00,9886,9886,8349,8349,300,KBS
2020-07-21 07:00:00,9151,9151,9151,9151,1600,KBS
2020-07-22 07:00:00,8349,8349,8349,8349,100,KBS
2020-07-27 07:00:00,8349,8349,8349,8349,200,KBS
2020-07-29 07:00:00,8349,8683,7548,8683,1200,KBS
2020-07-30 07:00:00,8539,9552,8539,9552,400,KBS
2020-07-31 07:00:00,9552,9769,9552,9769,700,KBS
2020-08-03 07:00:00,10131,10492,10131,10492,13700,KBS
2020-08-06 07:00:00,10492,10492,10492,10492,1200,KBS
2020-08-07 07:00:00,10275,10275,10275,10275,1100,KBS
2020-08-10 07:00:00,11288,11288,10348,10348,1000,KBS
2020-08-14 07:00:00,10420,10492,10420,10492,9900,KBS
2020-08-18 07:00:00,9914,9914,9914,9914,700,KBS
2020-08-19 07:00:00,10492,10492,10492,10492,615,KBS
2020-08-20 07:00:00,10927,10927,10927,10927,7000,KBS
2020-08-21 07:00:00,11578,11578,11506,11578,5800,KBS
2020-08-24 07:00:00,11940,12736,11723,12736,18315,KBS
2020-08-25 07:00:00,12736,12736,12374,12736,5300,KBS
2020-08-26 07:00:00,12663,12663,11578,11578,4001,KBS
2020-08-27 07:00:00,12446,12519,12446,12519,3500,KBS
2020-08-28 07:00:00,12591,12591,12302,12302,200,KBS
2020-08-31 07:00:00,12302,12302,12302,12302,24,KBS
2020-09-01 07:00:00,11216,11288,11216,11288,800,KBS
2020-09-03 07:00:00,11578,11940,11578,11723,7300,KBS
2020-09-04 07:00:00,12302,12302,11940,12012,2300,KBS
2020-09-07 07:00:00,13025,13025,12302,12591,2600,KBS
2020-09-08 07:00:00,12302,12302,11723,11723,600,KBS
2020-09-09 07:00:00,11723,11940,11578,11650,2900,KBS
2020-09-10 07:00:00,11940,11940,11940,11940,1000,KBS
2020-09-11 07:00:00,11867,11940,11867,11940,1100,KBS
2020-09-14 07:00:00,12302,12302,12302,12302,2000,KBS
2020-09-15 07:00:00,12302,12302,12302,12302,100,KBS
2020-09-16 07:00:00,12302,12302,12302,12302,600,KBS
2020-09-17 07:00:00,12302,12302,12302,12302,9600,KBS
2020-09-18 07:00:00,12012,12663,12012,12302,1200,KBS
2020-09-21 07:00:00,12302,12663,12302,12663,5300,KBS
2020-09-22 07:00:00,12591,12663,12591,12663,8600,KBS
2020-09-23 07:00:00,13387,13387,12663,12663,7400,KBS
2020-09-24 07:00:00,12663,12736,12663,12663,6495,KBS
2020-09-25 07:00:00,12663,12663,12663,12663,5800,KBS
2020-09-28 07:00:00,12302,13821,12302,13821,3000,KBS
2020-09-29 07:00:00,12736,13025,12736,13025,1155,KBS
2020-09-30 07:00:00,13025,13025,13025,13025,200,KBS
2020-10-01 07:00:00,12663,13025,12663,13025,1800,KBS
2020-10-02 07:00:00,12880,12880,12663,12663,1100,KBS
2020-10-06 07:00:00,13025,13893,13025,13170,12500,KBS
2020-10-07 07:00:00,13170,13387,13170,13387,400,KBS
2020-10-08 07:00:00,13749,13749,13749,13749,100,KBS
2020-10-09 07:00:00,14111,14111,14111,14111,100,KBS
2020-10-12 07:00:00,14111,15413,12880,15413,7700,KBS
2020-10-13 07:00:00,13893,15847,13893,15847,1100,KBS
2020-10-15 07:00:00,14472,14472,14472,14472,7300,KBS
2020-10-16 07:00:00,13749,13749,13749,13749,400,KBS
2020-10-19 07:00:00,15124,15124,15124,15124,100,KBS
2020-10-20 07:00:00,14472,14472,14472,14472,3100,KBS
2020-10-28 07:00:00,13025,13025,13025,13025,200,KBS
2020-10-29 07:00:00,14255,14255,14255,14255,100,KBS
2020-11-05 07:00:00,12953,12953,12953,12953,100,KBS
2020-11-06 07:00:00,12953,12953,12953,12953,1000,KBS
2020-11-09 07:00:00,12880,12880,12880,12880,3900,KBS
2020-11-11 07:00:00,11940,12880,11650,12880,3500,KBS
2020-11-12 07:00:00,12084,12880,11940,12880,1900,KBS
2020-11-13 07:00:00,12157,12880,11940,12880,10900,KBS
2020-11-16 07:00:00,11867,12591,11795,12591,6500,KBS
2020-11-17 07:00:00,11867,12591,11795,12591,6000,KBS
2020-11-18 07:00:00,11650,11723,11650,11723,1300,KBS
2020-11-19 07:00:00,11723,11867,11723,11867,1300,KBS
2020-11-20 07:00:00,11795,11867,11795,11795,800,KBS
2020-11-24 07:00:00,12229,12229,12229,12229,3400,KBS
2020-11-25 07:00:00,11940,11940,11940,11940,3100,KBS
2020-11-26 07:00:00,11867,11867,11867,11867,4000,KBS
2020-11-27 07:00:00,11650,11867,11650,11867,5300,KBS
2020-11-30 07:00:00,11578,11650,11578,11650,5800,KBS
2020-12-01 07:00:00,11650,11650,11650,11650,100,KBS
2020-12-02 07:00:00,11723,11723,11723,11723,100,KBS
2020-12-04 07:00:00,10854,11578,10854,11578,600,KBS
2020-12-07 07:00:00,11506,11578,11506,11578,1000,KBS
2020-12-08 07:00:00,11578,11867,11216,11867,14600,KBS
2020-12-09 07:00:00,11723,11723,11723,11723,9600,KBS
2020-12-10 07:00:00,11723,11723,11433,11433,800,KBS
2020-12-11 07:00:00,11433,11723,11433,11723,3400,KBS
2020-12-14 07:00:00,11723,11795,11723,11723,6200,KBS
2020-12-15 07:00:00,12374,12374,12302,12302,600,KBS
2020-12-16 07:00:00,11361,12157,11216,12157,2610,KBS
2020-12-17 07:00:00,11361,11795,11216,11795,1900,KBS
2020-12-18 07:00:00,11723,11723,11723,11723,7600,KBS
2020-12-21 07:00:00,11506,12302,11506,12302,2500,KBS
2020-12-22 07:00:00,11723,11723,11723,11723,1300,KBS
2020-12-23 07:00:00,11578,11578,11578,11578,100,KBS
2020-12-24 07:00:00,11578,12157,11071,12157,23100,KBS
2020-12-25 07:00:00,11288,11288,11288,11288,3800,KBS
2020-12-28 07:00:00,11723,11723,11723,11723,100,KBS
2020-12-29 07:00:00,11578,11578,11433,11506,4060,KBS
2020-12-31 07:00:00,12012,12012,12012,12012,1000,KBS
2021-01-04 07:00:00,11867,11867,11433,11433,800,KBS
2021-01-05 07:00:00,11940,11940,11940,11940,300,KBS
2021-01-06 07:00:00,11867,11867,11867,11867,200,KBS
2021-01-07 07:00:00,12084,12084,12084,12084,2800,KBS
2021-01-08 07:00:00,11867,12302,11867,12157,9200,KBS
2021-01-11 07:00:00,12157,12157,12157,12157,4100,KBS
2021-01-12 07:00:00,11940,11940,11940,11940,6100,KBS
2021-01-14 07:00:00,12229,12229,12229,12229,100,KBS
2021-01-15 07:00:00,12229,12519,12229,12519,11200,KBS
2021-01-18 07:00:00,11578,12519,11578,12519,200,KBS
2021-01-26 07:00:00,11940,11940,11940,11940,1600,KBS
2021-01-29 07:00:00,11723,12663,11723,12663,8600,KBS
2021-02-01 07:00:00,11650,11650,11433,11433,1900,KBS
2021-02-03 07:00:00,10637,12302,10348,12302,6500,KBS
2021-02-04 07:00:00,11071,11216,11071,11216,8900,KBS
2021-02-05 07:00:00,11867,11867,11867,11867,100,KBS
2021-02-08 07:00:00,12012,12012,12012,12012,100,KBS
2021-02-18 07:00:00,11144,11144,10854,10854,9300,KBS
2021-02-19 07:00:00,10782,10782,10492,10492,6500,KBS
2021-02-22 07:00:00,10492,11216,9914,11144,39300,KBS
2021-02-24 07:00:00,10492,10565,10131,10565,16400,KBS
2021-02-25 07:00:00,10275,10420,9986,10420,2700,KBS
2021-02-26 07:00:00,10131,10637,10131,10637,300,KBS
2021-03-01 07:00:00,10275,10565,10131,10565,10600,KBS
2021-03-02 07:00:00,10565,10565,10420,10420,5100,KBS
2021-03-03 07:00:00,10131,10131,10058,10131,9100,KBS
2021-03-04 07:00:00,10131,10275,10131,10131,4300,KBS
2021-03-05 07:00:00,9986,10492,9986,10420,3600,KBS
2021-03-08 07:00:00,10348,11433,10348,11433,29600,KBS
2021-03-09 07:00:00,11578,11578,10854,11433,3500,KBS
2021-03-10 07:00:00,11216,11433,11216,11433,1200,KBS
2021-03-11 07:00:00,11433,11433,11288,11288,2600,KBS
2021-03-12 07:00:00,10999,11216,10927,11216,2500,KBS
2021-03-15 07:00:00,11288,11288,11144,11144,2600,KBS
2021-03-16 07:00:00,11071,11578,10854,11144,7500,KBS
2021-03-17 07:00:00,11216,11216,11216,11216,100,KBS
2021-03-18 07:00:00,11144,11216,10854,10854,17200,KBS
2021-03-19 07:00:00,11288,11288,10854,11216,600,KBS
2021-03-22 07:00:00,10927,11216,10927,11216,600,KBS
2021-03-23 07:00:00,11071,11144,11071,11144,11200,KBS
2021-03-24 07:00:00,11144,11144,11144,11144,3601,KBS
2021-03-25 07:00:00,11144,11144,11144,11144,300,KBS
2021-03-26 07:00:00,10854,11144,10492,11144,5000,KBS
2021-03-29 07:00:00,11144,11578,10999,11578,500,KBS
2021-03-30 07:00:00,11578,11578,10854,10854,9300,KBS
2021-03-31 07:00:00,11216,11216,11216,11216,100,KBS
2021-04-01 07:00:00,10637,10637,10565,10565,8500,KBS
2021-04-02 07:00:00,10565,10927,10131,10927,1800,KBS
2021-04-06 07:00:00,10927,10927,10927,10927,700,KBS
2021-04-07 07:00:00,10927,10927,10927,10927,500,KBS
2021-04-08 07:00:00,11071,11433,11071,11433,8300,KBS
2021-04-09 07:00:00,11433,11650,11071,11650,10900,KBS
2021-04-12 07:00:00,11506,11578,11506,11578,7600,KBS
2021-04-13 07:00:00,11578,11723,11216,11216,6400,KBS
2021-04-14 07:00:00,11216,12012,11216,11867,6600,KBS
2021-04-15 07:00:00,11288,11795,10999,11795,4200,KBS
2021-04-16 07:00:00,11361,11506,10637,11506,12800,KBS
2021-04-19 07:00:00,11506,11578,10782,11506,7500,KBS
2021-04-20 07:00:00,11506,11578,11071,11578,29900,KBS
2021-04-22 07:00:00,10999,11506,10999,11506,1700,KBS
2021-04-26 07:00:00,11433,11433,10637,11071,1300,KBS
2021-04-27 07:00:00,10854,10854,10131,10131,10800,KBS
2021-04-28 07:00:00,10854,10927,10854,10927,1100,KBS
2021-04-29 07:00:00,10492,10492,10492,10492,1200,KBS
