date,open,high,low,close,volume,_source
2020-01-02 07:00:00,10708,11090,10708,11090,4820,KBS
2020-01-03 07:00:00,11090,11090,10899,10899,6200,KBS
2020-01-06 07:00:00,10880,11090,10880,11090,5860,KBS
2020-01-07 07:00:00,11090,11090,10861,10861,5010,KBS
2020-01-08 07:00:00,11090,11090,10899,10899,7030,KBS
2020-01-09 07:00:00,11090,11090,10555,10555,110,KBS
2020-01-10 07:00:00,10746,11071,10746,10784,4120,KBS
2020-01-13 07:00:00,11090,11090,10823,11071,4310,KBS
2020-01-14 07:00:00,10842,11052,10842,11052,1020,KBS
2020-01-16 07:00:00,11090,11090,11090,11090,40,KBS
2020-01-17 07:00:00,11090,11090,11071,11090,15490,KBS
2020-01-20 07:00:00,10823,11090,10823,10842,10170,KBS
2020-01-21 07:00:00,11090,11090,11090,11090,10,KBS
2020-01-22 07:00:00,10727,10727,10727,10727,10,KBS
2020-01-30 07:00:00,11090,11090,11090,11090,980,KBS
2020-01-31 07:00:00,10899,10899,10899,10899,610,KBS
2020-02-03 07:00:00,10708,10708,10517,10708,210,KBS
2020-02-04 07:00:00,10555,10708,10555,10708,400,KBS
2020-02-05 07:00:00,10708,10861,10708,10861,880,KBS
2020-02-06 07:00:00,10708,11090,10708,10861,13160,KBS
2020-02-07 07:00:00,10861,10861,10861,10861,16030,KBS
2020-02-10 07:00:00,11090,11282,10727,11090,20010,KBS
2020-02-11 07:00:00,11263,11263,11167,11243,6530,KBS
2020-02-12 07:00:00,11473,11473,11263,11263,5120,KBS
2020-02-13 07:00:00,11626,11626,11263,11473,12530,KBS
2020-02-14 07:00:00,11473,11664,11473,11473,230,KBS
2020-02-17 07:00:00,11473,11702,11090,11702,17960,KBS
2020-02-18 07:00:00,12362,12516,11878,11966,4840,KBS
2020-02-19 07:00:00,12318,12538,12318,12538,100,KBS
2020-02-20 07:00:00,12494,12516,11680,12098,5090,KBS
2020-02-21 07:00:00,12142,12142,12142,12142,20,KBS
2020-02-24 07:00:00,11350,11878,11350,11878,840,KBS
2020-02-25 07:00:00,11350,11746,11350,11746,110,KBS
2020-02-26 07:00:00,11790,11790,11218,11218,70,KBS
2020-02-27 07:00:00,11658,11768,11020,11020,2010,KBS
2020-02-28 07:00:00,11042,11438,11042,11042,3220,KBS
2020-03-02 07:00:00,11042,11702,10998,11636,15120,KBS
2020-03-03 07:00:00,11614,11658,11614,11658,1000,KBS
2020-03-04 07:00:00,11240,11658,11218,11218,1750,KBS
2020-03-05 07:00:00,11658,11702,11240,11240,1510,KBS
2020-03-06 07:00:00,11438,11702,11130,11130,1510,KBS
2020-03-09 07:00:00,11130,11570,10602,11416,2650,KBS
2020-03-10 07:00:00,11614,11702,11614,11702,1000,KBS
2020-03-12 07:00:00,11790,11790,10888,11680,14070,KBS
2020-03-13 07:00:00,11218,11218,11218,11218,30000,KBS
2020-03-16 07:00:00,11680,11680,10558,11614,120,KBS
2020-03-17 07:00:00,10866,11570,10866,11570,690,KBS
2020-03-18 07:00:00,10998,10998,10998,10998,40,KBS
2020-03-19 07:00:00,10910,10998,10602,10602,3080,KBS
2020-03-20 07:00:00,10602,10602,10602,10602,150,KBS
2020-03-23 07:00:00,10624,10624,9899,9899,710,KBS
2020-03-24 07:00:00,10097,10097,10097,10097,20,KBS
2020-03-26 07:00:00,9459,10778,9393,10470,7430,KBS
2020-03-27 07:00:00,10976,10976,10976,10976,20,KBS
2020-03-30 07:00:00,11328,11328,10338,11240,6300,KBS
2020-03-31 07:00:00,10470,11042,10470,11042,2460,KBS
2020-04-01 07:00:00,10338,10338,10295,10295,700,KBS
2020-04-03 07:00:00,9591,10119,9591,9767,170,KBS
2020-04-06 07:00:00,10338,10426,10338,10426,2750,KBS
2020-04-07 07:00:00,10207,10822,10207,10822,1630,KBS
2020-04-08 07:00:00,11218,11218,10558,10822,11910,KBS
2020-04-09 07:00:00,10207,10207,10207,10207,10,KBS
2020-04-10 07:00:00,10207,10602,9723,10602,120,KBS
2020-04-13 07:00:00,11328,11328,10976,10976,6900,KBS
2020-04-14 07:00:00,10998,10998,10778,10778,290,KBS
2020-04-15 07:00:00,10778,11152,10558,11152,2990,KBS
2020-04-17 07:00:00,10822,11130,10822,10998,7510,KBS
2020-04-20 07:00:00,11218,11218,10558,10558,170,KBS
2020-04-21 07:00:00,10580,11174,10580,10822,10370,KBS
2020-04-22 07:00:00,11482,11482,10119,10119,6360,KBS
2020-04-23 07:00:00,10558,10822,10360,10360,3330,KBS
2020-04-24 07:00:00,11064,11064,10602,10712,28830,KBS
2020-04-27 07:00:00,11460,11460,11350,11416,5100,KBS
2020-04-28 07:00:00,12186,12186,10624,10624,4850,KBS
2020-04-29 07:00:00,11350,11350,10668,11350,1370,KBS
2020-05-04 07:00:00,11922,11922,10580,11878,4460,KBS
2020-05-05 07:00:00,11108,11790,11086,11746,13780,KBS
2020-05-06 07:00:00,11152,11658,11152,11658,1350,KBS
2020-05-07 07:00:00,11658,11658,11218,11262,4430,KBS
2020-05-08 07:00:00,11218,11482,10558,11482,5650,KBS
2020-05-11 07:00:00,11482,11416,11416,11416,10,KBS
2020-05-12 07:00:00,11658,11658,11064,11262,13830,KBS
2020-05-13 07:00:00,11636,11636,11614,11614,4620,KBS
2020-05-14 07:00:00,11768,11768,11174,11614,2350,KBS
2020-05-15 07:00:00,11240,11240,11240,11240,10,KBS
2020-05-18 07:00:00,11350,11350,11240,11350,5080,KBS
2020-05-19 07:00:00,11504,11504,11042,11042,120,KBS
2020-05-20 07:00:00,11218,11438,10998,11350,1280,KBS
2020-05-21 07:00:00,11702,11702,11042,11130,490,KBS
2020-05-22 07:00:00,11438,11438,11174,11174,20,KBS
2020-05-25 07:00:00,11306,11306,11086,11086,190,KBS
2020-05-26 07:00:00,11086,11306,11086,11306,270,KBS
2020-05-27 07:00:00,11350,11350,10998,10998,400,KBS
2020-05-28 07:00:00,11086,11306,11086,11306,20,KBS
2020-05-29 07:00:00,11350,11350,11086,11218,250,KBS
2020-06-01 07:00:00,11284,11350,11262,11328,7120,KBS
2020-06-02 07:00:00,11372,11372,11262,11262,3660,KBS
2020-06-03 07:00:00,11306,11416,11218,11416,1160,KBS
2020-06-04 07:00:00,12142,12142,11658,11790,6390,KBS
2020-06-05 07:00:00,11790,11790,11746,11746,3530,KBS
2020-06-08 07:00:00,12076,12076,11658,11746,4280,KBS
2020-06-09 07:00:00,11878,11878,11438,11548,1150,KBS
2020-06-10 07:00:00,11768,11878,11636,11834,16240,KBS
2020-06-11 07:00:00,12032,12032,11592,11592,11440,KBS
2020-06-12 07:00:00,11328,11438,11328,11438,2910,KBS
2020-06-15 07:00:00,11658,11812,11328,11658,6020,KBS
2020-06-16 07:00:00,11636,11790,11592,11790,5400,KBS
2020-06-17 07:00:00,11350,11636,11350,11636,820,KBS
2020-06-18 07:00:00,11350,11614,11350,11394,3650,KBS
2020-06-19 07:00:00,11284,11438,11262,11438,6610,KBS
2020-06-22 07:00:00,11306,11306,11284,11284,1620,KBS
2020-06-23 07:00:00,11086,11438,11086,11438,206930,KBS
2020-06-24 07:00:00,11064,11416,11064,11416,389520,KBS
2020-06-25 07:00:00,11152,11416,11130,11416,5500,KBS
2020-06-26 07:00:00,11108,11834,11108,11834,790,KBS
2020-06-29 07:00:00,11394,11394,11130,11130,900,KBS
2020-06-30 07:00:00,10778,11350,10778,11350,170,KBS
2020-07-01 07:00:00,11306,11306,11306,11306,750,KBS
2020-07-02 07:00:00,10822,11372,10822,11372,790430,KBS
2020-07-03 07:00:00,11350,11438,11350,11416,3810,KBS
2020-07-06 07:00:00,11438,11438,11350,11350,2510,KBS
2020-07-07 07:00:00,11350,11416,11350,11416,7100,KBS
2020-07-08 07:00:00,11152,11416,11152,11416,211010,KBS
2020-07-09 07:00:00,11328,11328,11328,11328,2230,KBS
2020-07-10 07:00:00,11328,11394,11328,11394,500,KBS
2020-07-13 07:00:00,11196,11394,11130,11196,23000,KBS
2020-07-14 07:00:00,11174,11394,11174,11196,1630,KBS
2020-07-15 07:00:00,11350,11350,11350,11350,10,KBS
2020-07-16 07:00:00,11702,11702,11218,11218,13660,KBS
2020-07-17 07:00:00,11086,11262,11086,11262,683060,KBS
2020-07-20 07:00:00,11614,11614,11614,11614,10,KBS
2020-07-21 07:00:00,11416,11416,11284,11284,1670,KBS
2020-07-22 07:00:00,11284,11306,11284,11306,290,KBS
2020-07-23 07:00:00,11328,11394,11328,11350,3280,KBS
2020-07-24 07:00:00,11350,11350,11284,11284,7190,KBS
2020-07-27 07:00:00,10998,11152,10998,11152,720,KBS
2020-07-28 07:00:00,10998,11416,10690,11416,162430,KBS
2020-07-29 07:00:00,11394,11394,11350,11372,6850,KBS
2020-07-30 07:00:00,11372,11372,11372,11372,10,KBS
2020-07-31 07:00:00,11372,11416,11372,11372,290,KBS
2020-08-03 07:00:00,11834,11878,11262,11438,9140,KBS
2020-08-04 07:00:00,11438,11438,11284,11284,410,KBS
2020-08-05 07:00:00,11438,11812,11394,11394,17310,KBS
2020-08-06 07:00:00,11394,11394,11284,11284,1200,KBS
2020-08-10 07:00:00,11350,11570,11284,11570,610,KBS
