date,open,high,low,close,volume,_source
2020-01-02 07:00:00,6744,6789,6699,6744,166570,KBS
2020-01-03 07:00:00,6744,6834,6744,6789,235280,KBS
2020-01-06 07:00:00,6789,7014,6744,6879,737325,KBS
2020-01-07 07:00:00,6969,7284,6924,7239,1312062,KBS
2020-01-08 07:00:00,7194,7239,6924,6924,761870,KBS
2020-01-09 07:00:00,7284,7284,7059,7104,377388,KBS
2020-01-10 07:00:00,7149,7194,7014,7059,552445,KBS
2020-01-13 07:00:00,7059,7059,6924,6924,439510,KBS
2020-01-14 07:00:00,6924,7014,6879,6924,246448,KBS
2020-01-15 07:00:00,6969,7014,6879,6969,347018,KBS
2020-01-16 07:00:00,6969,7149,6969,7104,467220,KBS
2020-01-17 07:00:00,7104,7149,6969,7014,284450,KBS
2020-01-20 07:00:00,7014,7104,6969,6969,319215,KBS
2020-01-21 07:00:00,6969,7014,6789,6969,748098,KBS
2020-01-22 07:00:00,7104,7599,7104,7509,1409227,KBS
2020-01-30 07:00:00,7464,7733,7149,7329,1253573,KBS
2020-01-31 07:00:00,7329,7419,6969,6969,912270,KBS
2020-02-03 07:00:00,6924,7014,6295,6564,1345689,KBS
2020-02-04 07:00:00,6564,6744,6340,6385,1200179,KBS
2020-02-05 07:00:00,6474,6609,6474,6519,527182,KBS
2020-02-06 07:00:00,6609,6969,6609,6924,986451,KBS
2020-02-07 07:00:00,7059,7059,6834,6879,584629,KBS
2020-02-10 07:00:00,6924,6969,6699,6789,362249,KBS
2020-02-11 07:00:00,6789,6924,6789,6834,304860,KBS
2020-02-12 07:00:00,6879,7374,6879,7284,1457150,KBS
2020-02-13 07:00:00,7509,7733,7329,7374,1836202,KBS
2020-02-14 07:00:00,7464,7464,7239,7284,726718,KBS
2020-02-17 07:00:00,7194,7329,7104,7149,878498,KBS
2020-02-18 07:00:00,7149,7644,7014,7329,1034857,KBS
2020-02-19 07:00:00,7329,7329,7194,7194,777820,KBS
2020-02-20 07:00:00,7478,7573,7194,7289,496567,KBS
2020-02-21 07:00:00,7289,7289,7052,7052,606203,KBS
2020-02-24 07:00:00,6910,7005,6484,6484,1574278,KBS
2020-02-25 07:00:00,6342,6721,6247,6673,618444,KBS
2020-02-26 07:00:00,6579,6673,6531,6531,380355,KBS
2020-02-27 07:00:00,6531,6673,6531,6673,178866,KBS
2020-02-28 07:00:00,6484,6626,6437,6531,480580,KBS
2020-03-02 07:00:00,6579,7147,6484,6531,274207,KBS
2020-03-03 07:00:00,6626,6721,6531,6579,508119,KBS
2020-03-04 07:00:00,6579,6673,6531,6673,507188,KBS
2020-03-05 07:00:00,6673,6768,6011,6721,524430,KBS
2020-03-06 07:00:00,6626,6673,6579,6579,263173,KBS
2020-03-09 07:00:00,6484,6484,5963,5963,1333000,KBS
2020-03-10 07:00:00,5916,6531,5585,6058,629130,KBS
2020-03-11 07:00:00,6153,6247,5916,6105,1055550,KBS
2020-03-12 07:00:00,6105,6484,5821,6247,1076997,KBS
2020-03-13 07:00:00,6247,6437,5632,6437,746177,KBS
2020-03-16 07:00:00,6531,6531,6153,6200,348390,KBS
2020-03-17 07:00:00,6153,6247,5963,6247,431910,KBS
2020-03-18 07:00:00,6247,6863,6011,6011,649110,KBS
2020-03-19 07:00:00,5916,5963,5679,5679,817794,KBS
2020-03-20 07:00:00,5679,5869,5253,5301,813392,KBS
2020-03-23 07:00:00,4969,5159,4780,4780,551085,KBS
2020-03-24 07:00:00,4307,4544,4307,4307,2237060,KBS
2020-03-25 07:00:00,4070,4638,3881,4638,1976943,KBS
2020-03-26 07:00:00,4544,5064,4260,4307,575263,KBS
2020-03-27 07:00:00,4307,4402,4118,4118,757562,KBS
2020-03-30 07:00:00,4118,4118,3739,3786,1268341,KBS
2020-03-31 07:00:00,3408,4165,3408,3644,537168,KBS
2020-04-01 07:00:00,3692,3928,3692,3834,685816,KBS
2020-04-03 07:00:00,3834,4212,3834,4212,707249,KBS
2020-04-06 07:00:00,4354,4591,4260,4591,966363,KBS
2020-04-07 07:00:00,5017,5017,4638,5017,2502497,KBS
2020-04-08 07:00:00,5490,5490,5064,5490,1981939,KBS
2020-04-09 07:00:00,5679,6011,5537,5821,1527675,KBS
2020-04-10 07:00:00,6058,6153,5443,5537,1332347,KBS
2020-04-13 07:00:00,5395,5632,5395,5443,1229142,KBS
2020-04-14 07:00:00,5443,5963,5443,5963,2200554,KBS
2020-04-15 07:00:00,6153,6531,6153,6389,2484612,KBS
2020-04-16 07:00:00,6721,6721,6200,6247,1492798,KBS
