date,open,high,low,close,volume,_source
2020-01-02 07:00:00,44955,44955,44955,44955,30,KBS
2020-01-03 07:00:00,45554,45704,44580,45554,1550,KBS
2020-01-06 07:00:00,45554,45709,45554,45709,760,KBS
2020-01-07 07:00:00,45554,47181,45554,45709,370,KBS
2020-01-08 07:00:00,46097,46794,44160,46794,2710,KBS
2020-01-09 07:00:00,44702,46716,44702,46716,640,KBS
2020-01-10 07:00:00,44857,45709,44857,45709,1850,KBS
2020-01-13 07:00:00,45167,45167,45089,45089,1200,KBS
2020-01-14 07:00:00,45012,45012,44857,44857,540,KBS
2020-01-15 07:00:00,44547,44547,42998,44160,1620,KBS
2020-01-16 07:00:00,44160,44160,43772,44160,4950,KBS
2020-01-17 07:00:00,43772,44935,43772,44935,11090,KBS
2020-01-20 07:00:00,44935,46097,44935,46019,920,KBS
2020-01-21 07:00:00,44935,45167,44935,45167,2120,KBS
2020-01-22 07:00:00,45167,45167,44935,44935,1670,KBS
2020-01-30 07:00:00,44935,46097,44935,45322,23060,KBS
2020-01-31 07:00:00,45709,45942,44935,44935,36260,KBS
2020-02-03 07:00:00,45709,48033,45012,45012,71790,KBS
2020-02-04 07:00:00,47956,48033,44935,44935,26810,KBS
2020-02-05 07:00:00,44935,45709,44160,44857,9270,KBS
2020-02-06 07:00:00,44160,44625,42610,43308,14750,KBS
2020-02-07 07:00:00,43308,43308,42223,42610,22800,KBS
2020-02-10 07:00:00,42920,45554,42920,45554,28020,KBS
2020-02-11 07:00:00,46794,46794,45244,45709,6940,KBS
2020-02-12 07:00:00,45709,45709,44160,44160,4090,KBS
2020-02-13 07:00:00,44160,44160,43850,43850,3820,KBS
2020-02-14 07:00:00,43850,44160,42998,43385,10380,KBS
2020-02-17 07:00:00,43385,44160,43385,43463,1780,KBS
2020-02-18 07:00:00,43463,44547,43385,44547,9290,KBS
2020-02-19 07:00:00,44547,44547,44005,44005,1110,KBS
2020-02-20 07:00:00,44780,44780,43153,44470,5440,KBS
2020-02-21 07:00:00,44780,44780,43772,44160,3270,KBS
2020-02-24 07:00:00,44547,44547,42223,43927,11570,KBS
2020-02-25 07:00:00,43772,43772,42688,43772,6610,KBS
2020-02-26 07:00:00,44005,44005,42455,43540,4680,KBS
2020-02-27 07:00:00,43230,45709,43230,43695,9540,KBS
2020-02-28 07:00:00,43695,43695,43230,43308,3760,KBS
2020-03-02 07:00:00,43308,43308,43308,43308,10,KBS
2020-03-03 07:00:00,43308,44857,42610,42610,7410,KBS
2020-03-04 07:00:00,42610,42610,41448,41448,12960,KBS
2020-03-05 07:00:00,41448,43230,41448,42843,3460,KBS
2020-03-06 07:00:00,41138,42765,41138,41836,6600,KBS
2020-03-09 07:00:00,41836,41836,40906,40906,33800,KBS
2020-03-10 07:00:00,38156,40751,38156,39434,25260,KBS
2020-03-11 07:00:00,39511,39511,38001,38001,22500,KBS
2020-03-12 07:00:00,35367,36800,35367,35715,22240,KBS
2020-03-13 07:00:00,35560,38194,33391,36490,6210,KBS
2020-03-16 07:00:00,38659,38659,36800,37187,4360,KBS
2020-03-17 07:00:00,37187,38504,37187,38504,8920,KBS
2020-03-18 07:00:00,39434,39899,39434,39434,5010,KBS
2020-03-19 07:00:00,40983,40983,37807,37807,1330,KBS
2020-03-20 07:00:00,37807,37807,37187,37575,1970,KBS
2020-03-23 07:00:00,38349,38349,36025,36025,3980,KBS
2020-03-24 07:00:00,36412,36412,36412,36412,1800,KBS
2020-03-25 07:00:00,36412,38892,36412,38892,5720,KBS
2020-03-26 07:00:00,38892,40131,38814,39356,8220,KBS
2020-03-27 07:00:00,39899,39899,39356,39511,4920,KBS
2020-03-30 07:00:00,37962,38737,37187,37962,6660,KBS
2020-03-31 07:00:00,37962,38737,36025,37575,4250,KBS
2020-04-01 07:00:00,37575,38737,37575,38737,2720,KBS
2020-04-03 07:00:00,39511,39511,38737,39124,3040,KBS
2020-04-06 07:00:00,39124,40673,37187,40596,16550,KBS
2020-04-07 07:00:00,43153,43153,40596,41061,8830,KBS
2020-04-08 07:00:00,41448,41836,40673,41836,9130,KBS
2020-04-09 07:00:00,42610,44005,40673,40906,12790,KBS
2020-04-10 07:00:00,42610,42610,41061,41448,880,KBS
2020-04-13 07:00:00,42223,42378,41526,42378,2540,KBS
2020-04-14 07:00:00,42843,42843,40286,41758,7650,KBS
2020-04-15 07:00:00,42533,42610,41836,41991,9230,KBS
2020-04-16 07:00:00,41991,42223,41991,42223,150,KBS
2020-04-17 07:00:00,40673,42610,40673,42455,1640,KBS
2020-04-20 07:00:00,42610,44005,42610,43463,4910,KBS
2020-04-21 07:00:00,44160,44160,41991,43385,1870,KBS
2020-04-22 07:00:00,42610,44160,41836,44082,4670,KBS
2020-04-23 07:00:00,44082,44547,43772,43772,540,KBS
2020-04-24 07:00:00,43385,43772,42688,43385,3600,KBS
2020-04-27 07:00:00,43385,44005,42223,44005,2930,KBS
2020-04-28 07:00:00,42610,44160,42610,44082,1420,KBS
2020-04-29 07:00:00,43385,44082,42223,43385,1160,KBS
2020-05-04 07:00:00,43385,44935,43385,43385,9980,KBS
2020-05-05 07:00:00,42688,44160,42688,43772,8870,KBS
2020-05-06 07:00:00,43772,44160,43772,44160,4340,KBS
2020-05-07 07:00:00,43385,44470,43385,44392,6000,KBS
2020-05-08 07:00:00,44392,44392,44160,44315,1930,KBS
2020-05-11 07:00:00,44315,44392,44160,44160,2020,KBS
2020-05-12 07:00:00,44237,44392,44160,44315,2510,KBS
2020-05-13 07:00:00,43850,44470,43850,44470,30,KBS
2020-05-14 07:00:00,44702,44702,44315,44315,4310,KBS
2020-05-15 07:00:00,44160,44547,44082,44470,2560,KBS
2020-05-18 07:00:00,44160,44625,44082,44625,1560,KBS
2020-05-19 07:00:00,44160,44237,44160,44237,4960,KBS
2020-05-20 07:00:00,44160,44935,44160,44935,2120,KBS
2020-05-21 07:00:00,43385,46794,43385,45322,2230,KBS
2020-05-22 07:00:00,45322,45709,44547,45632,620,KBS
2020-05-25 07:00:00,45632,46484,44935,46329,4350,KBS
2020-05-26 07:00:00,44547,46019,44547,45709,1830,KBS
2020-05-27 07:00:00,45709,45709,45709,45709,1440,KBS
2020-05-28 07:00:00,45632,45632,44935,44935,2010,KBS
2020-05-29 07:00:00,44935,45554,44935,45554,1220,KBS
2020-06-01 07:00:00,45554,45709,45322,45322,6700,KBS
2020-06-02 07:00:00,44935,45322,44935,45322,2480,KBS
2020-06-03 07:00:00,46019,46019,44935,44935,90,KBS
2020-06-04 07:00:00,45709,45709,44780,44780,2960,KBS
2020-06-05 07:00:00,44780,44935,44780,44780,1120,KBS
2020-06-08 07:00:00,45632,45632,45322,45322,1850,KBS
2020-06-09 07:00:00,45322,45322,45012,45012,2860,KBS
2020-06-10 07:00:00,45089,45244,45012,45012,1550,KBS
2020-06-11 07:00:00,45167,45167,44935,44935,8350,KBS
2020-06-12 07:00:00,44547,44547,42223,44547,3870,KBS
2020-06-15 07:00:00,44547,44547,43772,43772,1160,KBS
2020-06-16 07:00:00,44780,44780,44160,44160,170,KBS
2020-06-17 07:00:00,44547,44547,44160,44160,1340,KBS
2020-06-18 07:00:00,44948,45343,44554,44554,1640,KBS
2020-06-19 07:00:00,45658,45658,45579,45579,40,KBS
2020-06-22 07:00:00,46999,46999,45737,45737,640,KBS
2020-06-23 07:00:00,46841,46841,45343,45343,120,KBS
2020-06-24 07:00:00,45343,45343,45343,45343,60,KBS
2020-06-25 07:00:00,44712,44712,44633,44633,3870,KBS
2020-06-26 07:00:00,42583,44633,42583,44160,450,KBS
2020-06-29 07:00:00,43371,43371,41873,41873,4650,KBS
2020-06-30 07:00:00,41952,41952,41006,41952,2880,KBS
2020-07-01 07:00:00,41794,41794,41006,41794,5590,KBS
2020-07-02 07:00:00,41794,41794,40848,40848,920,KBS
2020-07-03 07:00:00,41006,41006,40769,41006,4140,KBS
2020-07-06 07:00:00,43766,43766,41084,43371,1090,KBS
2020-07-07 07:00:00,41794,41794,41715,41715,400,KBS
2020-07-08 07:00:00,41715,42583,41400,42583,2750,KBS
2020-07-10 07:00:00,42504,42504,40848,41084,2750,KBS
2020-07-13 07:00:00,41084,41715,41084,41715,1450,KBS
2020-07-14 07:00:00,41479,42031,41006,42031,2210,KBS
2020-07-15 07:00:00,42188,43766,42188,43371,12410,KBS
2020-07-16 07:00:00,43371,44554,43371,44160,3910,KBS
2020-07-17 07:00:00,44160,44160,42819,44160,390,KBS
2020-07-20 07:00:00,44160,44948,44160,44475,3480,KBS
2020-07-21 07:00:00,42425,44554,42346,44475,2700,KBS
2020-07-22 07:00:00,44870,44870,44870,44870,150,KBS
2020-07-23 07:00:00,42267,44081,42267,43529,2210,KBS
2020-07-24 07:00:00,44002,44002,41794,41794,2390,KBS
2020-07-27 07:00:00,41794,44081,39271,42504,2180,KBS
2020-07-28 07:00:00,41794,44870,41006,44002,1190,KBS
2020-07-29 07:00:00,41006,43135,41006,42819,2750,KBS
2020-07-30 07:00:00,42819,44791,42819,44160,2130,KBS
2020-07-31 07:00:00,45895,45895,44948,45027,10950,KBS
2020-08-03 07:00:00,44160,45106,44160,44160,3640,KBS
2020-08-04 07:00:00,43371,44948,43371,44870,5390,KBS
2020-08-05 07:00:00,44870,44948,44554,44948,560,KBS
2020-08-06 07:00:00,44554,44554,43371,44475,2460,KBS
2020-08-07 07:00:00,44475,45343,43529,45343,2370,KBS
2020-08-10 07:00:00,45579,45579,44160,44239,540,KBS
2020-08-11 07:00:00,44160,44554,43766,43766,4020,KBS
2020-08-12 07:00:00,43766,44712,43766,43844,3500,KBS
2020-08-13 07:00:00,43844,44160,43687,43844,51830,KBS
2020-08-14 07:00:00,43844,44633,43608,44554,54850,KBS
2020-08-17 07:00:00,43923,44948,43371,44475,33330,KBS
2020-08-18 07:00:00,44475,45106,44239,44239,9120,KBS
2020-08-19 07:00:00,44948,44948,44160,44160,9580,KBS
2020-08-20 07:00:00,43923,44475,43766,43844,50830,KBS
2020-08-21 07:00:00,43766,44002,43766,43844,52680,KBS
2020-08-24 07:00:00,44081,44318,43371,43844,27540,KBS
2020-08-25 07:00:00,43844,43844,43529,43687,17920,KBS
2020-08-26 07:00:00,43766,43766,43371,43371,36900,KBS
2020-08-27 07:00:00,43371,43371,42504,42740,27910,KBS
2020-08-28 07:00:00,42740,44081,42740,43844,3940,KBS
2020-08-31 07:00:00,43450,43766,43371,43371,4610,KBS
2020-09-01 07:00:00,43056,43371,42977,43135,1550,KBS
2020-09-03 07:00:00,43135,43371,43056,43135,10700,KBS
2020-09-04 07:00:00,43056,43371,42898,43371,1880,KBS
2020-09-07 07:00:00,43450,44870,43450,43608,26550,KBS
2020-09-08 07:00:00,44160,44554,43608,44318,3080,KBS
2020-09-09 07:00:00,44318,44475,44160,44396,6030,KBS
2020-09-10 07:00:00,44396,44554,44318,44318,14000,KBS
2020-09-11 07:00:00,44318,44554,44160,44318,5510,KBS
2020-09-14 07:00:00,44318,44396,43687,44160,3850,KBS
2020-09-15 07:00:00,44160,45579,44002,45422,46650,KBS
2020-09-16 07:00:00,45737,45737,44948,45422,6700,KBS
2020-09-17 07:00:00,45500,45500,44948,45343,12700,KBS
2020-09-18 07:00:00,44554,45579,44554,45500,9530,KBS
2020-09-21 07:00:00,45500,45658,44948,44948,2220,KBS
2020-09-22 07:00:00,44948,44948,44791,44791,16100,KBS
2020-09-23 07:00:00,44791,44948,44791,44870,6450,KBS
2020-09-24 07:00:00,44870,44948,44554,44791,4440,KBS
2020-09-25 07:00:00,44791,44791,44554,44712,8080,KBS
2020-09-28 07:00:00,44554,45500,44554,44633,11910,KBS
2020-09-29 07:00:00,44948,44948,44791,44791,16520,KBS
2020-09-30 07:00:00,44948,45264,44712,45264,35550,KBS
2020-10-01 07:00:00,44948,45500,44948,45264,7810,KBS
2020-10-02 07:00:00,45500,45579,45027,45343,10730,KBS
2020-10-05 07:00:00,45343,45422,44554,45422,15570,KBS
2020-10-06 07:00:00,45422,45579,45422,45500,5010,KBS
2020-10-07 07:00:00,44948,45737,44948,45658,13450,KBS
2020-10-08 07:00:00,45658,48182,45658,48103,25050,KBS
2020-10-09 07:00:00,49207,51099,49207,51099,18030,KBS
2020-10-12 07:00:00,51099,51336,50389,51099,25630,KBS
2020-10-13 07:00:00,50863,50863,49128,49207,16140,KBS
2020-10-14 07:00:00,50784,50784,49049,49049,1410,KBS
2020-10-15 07:00:00,49680,50389,49680,49916,2380,KBS
2020-10-16 07:00:00,49916,49916,48497,48891,2090,KBS
2020-10-19 07:00:00,49286,50074,49286,49837,3890,KBS
2020-10-20 07:00:00,50311,50311,49443,49680,6460,KBS
2020-10-21 07:00:00,49680,49680,48891,48891,3360,KBS
2020-10-22 07:00:00,48891,49601,48891,48891,640,KBS
2020-10-23 07:00:00,48891,48970,48497,48891,4530,KBS
2020-10-26 07:00:00,48891,49680,48891,49680,680,KBS
2020-10-27 07:00:00,48497,49680,47314,48891,3310,KBS
2020-10-28 07:00:00,48891,48891,47787,47787,1560,KBS
2020-10-29 07:00:00,47708,48891,47235,48891,13990,KBS
2020-10-30 07:00:00,48970,50074,48891,50074,9570,KBS
2020-11-02 07:00:00,50941,50941,50074,50074,460,KBS
2020-11-03 07:00:00,50074,50074,49680,49680,1200,KBS
2020-11-04 07:00:00,48891,50863,48891,49916,6540,KBS
2020-11-05 07:00:00,49916,50468,49916,50468,2590,KBS
2020-11-06 07:00:00,50468,50468,50153,50468,1210,KBS
2020-11-09 07:00:00,49837,50784,49837,50626,3250,KBS
2020-11-10 07:00:00,50626,52597,50468,52440,9290,KBS
2020-11-11 07:00:00,52440,52755,52282,52440,1680,KBS
2020-11-12 07:00:00,52440,52440,52045,52124,1810,KBS
2020-11-13 07:00:00,52124,52834,52045,52676,1540,KBS
2020-11-16 07:00:00,53386,53386,52676,52834,1630,KBS
2020-11-17 07:00:00,52834,53780,52834,53780,2240,KBS
2020-11-18 07:00:00,53780,54884,53780,54727,6850,KBS
2020-11-19 07:00:00,54963,55988,54805,55594,5350,KBS
2020-11-20 07:00:00,55594,55988,55200,55594,2790,KBS
2020-11-23 07:00:00,55594,55594,54805,55594,6980,KBS
2020-11-24 07:00:00,55594,55594,53623,55121,6540,KBS
2020-11-25 07:00:00,55121,55121,53623,55042,6270,KBS
2020-11-26 07:00:00,53544,55042,53544,54411,2150,KBS
2020-11-27 07:00:00,54805,54805,54096,54096,5460,KBS
2020-11-30 07:00:00,55279,55279,53701,54175,3610,KBS
2020-12-01 07:00:00,54411,54411,53701,54175,1160,KBS
2020-12-02 07:00:00,54175,54411,53701,53701,7160,KBS
2020-12-03 07:00:00,53623,54017,53623,53780,6020,KBS
2020-12-04 07:00:00,55357,55357,53859,53859,720,KBS
2020-12-07 07:00:00,53859,54332,53071,53859,1270,KBS
2020-12-08 07:00:00,54411,54411,52834,54253,1920,KBS
2020-12-09 07:00:00,54253,54253,54253,54253,1020,KBS
2020-12-10 07:00:00,54253,54253,53623,53623,1600,KBS
2020-12-11 07:00:00,53623,54411,53623,54411,1470,KBS
2020-12-14 07:00:00,54411,54411,53701,54017,2430,KBS
2020-12-15 07:00:00,53623,53938,52913,53938,3600,KBS
2020-12-16 07:00:00,54332,54332,53938,53938,1120,KBS
2020-12-17 07:00:00,53938,54411,53228,54411,1760,KBS
2020-12-18 07:00:00,54727,54727,54017,54411,6090,KBS
2020-12-21 07:00:00,55121,55121,54017,54727,5250,KBS
2020-12-22 07:00:00,55831,55831,54017,55200,3150,KBS
2020-12-23 07:00:00,55200,55200,54411,55200,2450,KBS
2020-12-24 07:00:00,55594,55594,54017,54411,5200,KBS
2020-12-25 07:00:00,53307,55200,53307,55121,1700,KBS
2020-12-28 07:00:00,54805,54805,53623,54411,2500,KBS
2020-12-29 07:00:00,55121,55121,54253,55042,1110,KBS
2020-12-30 07:00:00,55042,56540,55042,56383,7270,KBS
2020-12-31 07:00:00,56383,56540,56225,56461,6200,KBS
2021-01-04 07:00:00,57802,58354,57565,57565,2600,KBS
2021-01-05 07:00:00,57644,58354,57644,57802,1600,KBS
2021-01-06 07:00:00,57802,57802,55357,57171,5200,KBS
2021-01-07 07:00:00,57250,57565,55988,55988,11700,KBS
2021-01-08 07:00:00,55988,56777,55436,55594,22400,KBS
2021-01-11 07:00:00,56383,57250,56383,57250,11600,KBS
2021-01-12 07:00:00,57250,57250,56304,56383,14900,KBS
2021-01-13 07:00:00,56777,57960,56461,57960,20100,KBS
2021-01-14 07:00:00,57960,58039,56461,56777,28900,KBS
2021-01-15 07:00:00,56935,57565,55988,55988,35400,KBS
2021-01-18 07:00:00,56146,57013,55988,56777,43800,KBS
2021-01-19 07:00:00,57588,57588,53938,55155,6000,KBS
2021-01-20 07:00:00,55155,56371,55155,55560,7000,KBS
2021-01-21 07:00:00,55398,55560,55155,55560,4000,KBS
2021-01-22 07:00:00,55966,55966,55560,55560,5200,KBS
2021-01-25 07:00:00,55236,55236,53938,54181,20300,KBS
2021-01-26 07:00:00,54181,54181,50531,54181,11900,KBS
2021-01-27 07:00:00,54181,54181,51910,51910,36200,KBS
2021-01-28 07:00:00,48585,51829,48341,50613,43200,KBS
2021-01-29 07:00:00,53370,54100,53370,54100,9000,KBS
2021-02-01 07:00:00,54100,54344,53857,54100,58200,KBS
2021-02-02 07:00:00,54100,54100,51910,52072,13600,KBS
2021-02-03 07:00:00,55479,55479,51910,51910,33600,KBS
2021-02-04 07:00:00,54100,54100,51586,51586,30100,KBS
2021-02-05 07:00:00,51910,51910,51099,51505,14300,KBS
2021-02-08 07:00:00,51505,52316,51505,52316,7000,KBS
2021-02-09 07:00:00,52316,53208,52316,53208,600,KBS
2021-02-17 07:00:00,53532,53938,52721,53532,8100,KBS
2021-02-18 07:00:00,53938,53938,53046,53127,19100,KBS
2021-02-19 07:00:00,53127,53370,53046,53127,25100,KBS
2021-02-22 07:00:00,53127,54344,53127,53532,21800,KBS
2021-02-23 07:00:00,53938,54749,53370,54749,41100,KBS
2021-02-24 07:00:00,55074,55155,53695,53938,30300,KBS
2021-02-25 07:00:00,54344,54506,54344,54344,13900,KBS
2021-02-26 07:00:00,54344,55560,54344,55074,19500,KBS
2021-03-01 07:00:00,55074,55966,55074,55966,7600,KBS
2021-03-02 07:00:00,55804,56371,55560,55966,7800,KBS
2021-03-03 07:00:00,55966,56128,55560,56128,5600,KBS
2021-03-04 07:00:00,55966,55966,55560,55560,25600,KBS
2021-03-05 07:00:00,54425,55155,54425,55155,2400,KBS
2021-03-08 07:00:00,55155,55966,55155,55966,9900,KBS
2021-03-09 07:00:00,55966,55966,55155,55966,6200,KBS
2021-03-10 07:00:00,55560,55966,55560,55560,3300,KBS
2021-03-11 07:00:00,55966,55966,55155,55155,1400,KBS
2021-03-12 07:00:00,56290,57507,56290,56371,15000,KBS
2021-03-15 07:00:00,56696,57994,56696,57588,1900,KBS
2021-03-16 07:00:00,57507,57669,56371,56371,6600,KBS
2021-03-17 07:00:00,56371,56615,56371,56452,5200,KBS
2021-03-18 07:00:00,58237,58318,56939,56939,4600,KBS
2021-03-19 07:00:00,56615,56777,56371,56615,6700,KBS
2021-03-22 07:00:00,56615,56777,55317,56696,13200,KBS
2021-03-23 07:00:00,55966,56777,55966,56777,4400,KBS
2021-03-24 07:00:00,56777,56777,55966,56128,17200,KBS
2021-03-25 07:00:00,55966,56371,55804,56371,7100,KBS
2021-03-26 07:00:00,56371,56371,56128,56209,18500,KBS
2021-03-29 07:00:00,56777,57182,55966,57182,3900,KBS
2021-03-30 07:00:00,57182,57182,55966,55966,1600,KBS
2021-03-31 07:00:00,55966,57020,55722,55722,11900,KBS
2021-04-01 07:00:00,57588,58399,57588,57994,20800,KBS
2021-04-02 07:00:00,57588,58805,57588,58399,18800,KBS
2021-04-05 07:00:00,57994,62373,57994,61319,35500,KBS
2021-04-06 07:00:00,61643,62373,60832,61319,11300,KBS
2021-04-07 07:00:00,61319,61643,60427,60508,19200,KBS
2021-04-08 07:00:00,60508,60832,58399,58399,10700,KBS
2021-04-09 07:00:00,58480,60427,57182,57588,31400,KBS
2021-04-12 07:00:00,59210,59210,57182,57345,14400,KBS
2021-04-13 07:00:00,57507,57507,56777,57345,9400,KBS
2021-04-14 07:00:00,57264,57994,57182,57994,2400,KBS
2021-04-15 07:00:00,57912,57912,56777,56858,4900,KBS
2021-04-16 07:00:00,57182,57588,56777,56777,9700,KBS
2021-04-19 07:00:00,56777,56777,56290,56696,4900,KBS
2021-04-20 07:00:00,56696,56696,55966,56615,8500,KBS
2021-04-22 07:00:00,56777,57182,56047,56696,34100,KBS
2021-04-23 07:00:00,56696,56696,56047,56615,700,KBS
2021-04-26 07:00:00,56615,56615,55155,55155,10900,KBS
2021-04-27 07:00:00,55074,55074,54830,55074,3100,KBS
2021-04-28 07:00:00,55155,55966,55074,55966,3200,KBS
2021-04-29 07:00:00,54992,56777,54992,56371,3700,KBS
2021-05-04 07:00:00,56371,56371,55560,55966,2200,KBS
2021-05-05 07:00:00,55804,55804,55155,55155,700,KBS
2021-05-06 07:00:00,55236,55236,54911,55155,5300,KBS
2021-05-07 07:00:00,54911,56696,54749,54992,5200,KBS
2021-05-10 07:00:00,54425,55804,54425,54668,6400,KBS
2021-05-11 07:00:00,56371,56615,54830,54830,8300,KBS
2021-05-12 07:00:00,54830,54911,54749,54749,5500,KBS
2021-05-13 07:00:00,54749,54749,54668,54749,3100,KBS
2021-05-14 07:00:00,54425,55560,54425,55398,7500,KBS
2021-05-17 07:00:00,55479,55479,55398,55398,1300,KBS
2021-05-18 07:00:00,55155,55722,54668,55074,8500,KBS
2021-05-19 07:00:00,54749,55479,54506,55479,6200,KBS
2021-05-20 07:00:00,54749,55479,54344,54749,10900,KBS
2021-05-21 07:00:00,55325,55325,54749,54749,2100,KBS
2021-05-24 07:00:00,54337,54749,53514,54749,4900,KBS
2021-05-25 07:00:00,54584,54749,54502,54749,3600,KBS
2021-05-26 07:00:00,54749,56396,54337,56396,17600,KBS
2021-05-27 07:00:00,56478,56807,56396,56807,16100,KBS
2021-05-28 07:00:00,57548,57631,57219,57631,16500,KBS
2021-05-31 07:00:00,57548,57795,57466,57795,26300,KBS
2021-06-01 07:00:00,57631,57631,56807,56807,1100,KBS
2021-06-02 07:00:00,56643,57466,56066,57466,4900,KBS
2021-06-03 07:00:00,57466,58289,57466,58125,12400,KBS
2021-06-04 07:00:00,58207,58207,56807,58125,3900,KBS
2021-06-07 07:00:00,57878,58207,57631,57795,10000,KBS
2021-06-08 07:00:00,57960,58289,57960,58289,8400,KBS
2021-06-09 07:00:00,58289,58454,57631,58454,14000,KBS
2021-06-10 07:00:00,57631,60101,57631,59689,48600,KBS
2021-06-11 07:00:00,59689,60348,59689,60101,32500,KBS
2021-06-14 07:00:00,60018,60512,60018,60512,24300,KBS
2021-06-15 07:00:00,60595,61335,60595,61335,62300,KBS
2021-06-16 07:00:00,60924,60924,57054,60430,2300,KBS
2021-06-17 07:00:00,60348,60348,58454,60018,3400,KBS
2021-06-18 07:00:00,60018,60018,59936,59936,700,KBS
2021-06-21 07:00:00,59936,59936,58042,58619,7800,KBS
2021-06-22 07:00:00,59936,59936,58125,58619,6600,KBS
2021-06-23 07:00:00,58619,58619,57631,58042,9200,KBS
2021-06-24 07:00:00,58042,58125,56807,58042,19900,KBS
2021-06-25 07:00:00,58042,61088,58042,60183,22300,KBS
2021-06-28 07:00:00,60842,61582,60759,61253,27600,KBS
2021-06-29 07:00:00,61665,62570,61335,62159,63500,KBS
2021-06-30 07:00:00,62570,62982,61829,62241,19000,KBS
2021-07-01 07:00:00,62900,62982,62323,62570,9500,KBS
2021-07-02 07:00:00,63229,63229,60101,61088,15800,KBS
2021-07-05 07:00:00,60924,60924,60512,60512,2300,KBS
