date,open,high,low,close,volume,_source
2020-01-02 07:00:00,2640,2690,2610,2660,289740,KBS
2020-01-03 07:00:00,2660,2720,2640,2640,280360,KBS
2020-01-06 07:00:00,2640,2670,2600,2600,372830,KBS
2020-01-07 07:00:00,2620,2630,2590,2630,189350,KBS
2020-01-08 07:00:00,2590,2640,2520,2590,623100,KBS
2020-01-09 07:00:00,2600,2640,2580,2590,254420,KBS
2020-01-10 07:00:00,2600,2620,2570,2570,580660,KBS
2020-01-13 07:00:00,2600,2600,2550,2550,225840,KBS
2020-01-14 07:00:00,2560,2600,2550,2590,501070,KBS
2020-01-15 07:00:00,2590,2630,2590,2620,494130,KBS
2020-01-16 07:00:00,2600,2650,2600,2620,414000,KBS
2020-01-17 07:00:00,2630,2630,2590,2590,359490,KBS
2020-01-20 07:00:00,2610,2680,2610,2620,316360,KBS
2020-01-21 07:00:00,2620,2750,2620,2750,293160,KBS
2020-01-22 07:00:00,2750,2820,2700,2740,588030,KBS
2020-01-30 07:00:00,2740,2760,2650,2650,303000,KBS
2020-01-31 07:00:00,2650,2680,2470,2480,762830,KBS
2020-02-03 07:00:00,2310,2450,2310,2330,1522650,KBS
2020-02-04 07:00:00,2410,2410,2330,2360,382520,KBS
2020-02-05 07:00:00,2400,2400,2360,2380,113080,KBS
2020-02-06 07:00:00,2370,2540,2360,2460,437290,KBS
2020-02-07 07:00:00,2530,2530,2400,2400,294370,KBS
2020-02-10 07:00:00,2400,2460,2400,2400,214920,KBS
2020-02-11 07:00:00,2480,2480,2410,2450,147030,KBS
2020-02-12 07:00:00,2420,2620,2420,2580,417960,KBS
2020-02-13 07:00:00,2610,2610,2550,2590,574300,KBS
2020-02-14 07:00:00,2590,2770,2560,2750,1202670,KBS
2020-02-17 07:00:00,2850,2940,2780,2840,1826130,KBS
2020-02-18 07:00:00,2840,2890,2750,2780,719290,KBS
2020-02-19 07:00:00,2720,2830,2720,2780,549900,KBS
2020-02-20 07:00:00,2780,2950,2740,2900,1577490,KBS
2020-02-21 07:00:00,2940,2940,2840,2850,458430,KBS
2020-02-24 07:00:00,2800,2800,2680,2680,585430,KBS
2020-02-25 07:00:00,2630,2790,2600,2790,754390,KBS
2020-02-26 07:00:00,2790,2850,2740,2750,439360,KBS
2020-02-27 07:00:00,2750,2840,2750,2820,872850,KBS
2020-02-28 07:00:00,2830,2830,2720,2750,777470,KBS
2020-03-02 07:00:00,2770,2770,2690,2700,771860,KBS
2020-03-03 07:00:00,2700,2760,2670,2700,840710,KBS
2020-03-04 07:00:00,2700,2880,2680,2850,1187780,KBS
2020-03-05 07:00:00,2860,2890,2810,2810,990300,KBS
2020-03-06 07:00:00,2770,3000,2760,2940,1694630,KBS
2020-03-09 07:00:00,2740,2880,2740,2740,1501860,KBS
2020-03-10 07:00:00,2660,2850,2610,2740,737660,KBS
2020-03-11 07:00:00,2740,2790,2580,2590,1121010,KBS
2020-03-12 07:00:00,2550,2580,2410,2410,1263780,KBS
2020-03-13 07:00:00,2250,2500,2250,2400,926890,KBS
2020-03-16 07:00:00,2400,2550,2400,2430,611470,KBS
2020-03-17 07:00:00,2400,2560,2380,2540,624770,KBS
2020-03-18 07:00:00,2570,2640,2540,2600,912430,KBS
2020-03-19 07:00:00,2600,2600,2470,2490,442160,KBS
2020-03-20 07:00:00,2600,2600,2400,2480,385390,KBS
2020-03-23 07:00:00,2360,2400,2310,2310,771120,KBS
2020-03-24 07:00:00,2250,2300,2150,2150,950670,KBS
2020-03-25 07:00:00,2120,2280,2120,2210,1403680,KBS
2020-03-26 07:00:00,2210,2250,2150,2150,540270,KBS
2020-03-27 07:00:00,2060,2140,2000,2000,1358700,KBS
2020-03-30 07:00:00,1880,2000,1860,1860,770790,KBS
2020-03-31 07:00:00,1860,1960,1730,1840,536410,KBS
2020-04-01 07:00:00,1760,1900,1750,1840,421060,KBS
2020-04-03 07:00:00,1940,1940,1840,1890,849680,KBS
2020-04-06 07:00:00,1900,2020,1900,2020,789900,KBS
2020-04-07 07:00:00,2080,2090,1950,1980,308660,KBS
2020-04-08 07:00:00,1900,2000,1900,1990,150790,KBS
2020-04-09 07:00:00,2020,2020,1960,1990,515100,KBS
2020-04-10 07:00:00,1950,1980,1860,1980,974170,KBS
2020-04-13 07:00:00,1980,2100,1920,2100,1401050,KBS
2020-04-14 07:00:00,2230,2230,2110,2150,924150,KBS
2020-04-15 07:00:00,2150,2220,2140,2160,593060,KBS
2020-04-16 07:00:00,2100,2170,2060,2160,327330,KBS
2020-04-17 07:00:00,2160,2200,2140,2150,811710,KBS
2020-04-20 07:00:00,2120,2200,2120,2160,667870,KBS
2020-04-21 07:00:00,2160,2170,2020,2020,1356260,KBS
2020-04-22 07:00:00,1950,2080,1950,2040,337090,KBS
2020-04-23 07:00:00,2040,2070,2000,2030,426510,KBS
2020-04-24 07:00:00,2030,2100,1990,2090,935800,KBS
2020-04-27 07:00:00,2090,2100,2040,2080,787500,KBS
2020-04-28 07:00:00,2220,2220,2100,2100,3112950,KBS
2020-04-29 07:00:00,2120,2140,2090,2120,1423490,KBS
2020-05-04 07:00:00,2190,2190,2100,2120,1401860,KBS
2020-05-05 07:00:00,2120,2130,2070,2080,1637590,KBS
2020-05-06 07:00:00,2080,2110,2070,2090,673170,KBS
2020-05-07 07:00:00,2100,2100,2070,2090,1039280,KBS
2020-05-08 07:00:00,2060,2090,2060,2070,1383250,KBS
2020-05-11 07:00:00,2070,2100,2050,2070,880540,KBS
2020-05-12 07:00:00,2060,2080,2050,2070,1433530,KBS
2020-05-13 07:00:00,2070,2210,2050,2210,5068560,KBS
2020-05-14 07:00:00,2350,2360,2290,2360,4855560,KBS
2020-05-15 07:00:00,2430,2520,2360,2520,4666050,KBS
2020-05-18 07:00:00,2520,2670,2400,2440,3420800,KBS
2020-05-19 07:00:00,2440,2480,2360,2360,2477770,KBS
2020-05-20 07:00:00,2350,2520,2300,2520,3141970,KBS
2020-05-21 07:00:00,2550,2690,2550,2670,3284260,KBS
2020-05-22 07:00:00,2670,2820,2610,2680,2833200,KBS
2020-05-25 07:00:00,2690,2750,2650,2690,2459040,KBS
2020-05-26 07:00:00,2690,2720,2620,2680,3218170,KBS
2020-05-27 07:00:00,2680,2830,2660,2690,3173410,KBS
2020-05-28 07:00:00,2690,2750,2670,2720,2178840,KBS
2020-05-29 07:00:00,2720,2910,2710,2910,4941400,KBS
2020-06-01 07:00:00,3100,3110,3050,3110,1877530,KBS
2020-06-02 07:00:00,3320,3320,3040,3040,8128320,KBS
2020-06-03 07:00:00,2990,3070,2860,3020,4906400,KBS
2020-06-04 07:00:00,3020,3170,3000,3150,3234330,KBS
2020-06-05 07:00:00,3100,3140,3060,3110,2698220,KBS
2020-06-08 07:00:00,3120,3320,3080,3320,4615500,KBS
2020-06-09 07:00:00,3420,3450,3100,3380,3836750,KBS
2020-06-10 07:00:00,3400,3590,3290,3520,5895170,KBS
2020-06-11 07:00:00,3600,3630,3280,3280,6496740,KBS
2020-06-12 07:00:00,3060,3180,3060,3070,6384090,KBS
2020-06-15 07:00:00,3090,3160,2860,2860,5086960,KBS
2020-06-16 07:00:00,3000,3060,2910,3060,3481360,KBS
2020-06-17 07:00:00,3140,3160,3000,3060,1456370,KBS
2020-06-18 07:00:00,3000,3160,3000,3060,1520500,KBS
2020-06-19 07:00:00,3070,3270,3040,3260,4643130,KBS
2020-06-22 07:00:00,3260,3320,3160,3180,1828130,KBS
2020-06-23 07:00:00,3180,3250,3080,3110,2345980,KBS
2020-06-24 07:00:00,3110,3160,3050,3060,2053170,KBS
2020-06-25 07:00:00,2970,3080,2950,3050,2196220,KBS
2020-06-26 07:00:00,3050,3150,3040,3070,2138920,KBS
2020-06-29 07:00:00,3070,3070,2930,2930,1595810,KBS
2020-06-30 07:00:00,2930,3000,2740,2810,1947850,KBS
2020-07-01 07:00:00,2810,2940,2800,2920,1792210,KBS
2020-07-02 07:00:00,2920,3000,2900,2930,740900,KBS
2020-07-03 07:00:00,2960,2960,2870,2900,1038730,KBS
2020-07-06 07:00:00,2910,2940,2870,2880,891610,KBS
2020-07-07 07:00:00,2930,2940,2860,2870,1131170,KBS
2020-07-08 07:00:00,2860,2900,2840,2890,1166490,KBS
2020-07-09 07:00:00,2920,2960,2890,2900,882240,KBS
2020-07-10 07:00:00,2880,2950,2880,2940,852280,KBS
2020-07-13 07:00:00,2950,3110,2940,3090,2580720,KBS
2020-07-14 07:00:00,3120,3250,3110,3200,3399250,KBS
2020-07-15 07:00:00,3250,3260,3120,3120,1229720,KBS
2020-07-16 07:00:00,3200,3200,3080,3120,733920,KBS
2020-07-17 07:00:00,3090,3130,3050,3100,1071120,KBS
2020-07-20 07:00:00,3100,3260,3100,3180,1596910,KBS
2020-07-21 07:00:00,3190,3190,3120,3160,1096660,KBS
2020-07-22 07:00:00,3160,3180,3090,3090,878310,KBS
2020-07-23 07:00:00,3100,3100,3030,3080,663650,KBS
2020-07-24 07:00:00,3050,3080,2870,2870,3409120,KBS
2020-07-27 07:00:00,2670,2730,2670,2670,2085690,KBS
2020-07-28 07:00:00,2670,2800,2550,2740,1359650,KBS
2020-07-29 07:00:00,2650,2690,2550,2570,2330500,KBS
2020-07-30 07:00:00,2570,2660,2570,2660,1151380,KBS
2020-07-31 07:00:00,2690,2840,2610,2840,1497900,KBS
2020-08-03 07:00:00,3030,3030,3030,3030,794040,KBS
2020-08-04 07:00:00,3240,3240,3100,3190,5343880,KBS
2020-08-05 07:00:00,3180,3240,3110,3120,2289510,KBS
2020-08-06 07:00:00,3120,3320,3120,3220,2826320,KBS
2020-08-07 07:00:00,3220,3230,3150,3170,1192900,KBS
2020-08-10 07:00:00,3220,3240,3160,3170,1117020,KBS
2020-08-11 07:00:00,3150,3170,3110,3130,1328500,KBS
2020-08-12 07:00:00,3140,3150,3060,3080,1486280,KBS
2020-08-13 07:00:00,3080,3190,3080,3150,893390,KBS
2020-08-14 07:00:00,3160,3320,3150,3180,4220480,KBS
2020-08-17 07:00:00,3200,3290,3170,3280,4117060,KBS
2020-08-18 07:00:00,3300,3420,3300,3400,3585020,KBS
2020-08-19 07:00:00,3450,3480,3330,3410,3059460,KBS
2020-08-20 07:00:00,3390,3410,3330,3330,2052500,KBS
2020-08-21 07:00:00,3330,3400,3330,3370,2216120,KBS
2020-08-24 07:00:00,3390,3440,3360,3380,2455750,KBS
2020-08-25 07:00:00,3420,3420,3360,3380,2006310,KBS
2020-08-26 07:00:00,3610,3610,3610,3610,2048470,KBS
2020-08-27 07:00:00,3860,3860,3860,3860,658990,KBS
2020-08-28 07:00:00,4130,4130,4130,4130,1261390,KBS
2020-08-31 07:00:00,4410,4410,4130,4410,22812920,KBS
2020-09-01 07:00:00,4400,4660,4300,4410,4928070,KBS
2020-09-03 07:00:00,4410,4550,4300,4330,3393100,KBS
2020-09-04 07:00:00,4150,4600,4120,4500,7381130,KBS
2020-09-07 07:00:00,4500,4810,4500,4740,7490090,KBS
2020-09-08 07:00:00,4790,4790,4590,4700,4422550,KBS
2020-09-09 07:00:00,4520,5000,4520,4940,5910160,KBS
2020-09-10 07:00:00,5250,5250,4900,4900,5607390,KBS
2020-09-11 07:00:00,4810,5050,4800,4960,3523010,KBS
2020-09-14 07:00:00,5050,5050,4850,4890,4483450,KBS
2020-09-15 07:00:00,4900,5000,4850,4900,4392720,KBS
2020-09-16 07:00:00,4900,4910,4840,4840,2538230,KBS
2020-09-17 07:00:00,4850,4880,4520,4700,7451340,KBS
2020-09-18 07:00:00,4650,4810,4560,4790,2708530,KBS
2020-09-21 07:00:00,4800,5120,4770,5120,7314240,KBS
2020-09-22 07:00:00,5100,5400,5000,5250,5919970,KBS
2020-09-23 07:00:00,5300,5310,5110,5200,3398360,KBS
2020-09-24 07:00:00,5110,5230,5060,5170,3821820,KBS
2020-09-25 07:00:00,5200,5290,5110,5200,2645290,KBS
2020-09-28 07:00:00,5270,5490,5250,5490,5554090,KBS
2020-09-29 07:00:00,5550,5590,5330,5390,4849570,KBS
2020-09-30 07:00:00,5390,5500,5350,5490,3338950,KBS
2020-10-01 07:00:00,5590,5590,5480,5540,2622180,KBS
2020-10-02 07:00:00,5590,5590,5300,5460,5158830,KBS
2020-10-05 07:00:00,5460,5590,5460,5530,2936150,KBS
2020-10-06 07:00:00,5530,5600,5480,5500,3207080,KBS
2020-10-07 07:00:00,5480,5880,5440,5880,5105570,KBS
2020-10-08 07:00:00,6190,6290,6000,6290,7118520,KBS
2020-10-09 07:00:00,6280,6660,6220,6420,3522940,KBS
2020-10-12 07:00:00,6420,6460,6270,6290,4602440,KBS
2020-10-13 07:00:00,6280,6630,6220,6560,3723390,KBS
2020-10-14 07:00:00,6660,6970,6570,6730,3838480,KBS
2020-10-15 07:00:00,6740,6850,6660,6790,2947200,KBS
