date,open,high,low,close,volume,_source
2020-01-02 07:00:00,4090,4090,3570,4090,770,KBS
2020-01-03 07:00:00,4340,4340,3810,3810,30,KBS
2020-01-06 07:00:00,4050,4070,3800,4070,1890,KBS
2020-01-07 07:00:00,4340,4340,4340,4340,10,KBS
2020-01-08 07:00:00,4040,4040,4040,4040,3300,KBS
2020-01-09 07:00:00,3780,4200,3780,4180,80,KBS
2020-01-10 07:00:00,4350,4350,4180,4180,20,KBS
2020-01-13 07:00:00,4470,4470,3890,4430,30,KBS
2020-01-14 07:00:00,4120,4120,4120,4120,330,KBS
2020-01-15 07:00:00,3840,4300,3840,4300,320,KBS
2020-01-16 07:00:00,4000,4000,4000,4000,100,KBS
2020-01-17 07:00:00,3720,3720,3720,3720,10,KBS
2020-01-20 07:00:00,3980,3980,3520,3520,30,KBS
2020-01-21 07:00:00,3750,3750,3750,3750,1010,KBS
2020-01-22 07:00:00,3950,4000,3600,3600,770,KBS
2020-01-30 07:00:00,3850,3850,3850,3850,10,KBS
2020-01-31 07:00:00,4100,4100,3850,3850,200,KBS
2020-02-03 07:00:00,4000,4110,3590,3990,1120,KBS
2020-02-04 07:00:00,4260,4260,4260,4260,1180,KBS
2020-02-05 07:00:00,4260,4550,3970,3970,12530,KBS
2020-02-06 07:00:00,3970,3970,3710,3970,2150,KBS
2020-02-07 07:00:00,3980,3980,3900,3950,13040,KBS
2020-02-10 07:00:00,4000,4000,3990,3990,410,KBS
2020-02-11 07:00:00,4250,4250,4250,4250,10,KBS
2020-02-12 07:00:00,4540,4540,4250,4250,20,KBS
2020-02-13 07:00:00,4540,4540,3960,3960,4150,KBS
2020-02-14 07:00:00,4000,4000,3720,3720,11130,KBS
2020-02-17 07:00:00,3720,3980,3720,3720,7470,KBS
2020-02-18 07:00:00,3720,3970,3720,3970,14900,KBS
2020-02-19 07:00:00,3970,3970,3970,3970,90,KBS
2020-02-20 07:00:00,3700,3970,3700,3710,2930,KBS
2020-02-21 07:00:00,3950,3950,3950,3950,60,KBS
2020-02-24 07:00:00,4000,4220,3680,3700,440,KBS
2020-02-25 07:00:00,3950,3950,3950,3950,30,KBS
2020-02-26 07:00:00,3950,3950,3680,3900,50,KBS
2020-02-27 07:00:00,3950,3950,3630,3890,150,KBS
2020-02-28 07:00:00,3620,3800,3620,3790,1090,KBS
2020-03-03 07:00:00,3870,3870,3700,3700,1320,KBS
2020-03-04 07:00:00,3700,3890,3700,3720,1380,KBS
2020-03-05 07:00:00,3880,3880,3720,3720,730,KBS
2020-03-06 07:00:00,3800,3940,3800,3940,25650,KBS
2020-03-09 07:00:00,4210,4210,3700,4000,2480,KBS
2020-03-10 07:00:00,4280,4280,3720,3720,5160,KBS
2020-03-11 07:00:00,3720,3720,3720,3720,5610,KBS
2020-03-12 07:00:00,3600,3700,3600,3700,1840,KBS
2020-03-13 07:00:00,3940,3940,3450,3450,310,KBS
2020-03-16 07:00:00,3450,3450,3410,3410,5190,KBS
2020-03-17 07:00:00,3640,3640,3300,3410,490,KBS
2020-03-18 07:00:00,3600,3600,3600,3600,10,KBS
2020-03-19 07:00:00,3350,3490,3350,3350,1640,KBS
2020-03-20 07:00:00,3570,3580,3120,3350,1240,KBS
2020-03-23 07:00:00,3120,3120,3120,3120,46860,KBS
2020-03-24 07:00:00,3120,3120,2910,3120,4620,KBS
2020-03-25 07:00:00,2910,3200,2910,2910,5730,KBS
2020-03-26 07:00:00,3100,3100,2950,2950,15630,KBS
2020-03-27 07:00:00,2780,3000,2780,3000,1020,KBS
2020-03-30 07:00:00,2790,2790,2790,2790,40,KBS
2020-03-31 07:00:00,2980,2980,2790,2800,370,KBS
2020-04-01 07:00:00,2800,2970,2800,2970,210,KBS
2020-04-03 07:00:00,2800,3160,2770,2990,57760,KBS
2020-04-06 07:00:00,2820,2990,2820,2820,10040,KBS
2020-04-07 07:00:00,3000,3000,2810,3000,22050,KBS
2020-04-08 07:00:00,3090,3090,2800,2880,26290,KBS
2020-04-09 07:00:00,2690,2900,2690,2880,1020,KBS
2020-04-10 07:00:00,2680,2870,2680,2850,2120,KBS
2020-04-13 07:00:00,2660,2900,2660,2860,7900,KBS
2020-04-14 07:00:00,3000,3000,2950,2950,12690,KBS
2020-04-15 07:00:00,2950,2950,2830,2830,2330,KBS
2020-04-16 07:00:00,2650,2800,2650,2800,9100,KBS
2020-04-17 07:00:00,2900,2950,2700,2700,7320,KBS
2020-04-20 07:00:00,2750,2800,2750,2800,2020,KBS
2020-04-21 07:00:00,2800,2800,2660,2670,4590,KBS
2020-04-22 07:00:00,2700,2850,2700,2810,3500,KBS
2020-04-23 07:00:00,2860,2880,2820,2820,22840,KBS
2020-04-24 07:00:00,2830,2880,2800,2800,1200,KBS
2020-04-27 07:00:00,2840,2850,2840,2850,5550,KBS
2020-04-28 07:00:00,3000,3000,2790,2790,9210,KBS
2020-04-29 07:00:00,2790,2920,2770,2790,4060,KBS
2020-05-04 07:00:00,2790,2960,2790,2960,1030,KBS
2020-05-05 07:00:00,3140,3140,2790,3000,480,KBS
2020-05-06 07:00:00,2980,3210,2800,3100,27670,KBS
2020-05-07 07:00:00,2890,2990,2890,2910,7300,KBS
2020-05-08 07:00:00,2950,2950,2750,2900,43560,KBS
2020-05-11 07:00:00,2900,2940,2940,2940,10,KBS
2020-05-12 07:00:00,2800,2980,2800,2820,3670,KBS
2020-05-13 07:00:00,2980,3000,2950,3000,9030,KBS
2020-05-14 07:00:00,3000,3100,3000,3100,4520,KBS
2020-05-15 07:00:00,3100,3200,2950,2950,8510,KBS
2020-05-18 07:00:00,3000,3100,2900,2920,4280,KBS
2020-05-19 07:00:00,2940,3060,2870,2920,7880,KBS
2020-05-20 07:00:00,3000,3000,2980,2980,950,KBS
2020-05-21 07:00:00,2900,2980,2900,2900,23510,KBS
2020-05-22 07:00:00,2900,2990,2900,2940,7960,KBS
2020-05-25 07:00:00,2940,2940,2900,2920,2350,KBS
2020-05-26 07:00:00,2990,2990,2840,2840,3460,KBS
2020-05-27 07:00:00,2950,3000,2860,2880,11270,KBS
2020-05-28 07:00:00,2990,2990,2870,2870,4810,KBS
2020-05-29 07:00:00,2890,2890,2760,2890,7380,KBS
2020-06-01 07:00:00,2800,2950,2800,2900,70450,KBS
2020-06-02 07:00:00,2900,3070,2900,2910,23990,KBS
2020-06-03 07:00:00,3110,3110,3000,3110,12830,KBS
2020-06-04 07:00:00,3320,3320,3320,3320,43480,KBS
2020-06-05 07:00:00,3550,3550,3550,3550,21250,KBS
2020-06-08 07:00:00,3790,3790,3790,3790,13260,KBS
2020-06-09 07:00:00,4050,4050,4000,4050,269890,KBS
2020-06-10 07:00:00,4300,4330,4250,4330,128490,KBS
2020-06-11 07:00:00,4600,4630,4340,4620,180450,KBS
2020-06-12 07:00:00,4300,4610,4300,4490,172730,KBS
2020-06-15 07:00:00,4500,4500,4180,4180,48780,KBS
2020-06-16 07:00:00,3890,3890,3890,3890,34500,KBS
2020-06-17 07:00:00,3620,3640,3620,3620,125500,KBS
2020-06-18 07:00:00,3460,3600,3370,3370,315340,KBS
2020-06-19 07:00:00,3590,3600,3590,3600,81940,KBS
2020-06-22 07:00:00,3850,3850,3830,3850,89090,KBS
2020-06-23 07:00:00,3860,3860,3590,3600,119080,KBS
2020-06-24 07:00:00,3730,3730,3350,3420,158320,KBS
2020-06-25 07:00:00,3430,3620,3350,3480,34370,KBS
2020-06-26 07:00:00,3680,3680,3410,3410,16960,KBS
2020-06-29 07:00:00,3410,3410,3180,3180,106030,KBS
2020-06-30 07:00:00,3200,3200,2960,2960,89960,KBS
2020-07-01 07:00:00,3150,3160,3010,3150,46730,KBS
2020-07-02 07:00:00,3150,3370,3140,3370,163430,KBS
2020-07-03 07:00:00,3400,3600,3400,3600,269260,KBS
2020-07-06 07:00:00,3850,3850,3850,3850,65840,KBS
2020-07-07 07:00:00,4110,4110,4100,4110,417480,KBS
2020-07-08 07:00:00,4110,4390,3830,4110,191690,KBS
2020-07-09 07:00:00,4110,4390,3970,4380,233910,KBS
2020-07-10 07:00:00,4380,4600,4250,4570,138380,KBS
2020-07-13 07:00:00,4650,4850,4300,4450,76700,KBS
2020-07-14 07:00:00,4300,4500,4250,4450,27850,KBS
2020-07-15 07:00:00,4500,4760,4450,4750,206680,KBS
2020-07-16 07:00:00,4750,5080,4750,5080,592370,KBS
2020-07-17 07:00:00,5430,5430,5430,5430,435620,KBS
2020-07-20 07:00:00,5800,5810,5600,5800,1145970,KBS
2020-07-21 07:00:00,5800,5970,5550,5800,171540,KBS
