date,open,high,low,close,volume,_source
2020-02-05 07:00:00,11979,11979,11847,11847,1600,KBS
2020-02-18 07:00:00,10860,10860,10860,10860,100,KBS
2020-02-19 07:00:00,11913,11913,11913,11913,100,KBS
2020-02-27 07:00:00,10728,10728,10728,10728,100,KBS
2020-03-04 07:00:00,9872,9872,9872,9872,100,KBS
2020-03-16 07:00:00,9872,9872,9872,9872,18,KBS
2020-03-19 07:00:00,8885,8885,8885,8885,100,KBS
2020-03-23 07:00:00,9675,9675,9675,9675,100,KBS
2020-03-31 07:00:00,8819,8885,8819,8819,900,KBS
2020-04-03 07:00:00,8819,8819,8819,8819,56,KBS
2020-04-06 07:00:00,8030,9609,8030,9609,200,KBS
2020-04-22 07:00:00,9609,10465,8754,8754,200,KBS
2020-04-23 07:00:00,7964,9083,7964,9083,200,KBS
2020-04-27 07:00:00,8293,8293,8293,8293,320,KBS
2020-04-29 07:00:00,8293,8293,8293,8293,20,KBS
2020-05-04 07:00:00,8754,8754,8754,8754,100,KBS
2020-05-05 07:00:00,8030,9412,8030,9412,200,KBS
2020-05-08 07:00:00,9741,9741,9741,9741,100,KBS
2020-05-11 07:00:00,8819,8819,8819,8819,200,KBS
2020-05-12 07:00:00,8754,8754,8622,8622,300,KBS
2020-05-15 07:00:00,8030,9083,8030,9083,200,KBS
2020-05-19 07:00:00,9083,9083,9083,9083,120,KBS
2020-05-20 07:00:00,9017,9017,9017,9017,300,KBS
2020-05-21 07:00:00,8951,9017,8951,9017,500,KBS
2020-05-22 07:00:00,8227,8227,8227,8227,2500,KBS
2020-05-25 07:00:00,8885,8885,8359,8359,900,KBS
2020-05-26 07:00:00,9144,9144,9144,9144,2200,KBS
2020-05-27 07:00:00,9144,9144,9144,9144,400,KBS
2020-06-01 07:00:00,9144,9144,9144,9144,200,KBS
2020-06-02 07:00:00,8359,8359,8359,8359,100,KBS
2020-06-04 07:00:00,8359,8359,8359,8359,500,KBS
2020-06-05 07:00:00,8073,8073,8073,8073,1200,KBS
2020-06-08 07:00:00,8001,8716,8001,8716,3610,KBS
2020-06-10 07:00:00,8216,9502,8216,8216,3100,KBS
2020-06-12 07:00:00,7716,8930,7716,8930,215,KBS
2020-06-15 07:00:00,8573,8573,8573,8573,200,KBS
2020-06-17 07:00:00,9216,9216,9216,9216,100,KBS
2020-06-19 07:00:00,9930,9930,9930,9930,100,KBS
2020-06-22 07:00:00,9002,9002,9002,9002,100,KBS
2020-07-01 07:00:00,9216,9216,9216,9216,100,KBS
2020-07-03 07:00:00,9216,9216,9216,9216,19,KBS
2020-07-06 07:00:00,9930,9930,9930,9930,100,KBS
2020-07-09 07:00:00,9002,9002,9002,9002,500,KBS
2020-07-16 07:00:00,8573,8573,8573,8573,100,KBS
2020-07-21 07:00:00,8573,8573,8573,8573,20,KBS
2020-07-22 07:00:00,9287,9287,9287,9287,2400,KBS
2020-07-23 07:00:00,9287,9287,9287,9287,1100,KBS
2020-07-27 07:00:00,8359,8359,8359,8359,400,KBS
2020-07-30 07:00:00,8502,9144,8502,9144,3600,KBS
2020-07-31 07:00:00,8430,8430,8287,8287,1200,KBS
2020-08-03 07:00:00,8573,9073,8573,9073,600,KBS
2020-08-04 07:00:00,9073,9073,9073,9073,90,KBS
2020-08-07 07:00:00,9144,9144,9144,9144,176,KBS
2020-08-12 07:00:00,9216,9216,9216,9216,100,KBS
2020-08-18 07:00:00,8430,8430,8430,8430,200,KBS
2020-08-19 07:00:00,7859,7859,7859,7859,800,KBS
2020-08-21 07:00:00,7073,8573,7073,8573,200,KBS
2020-08-25 07:00:00,8573,9216,8001,9216,2200,KBS
2020-08-26 07:00:00,9216,9216,9216,9216,1007,KBS
2020-08-28 07:00:00,10002,10002,10002,10002,100,KBS
2020-08-31 07:00:00,9002,9002,9002,9002,3500,KBS
2020-09-04 07:00:00,8930,9859,8859,9859,600,KBS
2020-09-08 07:00:00,9859,9859,9859,9859,20,KBS
2020-09-15 07:00:00,9859,9859,9859,9859,1,KBS
2020-09-18 07:00:00,8930,8930,8930,8930,100,KBS
2020-09-25 07:00:00,9787,9787,8930,8930,1100,KBS
2020-10-05 07:00:00,8573,8930,8573,8930,2200,KBS
2020-10-06 07:00:00,8930,8930,8930,8930,70,KBS
2020-10-07 07:00:00,8359,8359,8216,8216,3000,KBS
2020-10-08 07:00:00,8359,8430,8359,8430,3600,KBS
2020-10-09 07:00:00,8287,8287,8287,8287,510,KBS
2020-10-12 07:00:00,8287,8287,8287,8287,40,KBS
2020-10-13 07:00:00,8859,8859,8859,8859,110,KBS
2020-10-15 07:00:00,9573,9573,9573,9573,100,KBS
2020-10-16 07:00:00,8859,8859,8859,8859,1200,KBS
2020-10-19 07:00:00,8073,8859,8073,8859,1000,KBS
2020-10-20 07:00:00,8073,8073,8001,8001,3816,KBS
2020-10-23 07:00:00,9430,9430,7859,8073,2676,KBS
2020-10-26 07:00:00,8144,8144,8144,8144,1000,KBS
2020-10-27 07:00:00,7573,8001,7501,8001,5227,KBS
2020-10-28 07:00:00,8001,8216,8001,8001,2900,KBS
2020-10-29 07:00:00,7501,8001,7501,8001,2200,KBS
2020-10-30 07:00:00,7573,7787,7573,7787,3401,KBS
2020-11-03 07:00:00,7930,7930,7930,7930,2600,KBS
2020-11-04 07:00:00,7859,7859,7859,7859,700,KBS
2020-11-06 07:00:00,7859,7859,7859,7859,200,KBS
2020-11-09 07:00:00,7501,7859,7501,7859,1500,KBS
