date,open,high,low,close,volume,_source
2020-01-02 07:00:00,48163,49734,48163,48846,248413,KBS
2020-01-03 07:00:00,48914,48914,45772,46455,268809,KBS
2020-01-06 07:00:00,46455,46455,44405,44747,339032,KBS
2020-01-07 07:00:00,45088,45703,44474,45635,222489,KBS
2020-01-08 07:00:00,45088,46181,44132,45976,438660,KBS
2020-01-09 07:00:00,46045,46933,45976,45976,176423,KBS
2020-01-10 07:00:00,46113,46181,45020,45088,197675,KBS
2020-01-13 07:00:00,45020,45225,44405,44405,144544,KBS
2020-01-14 07:00:00,44815,44883,43380,43449,204558,KBS
2020-01-15 07:00:00,43585,45635,42834,45635,485344,KBS
2020-01-16 07:00:00,45635,46318,45362,46045,237238,KBS
2020-01-17 07:00:00,46045,46591,45567,46113,192337,KBS
2020-01-20 07:00:00,46045,46113,45020,45020,158634,KBS
2020-01-21 07:00:00,45362,46728,44952,46113,250586,KBS
2020-01-22 07:00:00,46181,47138,45635,47138,176439,KBS
2020-01-30 07:00:00,47138,47138,42424,46318,249480,KBS
2020-01-31 07:00:00,45498,46318,44747,44747,227875,KBS
2020-02-03 07:00:00,44405,44610,42219,44064,481780,KBS
2020-02-04 07:00:00,43722,44474,42766,43176,159220,KBS
2020-02-05 07:00:00,43449,44405,43449,44269,180810,KBS
2020-02-06 07:00:00,44269,46113,44269,46113,265856,KBS
2020-02-07 07:00:00,46455,50417,45567,49051,547036,KBS
2020-02-10 07:00:00,48982,50417,47548,50280,362442,KBS
2020-02-11 07:00:00,50280,50895,45430,49666,220124,KBS
2020-02-12 07:00:00,49734,51373,49529,49939,245187,KBS
2020-02-13 07:00:00,50280,52535,49529,51647,481918,KBS
2020-02-14 07:00:00,51647,52603,51373,51988,242507,KBS
2020-02-17 07:00:00,51988,52193,50759,51237,195090,KBS
2020-02-18 07:00:00,51100,53423,50759,52603,305944,KBS
2020-02-19 07:00:00,52740,53013,51647,51920,111569,KBS
2020-02-20 07:00:00,52398,52740,51783,51988,178870,KBS
2020-02-21 07:00:00,52620,52620,51006,51146,160490,KBS
2020-02-24 07:00:00,50515,50515,46305,46305,555619,KBS
2020-02-25 07:00:00,45604,48270,44692,47709,270055,KBS
2020-02-26 07:00:00,46305,52479,45955,47007,158130,KBS
2020-02-27 07:00:00,46937,48340,46516,48270,137548,KBS
2020-02-28 07:00:00,47709,47919,46656,47077,289020,KBS
2020-03-02 07:00:00,47007,47919,46937,47288,201237,KBS
2020-03-03 07:00:00,48410,51988,47428,47568,126298,KBS
2020-03-04 07:00:00,47358,47498,46726,47147,166573,KBS
2020-03-05 07:00:00,47709,48691,47288,47709,330171,KBS
2020-03-06 07:00:00,47358,47498,47007,47498,148326,KBS
2020-03-09 07:00:00,46305,46305,42797,42797,529759,KBS
2020-03-10 07:00:00,40763,44622,38518,44130,328497,KBS
2020-03-11 07:00:00,44481,44692,40342,42096,371609,KBS
2020-03-12 07:00:00,40693,41745,37886,37886,844692,KBS
2020-03-13 07:00:00,37886,38588,34098,37816,981255,KBS
2020-03-16 07:00:00,37255,37746,35501,37535,530943,KBS
2020-03-17 07:00:00,36343,37816,35080,37816,395918,KBS
