date,open,high,low,close,volume,_source
2020-01-06 07:00:00,8000,8000,8000,8000,100,KBS
2020-01-09 07:00:00,8000,8500,8000,8500,1200,KBS
2020-01-10 07:00:00,8800,9000,8800,9000,1500,KBS
2020-01-17 07:00:00,8100,9100,8100,9100,2300,KBS
2020-01-30 07:00:00,8800,8800,8800,8800,800,KBS
2020-02-04 07:00:00,8600,8600,8600,8600,1000,KBS
2020-02-11 07:00:00,8800,8800,8000,8000,600,KBS
2020-02-13 07:00:00,8500,8500,8500,8500,800,KBS
2020-02-18 07:00:00,8300,8600,8300,8600,1000,KBS
2020-02-24 07:00:00,8800,8800,8800,8800,500,KBS
2020-03-02 07:00:00,9000,9000,9000,9000,300,KBS
2020-03-11 07:00:00,8900,9000,8900,9000,1000,KBS
2020-03-24 07:00:00,9000,9000,8900,8900,1600,KBS
2020-04-20 07:00:00,8700,8800,8700,8800,2000,KBS
2020-05-04 07:00:00,8000,8000,8000,8000,100,KBS
2020-05-12 07:00:00,7500,7500,7500,7500,32300,KBS
2020-05-21 07:00:00,7600,7600,7600,7600,600,KBS
2020-10-19 07:00:00,7600,7600,7600,7600,200,KBS
2020-12-08 07:00:00,6900,6900,6900,6900,600,KBS
2020-12-10 07:00:00,6300,6300,6300,6300,100,KBS
2020-12-11 07:00:00,5700,5700,5700,5700,500,KBS
2020-12-14 07:00:00,5200,5200,5200,5200,500,KBS
2020-12-16 07:00:00,4700,4700,4700,4700,900,KBS
2020-12-17 07:00:00,4300,4300,4300,4300,1811,KBS
2020-12-18 07:00:00,4200,4300,4200,4200,22700,KBS
2020-12-21 07:00:00,4100,4100,4100,4100,123200,KBS
2020-12-23 07:00:00,4300,4300,4300,4300,300,KBS
2020-12-24 07:00:00,4700,4700,4700,4700,300,KBS
2020-12-25 07:00:00,5100,5100,5100,5100,828,KBS
2020-12-28 07:00:00,4700,4700,4600,4600,1200,KBS
2020-12-30 07:00:00,4600,4600,4600,4600,2,KBS
2021-01-07 07:00:00,4500,5000,4500,5000,1300,KBS
2021-01-08 07:00:00,4600,4900,4600,4900,1000,KBS
2021-01-11 07:00:00,4600,5200,4500,4500,58328,KBS
2021-01-12 07:00:00,4200,4900,4100,4900,285900,KBS
2021-01-13 07:00:00,5300,5300,5300,5300,3000,KBS
2021-01-14 07:00:00,4800,4800,4800,4800,5001,KBS
2021-01-15 07:00:00,4400,4800,4400,4700,143050,KBS
2021-01-18 07:00:00,4600,4700,4400,4600,27750,KBS
2021-01-19 07:00:00,4400,4600,4300,4600,17710,KBS
2021-01-20 07:00:00,4300,4600,4300,4600,5418,KBS
2021-01-21 07:00:00,4500,4600,4500,4600,3700,KBS
2021-01-22 07:00:00,4600,4600,4500,4500,1700,KBS
2021-01-25 07:00:00,4500,4500,4300,4300,7600,KBS
2021-01-26 07:00:00,4200,4200,4200,4200,900,KBS
2021-01-27 07:00:00,4100,4400,4100,4400,4700,KBS
2021-01-28 07:00:00,4100,4100,4100,4100,8000,KBS
2021-01-29 07:00:00,4100,4100,4100,4100,5100,KBS
2021-02-01 07:00:00,4100,4100,3900,3900,3000,KBS
2021-02-02 07:00:00,3800,3800,3700,3800,5400,KBS
2021-02-03 07:00:00,3800,3800,3800,3800,2000,KBS
