date,open,high,low,close,volume,_source
2020-01-02 07:00:00,19778,20928,19778,20928,4850,KBS
2020-01-08 07:00:00,21478,21478,21478,21478,10,KBS
2020-01-09 07:00:00,20503,21503,20003,21503,6850,KBS
2020-01-13 07:00:00,20503,20978,20503,20978,70,KBS
2020-01-14 07:00:00,20503,20953,20503,20953,1010,KBS
2020-01-15 07:00:00,21453,21453,20003,21403,6520,KBS
2020-01-17 07:00:00,20003,21403,20003,21403,1010,KBS
2020-01-21 07:00:00,20728,20753,20028,20353,15380,KBS
2020-01-22 07:00:00,20503,20953,20503,20953,3880,KBS
2020-01-30 07:00:00,20878,21003,20278,20953,17270,KBS
2020-01-31 07:00:00,20503,20503,20503,20503,10,KBS
2020-02-03 07:00:00,20753,20753,20253,20503,17020,KBS
2020-02-04 07:00:00,20028,20803,20003,20803,5040,KBS
2020-02-06 07:00:00,21003,21003,21003,21003,13540,KBS
2020-02-07 07:00:00,19553,20753,19553,20553,30,KBS
2020-02-10 07:00:00,19303,20928,19303,20753,3030,KBS
2020-02-11 07:00:00,20503,21153,20503,21153,34140,KBS
2020-02-12 07:00:00,20603,21953,20603,20753,4630,KBS
2020-02-14 07:00:00,21317,21522,21317,21522,2500,KBS
2020-02-17 07:00:00,20138,21522,20138,21112,3650,KBS
2020-02-18 07:00:00,20599,21522,20599,21522,9030,KBS
2020-02-19 07:00:00,20548,21317,20548,21317,310,KBS
2020-02-20 07:00:00,21317,21317,21317,21317,5000,KBS
2020-02-21 07:00:00,21009,21009,20753,20753,10000,KBS
2020-02-25 07:00:00,21496,21522,21265,21522,11300,KBS
2020-02-26 07:00:00,20317,21727,20317,20548,4610,KBS
2020-02-27 07:00:00,21778,21778,19267,21778,32480,KBS
2020-02-28 07:00:00,21931,21931,21931,21931,5000,KBS
2020-03-02 07:00:00,21573,22034,20625,21522,50800,KBS
2020-03-03 07:00:00,21880,21931,21317,21317,14120,KBS
2020-03-04 07:00:00,21470,22495,21470,21522,17350,KBS
2020-03-05 07:00:00,22495,22495,21009,21522,4710,KBS
2020-03-06 07:00:00,21522,21522,21522,21522,110,KBS
2020-03-09 07:00:00,20292,21573,20292,21573,23910,KBS
2020-03-10 07:00:00,21573,21675,21470,21522,15150,KBS
2020-03-11 07:00:00,21522,21778,21522,21778,10130,KBS
2020-03-12 07:00:00,21727,21727,21419,21419,210,KBS
2020-03-13 07:00:00,21240,21240,20676,20676,30,KBS
2020-03-16 07:00:00,20676,20676,20676,20676,2460,KBS
2020-03-17 07:00:00,20676,21009,20676,21009,290,KBS
2020-03-18 07:00:00,21009,21368,21009,21368,50,KBS
2020-03-19 07:00:00,20650,21214,19984,21214,190,KBS
2020-03-20 07:00:00,21214,21214,20497,21163,5050,KBS
2020-03-23 07:00:00,21163,21163,20036,20497,5550,KBS
2020-03-24 07:00:00,20497,21009,20241,20497,5840,KBS
2020-03-25 07:00:00,20036,20753,19984,20061,4030,KBS
2020-03-26 07:00:00,20112,20753,19472,19472,3640,KBS
2020-03-27 07:00:00,19472,20471,19472,19498,2190,KBS
2020-03-30 07:00:00,20420,20420,19472,19677,16370,KBS
2020-03-31 07:00:00,19011,20445,18985,19831,6310,KBS
2020-04-01 07:00:00,19831,19984,19831,19984,15020,KBS
2020-04-03 07:00:00,20497,20497,18985,19984,8320,KBS
2020-04-06 07:00:00,19984,20189,19984,19984,1290,KBS
2020-04-07 07:00:00,19728,20087,19728,19728,40,KBS
2020-04-08 07:00:00,20471,20471,18985,19831,1140,KBS
2020-04-09 07:00:00,20497,20497,19216,19216,50,KBS
2020-04-10 07:00:00,19216,19882,19216,19882,30,KBS
2020-04-13 07:00:00,19959,19959,19062,19062,4020,KBS
2020-04-14 07:00:00,19728,20241,19728,20241,19360,KBS
2020-04-15 07:00:00,20241,20241,19472,19472,610,KBS
2020-04-16 07:00:00,20497,20497,20087,20087,1040,KBS
2020-04-17 07:00:00,20497,20497,19498,20189,6170,KBS
2020-04-20 07:00:00,20138,20138,20036,20138,2170,KBS
2020-04-21 07:00:00,20087,20087,19549,19728,1050,KBS
2020-04-22 07:00:00,20061,20061,20061,20061,900,KBS
2020-04-23 07:00:00,20061,20061,19011,19011,20,KBS
2020-04-24 07:00:00,20215,20215,19933,19933,560,KBS
2020-04-27 07:00:00,19472,19959,19472,19574,3860,KBS
2020-04-28 07:00:00,20369,20369,19472,19472,10220,KBS
2020-04-29 07:00:00,20189,20189,20189,20189,10,KBS
2020-05-04 07:00:00,19472,19472,19472,19472,20,KBS
2020-05-05 07:00:00,20445,20445,18140,18140,50,KBS
2020-05-06 07:00:00,19395,19395,19395,19395,30,KBS
2020-05-07 07:00:00,20189,20189,19241,19241,20,KBS
2020-05-11 07:00:00,19011,19011,19011,19011,10,KBS
2020-05-12 07:00:00,19113,19113,19113,19113,10190,KBS
2020-05-13 07:00:00,19984,20241,19113,19113,10630,KBS
2020-05-14 07:00:00,19113,19113,19113,19113,10,KBS
2020-05-15 07:00:00,20112,20112,19164,19164,20,KBS
2020-05-18 07:00:00,19779,20036,19779,20036,2240,KBS
2020-05-19 07:00:00,19984,19984,19984,19984,50,KBS
2020-05-20 07:00:00,19882,21009,19779,20497,11950,KBS
2020-05-21 07:00:00,20241,20241,20241,20241,400,KBS
2020-05-22 07:00:00,20241,20241,19984,19984,780,KBS
2020-05-25 07:00:00,20087,20087,19984,19984,1120,KBS
2020-05-26 07:00:00,19984,19984,19728,19728,5300,KBS
2020-05-27 07:00:00,19882,19882,19882,19882,200,KBS
2020-05-29 07:00:00,19984,19984,19984,19984,500,KBS
2020-06-01 07:00:00,19984,20087,19574,19600,260,KBS
2020-06-02 07:00:00,20138,20189,19600,19600,2380,KBS
2020-06-03 07:00:00,19600,20087,19600,20087,30,KBS
2020-06-04 07:00:00,20087,20087,19907,19907,730,KBS
2020-06-05 07:00:00,19907,19907,19907,19907,10,KBS
2020-06-08 07:00:00,19574,19574,19574,19574,120,KBS
2020-06-09 07:00:00,19626,19626,19626,19626,10,KBS
2020-06-11 07:00:00,19574,19574,19472,19472,540,KBS
2020-06-12 07:00:00,19267,19267,19267,19267,300,KBS
2020-06-15 07:00:00,19267,19267,19267,19267,60,KBS
2020-06-16 07:00:00,19318,19318,19318,19318,100,KBS
2020-06-17 07:00:00,18011,19318,18011,19318,70,KBS
2020-06-19 07:00:00,18703,18703,18703,18703,10,KBS
2020-06-22 07:00:00,18703,19574,18703,18754,90,KBS
2020-06-23 07:00:00,19523,19984,19523,19984,310,KBS
2020-06-24 07:00:00,18729,20497,18729,19984,550,KBS
2020-06-26 07:00:00,18754,18754,18754,18754,10,KBS
2020-06-29 07:00:00,19984,19984,18831,18831,470,KBS
