date,open,high,low,close,volume,_source
2020-02-12 07:00:00,21592,21592,17807,17807,1400,KBS
2020-02-17 07:00:00,16173,16173,16087,16087,300,KBS
2020-02-21 07:00:00,14624,14624,14624,14624,300,KBS
2020-02-24 07:00:00,13334,13334,13248,13248,2600,KBS
2020-02-25 07:00:00,12302,12302,12044,12044,500,KBS
2020-02-27 07:00:00,11011,11011,11011,11011,300,KBS
2020-02-28 07:00:00,11958,11958,11958,11958,2000,KBS
2020-03-03 07:00:00,12044,12044,12044,12044,500,KBS
2020-03-04 07:00:00,11011,11011,11011,11011,100,KBS
2020-03-09 07:00:00,11958,11958,11958,11958,100,KBS
2020-03-11 07:00:00,12818,12818,12818,12818,100,KBS
2020-03-13 07:00:00,14022,14022,14022,14022,100,KBS
2020-03-17 07:00:00,12646,12646,12646,12646,200,KBS
2020-03-24 07:00:00,12646,12646,12646,12646,7,KBS
2020-03-25 07:00:00,12646,12646,12646,12646,100,KBS
2020-03-30 07:00:00,11613,11613,11613,11613,100,KBS
2020-03-31 07:00:00,12474,12474,12474,12474,185,KBS
2020-04-06 07:00:00,13506,13506,13506,13506,100,KBS
2020-04-09 07:00:00,12216,12216,12216,12216,100,KBS
2020-04-13 07:00:00,12216,12216,12216,12216,6,KBS
2020-04-14 07:00:00,12818,12818,11097,11097,200,KBS
2020-04-15 07:00:00,11183,11183,11183,11183,500,KBS
2020-04-16 07:00:00,10237,12130,10237,12130,2700,KBS
2020-04-17 07:00:00,11183,11183,11011,11011,3200,KBS
2020-04-21 07:00:00,11183,11183,11183,11183,200,KBS
2020-04-23 07:00:00,11183,11183,11183,11183,100,KBS
2020-04-24 07:00:00,10237,11097,10237,11097,441,KBS
2020-04-27 07:00:00,10237,10237,10237,10237,276,KBS
2020-04-28 07:00:00,11097,11183,11097,11183,3300,KBS
2020-05-05 07:00:00,10323,10323,10323,10323,2600,KBS
2020-05-06 07:00:00,11011,11011,9549,9549,4000,KBS
2020-05-07 07:00:00,9635,9635,9635,9635,2273,KBS
2020-05-08 07:00:00,9549,9549,9463,9463,5633,KBS
2020-05-11 07:00:00,9463,9463,9463,9463,2500,KBS
2020-05-12 07:00:00,9463,10237,9463,10151,2900,KBS
2020-05-13 07:00:00,9463,10151,9463,10151,630,KBS
2020-05-14 07:00:00,10151,10151,9893,10151,906,KBS
2020-05-15 07:00:00,9893,9893,9893,9893,500,KBS
2020-05-18 07:00:00,9893,9893,9463,9463,3430,KBS
2020-05-19 07:00:00,9549,9549,9463,9463,3300,KBS
2020-05-20 07:00:00,9463,9463,9463,9463,30,KBS
2020-05-21 07:00:00,9463,9463,9291,9291,2800,KBS
2020-05-22 07:00:00,9377,9463,9377,9463,2000,KBS
2020-05-26 07:00:00,9463,9463,9463,9463,1100,KBS
2020-05-28 07:00:00,10323,10323,10065,10065,600,KBS
2020-06-01 07:00:00,9807,9807,9807,9807,100,KBS
2020-06-03 07:00:00,9463,9721,9463,9721,1405,KBS
2020-06-10 07:00:00,9119,9119,9119,9119,200,KBS
2020-06-15 07:00:00,9119,9119,9119,9119,2000,KBS
2020-06-16 07:00:00,9119,9119,9119,9119,1000,KBS
2020-06-17 07:00:00,9119,9119,9119,9119,50,KBS
2020-06-22 07:00:00,9119,9291,9119,9119,5000,KBS
2020-06-23 07:00:00,9119,9205,9119,9119,11000,KBS
2020-06-24 07:00:00,9119,9119,9119,9119,2000,KBS
2020-07-02 07:00:00,9807,9807,9807,9807,100,KBS
2020-07-07 07:00:00,8947,9463,8947,9463,1000,KBS
2020-07-08 07:00:00,9463,9463,9463,9463,6,KBS
2020-07-16 07:00:00,8689,8689,8689,8689,233,KBS
2020-07-17 07:00:00,8689,8689,8689,8689,300,KBS
2020-07-21 07:00:00,8689,8689,8689,8689,900,KBS
2020-07-23 07:00:00,8172,8172,8172,8172,2052,KBS
