date,open,high,low,close,volume,_source
2020-01-02 07:00:00,6500,7400,6500,7400,48100,KBS
2020-01-03 07:00:00,8300,8300,7800,8300,46100,KBS
2020-01-06 07:00:00,8000,9300,8000,7500,58700,KBS
2020-01-07 07:00:00,7600,8200,7500,7500,11200,KBS
2020-01-08 07:00:00,7000,7000,6400,6400,29400,KBS
2020-01-09 07:00:00,6400,7000,6400,7000,5400,KBS
2020-01-10 07:00:00,7000,7000,6400,6400,1600,KBS
2020-01-13 07:00:00,5700,7300,5700,5700,16000,KBS
2020-01-14 07:00:00,6700,6700,6000,6000,1400,KBS
2020-01-15 07:00:00,6100,6100,6000,6000,500,KBS
2020-01-16 07:00:00,6000,6400,6000,6400,1800,KBS
2020-01-17 07:00:00,6200,6400,6200,6200,17700,KBS
2020-01-20 07:00:00,6200,6200,6000,6000,1400,KBS
2020-01-21 07:00:00,6600,6600,6600,6600,3200,KBS
2020-01-22 07:00:00,6500,6500,6500,6400,300,KBS
2020-01-30 07:00:00,6400,6400,6400,6400,4800,KBS
2020-01-31 07:00:00,6300,6300,5900,5900,3800,KBS
2020-02-03 07:00:00,5800,6000,5600,6000,8600,KBS
2020-02-04 07:00:00,5800,5800,5600,5800,2000,KBS
2020-02-05 07:00:00,5800,6200,5700,6200,2200,KBS
2020-02-06 07:00:00,5800,5900,5800,5900,3100,KBS
2020-02-07 07:00:00,5800,6000,5800,6000,1600,KBS
2020-02-10 07:00:00,6000,6000,6000,6000,100,KBS
2020-02-12 07:00:00,5800,6000,5800,6000,6900,KBS
2020-02-13 07:00:00,6000,6000,6000,6000,1800,KBS
2020-02-17 07:00:00,5900,5900,5900,5900,2800,KBS
2020-02-19 07:00:00,5800,5800,5800,5800,5000,KBS
2020-02-20 07:00:00,5800,6000,5800,6000,600,KBS
2020-02-21 07:00:00,5900,6000,5900,5900,800,KBS
2020-02-24 07:00:00,5900,5900,5900,5900,1500,KBS
2020-02-25 07:00:00,5700,5700,5700,5700,1500,KBS
2020-02-26 07:00:00,6000,6000,6000,6000,100,KBS
2020-02-27 07:00:00,6000,6200,6000,6200,5000,KBS
2020-03-02 07:00:00,6500,6500,6500,6500,2000,KBS
2020-03-03 07:00:00,6000,6000,5700,6000,13000,KBS
2020-03-04 07:00:00,5900,5900,5900,5900,1000,KBS
2020-03-06 07:00:00,5900,6000,5600,5600,3700,KBS
2020-03-09 07:00:00,5800,5800,5200,5200,2500,KBS
2020-03-10 07:00:00,4700,5200,4700,5200,13000,KBS
2020-03-11 07:00:00,5600,5600,4800,4900,9700,KBS
2020-03-12 07:00:00,5000,5000,4500,4500,21600,KBS
2020-03-13 07:00:00,4500,4600,4100,4600,4000,KBS
2020-03-16 07:00:00,4800,4800,4600,4600,3500,KBS
2020-03-17 07:00:00,4500,5500,4500,5200,5200,KBS
2020-03-18 07:00:00,4500,5000,4300,5000,48200,KBS
2020-03-19 07:00:00,4900,5000,4800,5000,19700,KBS
2020-03-20 07:00:00,5000,5000,4900,4900,15500,KBS
2020-03-23 07:00:00,4500,4500,4500,4500,2000,KBS
2020-03-24 07:00:00,4800,4800,4500,4500,3600,KBS
2020-03-25 07:00:00,4800,4800,4500,4500,2700,KBS
2020-03-26 07:00:00,4900,4900,4900,4900,4000,KBS
2020-03-27 07:00:00,5300,5300,5300,5300,3500,KBS
2020-03-30 07:00:00,4600,4600,4600,4600,4100,KBS
2020-04-01 07:00:00,4900,4900,4900,4900,4000,KBS
2020-04-06 07:00:00,4300,4500,4300,4500,4000,KBS
2020-04-07 07:00:00,4700,4700,4700,4700,2500,KBS
2020-04-13 07:00:00,4900,4900,4500,4500,6000,KBS
2020-04-16 07:00:00,4500,4500,4500,4500,1000,KBS
2020-04-17 07:00:00,4500,4600,4500,4600,3200,KBS
2020-04-20 07:00:00,4700,4700,4700,4700,100,KBS
2020-04-23 07:00:00,4100,4700,4100,4700,16600,KBS
2020-04-24 07:00:00,4700,4700,4700,4700,200,KBS
2020-04-27 07:00:00,4500,4700,4500,4500,37600,KBS
2020-04-28 07:00:00,4400,4400,4400,4400,51500,KBS
2020-04-29 07:00:00,4800,4800,4800,4800,100,KBS
2020-05-05 07:00:00,4800,4800,4800,4800,500,KBS
2020-05-06 07:00:00,4400,4400,4400,4400,7500,KBS
2020-05-07 07:00:00,4600,4600,4600,4600,700,KBS
2020-05-12 07:00:00,4700,4700,4700,4700,200,KBS
2020-05-14 07:00:00,4400,4400,4400,4400,1200,KBS
2020-05-15 07:00:00,4700,4700,4700,4700,400,KBS
2020-05-26 07:00:00,4400,4400,4400,4400,1600,KBS
2020-05-27 07:00:00,4700,4700,4400,4400,19500,KBS
2020-05-28 07:00:00,4100,4100,3800,3800,20000,KBS
2020-05-29 07:00:00,4100,4100,4100,4100,100,KBS
2020-06-04 07:00:00,4000,4100,4000,4100,8900,KBS
2020-06-05 07:00:00,4000,4000,4000,4000,5000,KBS
2020-06-08 07:00:00,4100,4100,4000,4000,99100,KBS
2020-06-11 07:00:00,4100,4100,4100,4100,100,KBS
2020-06-12 07:00:00,4100,4100,4100,4100,300,KBS
2020-06-19 07:00:00,4300,4300,4300,4300,100,KBS
2020-06-22 07:00:00,4300,4400,4300,4400,1900,KBS
2020-06-29 07:00:00,4300,4300,4300,4300,5000,KBS
2020-07-07 07:00:00,4100,4100,4100,4100,5000,KBS
2020-07-08 07:00:00,4500,4500,4500,4500,3000,KBS
2020-07-10 07:00:00,4800,4800,4800,4800,2000,KBS
2020-07-14 07:00:00,4500,4500,4500,4500,100,KBS
2020-07-16 07:00:00,4500,4500,4500,4500,100,KBS
2020-07-17 07:00:00,4400,4500,4400,4500,2100,KBS
2020-07-22 07:00:00,4400,4500,4400,4500,1100,KBS
2020-07-23 07:00:00,4600,4600,4600,4600,100,KBS
2020-07-30 07:00:00,4700,4700,4700,4700,100,KBS
2020-08-12 07:00:00,4700,4700,4700,4700,5800,KBS
2020-08-13 07:00:00,4900,4900,4900,4900,200,KBS
2020-08-14 07:00:00,5000,5000,5000,5000,100,KBS
2020-08-17 07:00:00,5000,5000,5000,5000,7500,KBS
2020-08-19 07:00:00,5300,5400,5300,5400,300,KBS
2020-08-20 07:00:00,5400,5500,5000,5400,3300,KBS
2020-08-21 07:00:00,5500,5500,5500,5500,100,KBS
2020-08-24 07:00:00,5800,6200,5800,6200,200,KBS
2020-08-25 07:00:00,5100,6200,5100,6200,600,KBS
2020-08-26 07:00:00,6000,6000,6000,6000,1100,KBS
2020-08-27 07:00:00,6200,6200,6200,6200,100,KBS
2020-09-04 07:00:00,5300,5300,5300,5300,500,KBS
2020-09-07 07:00:00,4800,4800,4700,4700,800,KBS
2020-09-09 07:00:00,5300,5300,5300,5300,700,KBS
2020-09-10 07:00:00,5600,5600,5600,5600,500,KBS
2020-09-11 07:00:00,5000,5000,5000,5000,6000,KBS
2020-09-14 07:00:00,5100,5100,5100,5100,100,KBS
2020-09-16 07:00:00,5500,5500,5500,5500,500,KBS
2020-09-18 07:00:00,4900,5000,4900,5000,2000,KBS
2020-09-21 07:00:00,5600,5600,5600,5600,1000,KBS
2020-09-22 07:00:00,6300,6300,6100,6100,1600,KBS
2020-09-24 07:00:00,6200,6200,6100,6100,17000,KBS
2020-09-28 07:00:00,6100,6100,5500,5500,200,KBS
2020-09-29 07:00:00,6600,6600,5500,5500,800,KBS
2020-09-30 07:00:00,5500,5500,5500,5500,500,KBS
2020-10-05 07:00:00,6200,6200,6200,6200,1000,KBS
2020-10-07 07:00:00,5300,5300,5300,5300,100,KBS
2020-10-08 07:00:00,5700,5700,5700,5700,100,KBS
2020-10-09 07:00:00,5900,5900,5900,5900,100,KBS
2020-10-28 07:00:00,6600,6600,6600,6600,500,KBS
2020-11-16 07:00:00,5700,5700,5700,5700,100,KBS
2020-11-18 07:00:00,4900,4900,4900,4900,3000,KBS
2020-11-26 07:00:00,5500,5600,5500,5600,8100,KBS
2020-12-03 07:00:00,6300,6300,6300,6300,200,KBS
2020-12-10 07:00:00,6000,6300,6000,6300,1600,KBS
2020-12-21 07:00:00,5300,5300,5300,5300,200,KBS
2020-12-22 07:00:00,5000,5000,4600,4600,7800,KBS
2020-12-23 07:00:00,4200,5400,4200,5400,2900,KBS
2020-12-24 07:00:00,5200,5200,5000,5000,400,KBS
2020-12-25 07:00:00,5400,5400,5400,5400,100,KBS
2020-12-28 07:00:00,5000,5400,5000,5400,9300,KBS
2020-12-29 07:00:00,5200,5300,5200,5300,73300,KBS
2020-12-30 07:00:00,5300,5300,5300,5300,22000,KBS
2020-12-31 07:00:00,5300,5600,5300,5600,200,KBS
2021-01-07 07:00:00,5600,5600,5500,5600,2100,KBS
2021-01-13 07:00:00,5000,6000,5000,5600,1200,KBS
2021-01-14 07:00:00,5600,5600,5600,5600,200,KBS
2021-01-15 07:00:00,5600,5600,5600,5600,3100,KBS
2021-01-18 07:00:00,4900,5700,4800,5600,12500,KBS
2021-01-19 07:00:00,5600,5600,5300,5300,900,KBS
2021-01-20 07:00:00,6300,6300,4800,4800,1700,KBS
2021-01-21 07:00:00,4800,4800,4800,4800,29000,KBS
2021-01-25 07:00:00,5200,5200,5200,5200,7300,KBS
2021-01-27 07:00:00,5100,5200,4700,4700,8900,KBS
2021-01-28 07:00:00,4500,4500,4400,4400,5000,KBS
2021-01-29 07:00:00,5000,5000,5000,5000,6100,KBS
2021-02-01 07:00:00,4500,5300,4300,4700,12100,KBS
