date,open,high,low,close,volume,_source
2020-01-02 07:00:00,51061,51105,50661,51105,440280,KBS
2020-01-03 07:00:00,51105,51239,50794,51239,248940,KBS
2020-01-06 07:00:00,51105,51105,50839,50883,301910,KBS
2020-01-07 07:00:00,50883,51105,50794,50972,183910,KBS
2020-01-08 07:00:00,50883,50972,50483,50794,468910,KBS
2020-01-09 07:00:00,50794,51150,50750,50972,273870,KBS
2020-01-10 07:00:00,51105,51105,50972,51016,159120,KBS
2020-01-13 07:00:00,50972,51150,50883,51061,146680,KBS
2020-01-14 07:00:00,51061,51150,50794,51105,101150,KBS
2020-01-15 07:00:00,51105,51105,50794,51105,205600,KBS
2020-01-16 07:00:00,51105,51150,50794,51105,186740,KBS
2020-01-17 07:00:00,51061,51150,50839,51061,169100,KBS
2020-01-20 07:00:00,51061,51061,50794,51061,370670,KBS
2020-01-21 07:00:00,50794,51105,50794,51061,181510,KBS
2020-01-22 07:00:00,51061,51061,50750,51061,371780,KBS
2020-01-30 07:00:00,50705,51061,49817,51061,682720,KBS
2020-01-31 07:00:00,51061,51061,50483,51016,831740,KBS
2020-02-03 07:00:00,50572,51016,49905,51016,760420,KBS
2020-02-04 07:00:00,50483,51016,49683,51016,1485500,KBS
2020-02-05 07:00:00,51016,51016,50217,50883,468420,KBS
2020-02-06 07:00:00,50839,50972,50128,50839,676290,KBS
2020-02-07 07:00:00,50661,50839,49772,50839,1295520,KBS
2020-02-10 07:00:00,50217,50705,50217,50528,192700,KBS
2020-02-11 07:00:00,50439,50750,50217,50394,290630,KBS
2020-02-12 07:00:00,50394,50394,49772,49772,452790,KBS
2020-02-13 07:00:00,49550,50083,49505,49950,285340,KBS
2020-02-14 07:00:00,49905,50039,48883,48883,252390,KBS
2020-02-17 07:00:00,48883,48883,46661,47995,742220,KBS
2020-02-18 07:00:00,47550,47550,46217,46439,791870,KBS
2020-02-19 07:00:00,45995,47550,45995,46661,875320,KBS
2020-02-20 07:00:00,47106,48883,46661,48883,353570,KBS
2020-02-21 07:00:00,48261,48883,47906,48839,309060,KBS
2020-02-24 07:00:00,47595,47995,46884,47683,1428650,KBS
2020-02-25 07:00:00,47417,47683,47061,47550,543820,KBS
2020-02-26 07:00:00,46217,47372,46217,47061,625410,KBS
2020-02-27 07:00:00,47017,47106,46261,46928,740420,KBS
2020-02-28 07:00:00,46661,46839,45773,46839,870840,KBS
2020-03-02 07:00:00,46217,46839,45639,46839,742130,KBS
2020-03-03 07:00:00,46706,46928,46439,46884,557950,KBS
2020-03-04 07:00:00,46484,46884,45995,46884,443810,KBS
