date,open,high,low,close,volume,_source
2021-07-02 07:00:00,800,800,800,800,759200,KBS
2021-07-09 07:00:00,900,900,900,900,63700,KBS
2021-07-16 07:00:00,1000,1000,1000,1000,71503,KBS
2021-07-23 07:00:00,1100,1100,1000,1100,1443601,KBS
2021-07-30 07:00:00,1200,1200,1000,1000,641806,KBS
2021-08-06 07:00:00,1000,1000,900,900,448400,KBS
2021-08-13 07:00:00,800,900,800,900,350400,KBS
2021-08-20 07:00:00,800,900,700,900,291400,KBS
2021-08-27 07:00:00,900,900,800,900,39800,KBS
2021-09-10 07:00:00,800,900,800,900,393405,KBS
2021-09-17 07:00:00,1000,1000,1000,1000,431800,KBS
2021-09-24 07:00:00,1100,1100,1100,1100,615800,KBS
2021-10-01 07:00:00,1200,1200,1200,1200,100215,KBS
2021-10-08 07:00:00,1300,1300,1300,1300,24000,KBS
2021-10-15 07:00:00,1400,1400,1400,1400,10000,KBS
2021-10-22 07:00:00,1600,1600,1600,1600,40100,KBS
2021-10-29 07:00:00,1800,1800,1800,1800,10700,KBS
2021-11-05 07:00:00,2000,2000,2000,2000,84100,KBS
2021-11-12 07:00:00,2300,2300,2300,2300,274802,KBS
2021-11-19 07:00:00,2600,2600,2500,2600,979900,KBS
2021-11-26 07:00:00,2900,2900,2800,2900,359710,KBS
2021-12-03 07:00:00,3300,3300,3300,3300,294030,KBS
2021-12-10 07:00:00,3700,3700,3300,3500,1922809,KBS
2021-12-17 07:00:00,3700,3700,3100,3300,1245604,KBS
2021-12-24 07:00:00,3300,3300,2900,2900,1085745,KBS
2021-12-31 07:00:00,2900,2900,2500,2600,679145,KBS
2022-01-07 07:00:00,2700,3100,2700,3100,666600,KBS
2022-01-14 07:00:00,2900,3000,2600,2600,657900,KBS
2022-01-21 07:00:00,2900,2900,2500,2500,335643,KBS
2022-01-28 07:00:00,2500,2500,2300,2300,273600,KBS
2022-02-11 07:00:00,2300,2400,2100,2300,241943,KBS
2022-02-18 07:00:00,2200,2400,2200,2400,130143,KBS
2022-02-25 07:00:00,2500,2500,2200,2300,172700,KBS
2022-03-04 07:00:00,2300,2400,2200,2400,366700,KBS
2022-03-11 07:00:00,2400,2600,2400,2600,909200,KBS
2022-03-18 07:00:00,2700,2700,2400,2500,336043,KBS
2022-03-25 07:00:00,2700,2700,2400,2500,310676,KBS
2022-04-01 07:00:00,2400,2500,2300,2300,166800,KBS
2022-04-08 07:00:00,2200,2400,2100,2100,148600,KBS
2022-04-15 07:00:00,2100,2100,1800,1900,123100,KBS
2022-04-22 07:00:00,1700,1700,1700,1700,154500,KBS
2022-04-29 07:00:00,1500,1900,1500,1900,197800,KBS
2022-05-06 07:00:00,1800,1900,1700,1700,120600,KBS
2022-05-13 07:00:00,1500,1600,1500,1500,130200,KBS
2022-05-20 07:00:00,1500,1700,1500,1700,68100,KBS
2022-05-27 07:00:00,1600,1800,1500,1800,116600,KBS
2022-06-03 07:00:00,1700,1800,1600,1600,76200,KBS
2022-06-10 07:00:00,1500,1600,1400,1400,147200,KBS
2022-06-17 07:00:00,1200,1400,1200,1200,114600,KBS
2022-06-24 07:00:00,1200,1300,1100,1200,107700,KBS
2022-07-01 07:00:00,1100,1200,1100,1200,55000,KBS
2022-07-08 07:00:00,1200,1200,1100,1200,40000,KBS
2022-07-15 07:00:00,1100,1200,1100,1200,40000,KBS
2022-07-22 07:00:00,1300,1300,1200,1200,166700,KBS
2022-07-29 07:00:00,1300,1300,1200,1300,70800,KBS
2022-08-05 07:00:00,1400,1400,1400,1400,85100,KBS
2022-08-12 07:00:00,1500,1600,1500,1600,356500,KBS
2022-08-19 07:00:00,1700,1700,1400,1500,123100,KBS
2022-08-26 07:00:00,1400,1500,1300,1300,84800,KBS
2022-09-09 07:00:00,1200,1200,1200,1200,52400,KBS
2022-09-16 07:00:00,1100,1100,1100,1100,3810,KBS
