date,open,high,low,close,volume,_source
2020-01-02 07:00:00,2654,2729,2654,2729,58580,KBS
2020-01-03 07:00:00,2729,2729,2673,2720,163940,KBS
2020-01-06 07:00:00,2682,2720,2663,2701,149130,KBS
2020-01-07 07:00:00,2701,2701,2663,2701,68060,KBS
2020-01-08 07:00:00,2663,2673,2606,2663,233880,KBS
2020-01-09 07:00:00,2663,2691,2663,2691,92680,KBS
2020-01-10 07:00:00,2691,2701,2682,2701,89810,KBS
2020-01-13 07:00:00,2701,2710,2682,2701,109370,KBS
2020-01-14 07:00:00,2654,2710,2654,2691,116130,KBS
2020-01-15 07:00:00,2691,2710,2673,2682,109910,KBS
2020-01-16 07:00:00,2710,2720,2663,2720,128120,KBS
2020-01-17 07:00:00,2729,2729,2644,2729,198600,KBS
2020-01-20 07:00:00,2701,2748,2701,2729,52730,KBS
2020-01-21 07:00:00,2739,2739,2720,2739,151950,KBS
2020-01-22 07:00:00,2758,2852,2739,2852,441020,KBS
2020-01-30 07:00:00,2833,2833,2739,2824,217470,KBS
2020-01-31 07:00:00,2739,2814,2701,2776,271930,KBS
2020-02-03 07:00:00,2748,2748,2588,2644,854260,KBS
2020-02-04 07:00:00,2644,2644,2521,2644,617580,KBS
2020-02-05 07:00:00,2625,2663,2588,2663,104530,KBS
2020-02-06 07:00:00,2663,2682,2521,2663,210290,KBS
2020-02-07 07:00:00,2644,2682,2606,2654,158540,KBS
2020-02-10 07:00:00,2616,2644,2606,2616,31640,KBS
2020-02-11 07:00:00,2597,2673,2588,2673,173340,KBS
2020-02-12 07:00:00,2644,2701,2635,2701,313910,KBS
2020-02-13 07:00:00,2691,2691,2644,2673,65030,KBS
2020-02-14 07:00:00,2673,2682,2625,2682,137900,KBS
2020-02-17 07:00:00,2682,2710,2644,2701,231090,KBS
2020-02-18 07:00:00,2701,2701,2606,2682,605060,KBS
2020-02-19 07:00:00,2625,2682,2616,2682,258870,KBS
2020-02-20 07:00:00,2644,2673,2616,2663,203430,KBS
2020-02-21 07:00:00,2625,2654,2606,2654,328310,KBS
2020-02-24 07:00:00,2588,2606,2493,2559,563990,KBS
2020-02-25 07:00:00,2503,2588,2493,2588,471360,KBS
2020-02-26 07:00:00,2531,2578,2503,2578,304540,KBS
2020-02-27 07:00:00,2531,2588,2512,2588,216890,KBS
2020-02-28 07:00:00,2531,2550,2474,2550,283960,KBS
2020-03-02 07:00:00,2512,2550,2503,2550,213020,KBS
2020-03-03 07:00:00,2550,2606,2512,2606,519750,KBS
2020-03-04 07:00:00,2559,2597,2531,2597,342750,KBS
2020-03-05 07:00:00,2597,2597,2550,2597,166170,KBS
2020-03-06 07:00:00,2559,2597,2559,2597,237500,KBS
2020-03-09 07:00:00,2540,2550,2418,2550,1249660,KBS
2020-03-10 07:00:00,2436,2550,2427,2550,585660,KBS
2020-03-11 07:00:00,2531,2720,2436,2720,389190,KBS
2020-03-12 07:00:00,2710,2710,2531,2531,194240,KBS
2020-03-13 07:00:00,2361,2512,2361,2512,665130,KBS
2020-03-16 07:00:00,2436,2493,2361,2493,657000,KBS
2020-03-17 07:00:00,2361,2503,2351,2493,351090,KBS
2020-03-18 07:00:00,2427,2493,2418,2455,298780,KBS
2020-03-19 07:00:00,2399,2446,2351,2446,414640,KBS
2020-03-20 07:00:00,2389,2446,2370,2399,185470,KBS
2020-03-23 07:00:00,2248,2266,2238,2238,164420,KBS
2020-03-24 07:00:00,2087,2229,2087,2172,379870,KBS
2020-03-25 07:00:00,2172,2238,2125,2210,413700,KBS
2020-03-26 07:00:00,2153,2172,2059,2172,606350,KBS
2020-03-27 07:00:00,2078,2172,2021,2163,380090,KBS
2020-03-30 07:00:00,2030,2153,2012,2144,338160,KBS
2020-03-31 07:00:00,2040,2144,2021,2144,365190,KBS
2020-04-01 07:00:00,2049,2153,2049,2097,265610,KBS
2020-04-03 07:00:00,2097,2153,2078,2106,482440,KBS
2020-04-06 07:00:00,2106,2172,2097,2153,1161690,KBS
2020-04-07 07:00:00,2153,2153,2068,2134,772910,KBS
2020-04-08 07:00:00,2078,2115,2040,2078,761880,KBS
2020-04-09 07:00:00,2078,2219,2059,2172,1567080,KBS
2020-04-10 07:00:00,2191,2200,2115,2172,1020600,KBS
2020-04-13 07:00:00,2172,2210,2144,2144,740970,KBS
2020-04-14 07:00:00,2153,2153,2097,2125,811380,KBS
2020-04-15 07:00:00,2125,2181,2125,2144,713990,KBS
2020-04-16 07:00:00,2153,2229,2115,2210,1085770,KBS
2020-04-17 07:00:00,2257,2314,2248,2314,1563540,KBS
2020-04-20 07:00:00,2323,2333,2229,2229,1054800,KBS
2020-04-21 07:00:00,2115,2172,2078,2078,1768960,KBS
2020-04-22 07:00:00,1983,2163,1974,2106,1755810,KBS
2020-04-23 07:00:00,2115,2144,2068,2097,885930,KBS
2020-04-24 07:00:00,2106,2106,2030,2059,545210,KBS
2020-04-27 07:00:00,2078,2106,2059,2068,653770,KBS
2020-04-28 07:00:00,2078,2078,2021,2049,918860,KBS
2020-04-29 07:00:00,2068,2078,2040,2068,341480,KBS
2020-05-04 07:00:00,2059,2059,2030,2030,462800,KBS
2020-05-05 07:00:00,2030,2040,2012,2021,259120,KBS
2020-05-06 07:00:00,2021,2059,2012,2059,418620,KBS
2020-05-07 07:00:00,2059,2087,2040,2078,775900,KBS
2020-05-08 07:00:00,2097,2153,2097,2106,1099470,KBS
2020-05-11 07:00:00,2229,2229,2153,2229,1691260,KBS
2020-05-12 07:00:00,2248,2342,2229,2314,2214440,KBS
2020-05-13 07:00:00,2266,2314,2229,2276,997180,KBS
2020-05-14 07:00:00,2229,2342,2210,2314,1533990,KBS
2020-05-15 07:00:00,2323,2323,2248,2257,998670,KBS
2020-05-18 07:00:00,2248,2276,2229,2266,613630,KBS
2020-05-19 07:00:00,2333,2342,2285,2304,941120,KBS
2020-05-20 07:00:00,2276,2304,2257,2304,366980,KBS
2020-05-21 07:00:00,2304,2304,2276,2285,285510,KBS
2020-05-22 07:00:00,2285,2399,2276,2342,1275900,KBS
2020-05-25 07:00:00,2342,2399,2342,2389,901770,KBS
2020-05-26 07:00:00,2399,2493,2399,2484,918430,KBS
2020-05-27 07:00:00,2531,2540,2408,2408,875430,KBS
2020-05-28 07:00:00,2408,2436,2370,2408,640500,KBS
2020-05-29 07:00:00,2361,2427,2351,2408,698280,KBS
2020-06-01 07:00:00,2427,2455,2418,2455,563870,KBS
2020-06-02 07:00:00,2484,2484,2408,2436,707380,KBS
2020-06-03 07:00:00,2455,2455,2418,2446,299560,KBS
2020-06-04 07:00:00,2484,2597,2484,2569,1762950,KBS
2020-06-05 07:00:00,2550,2616,2531,2597,553840,KBS
2020-06-08 07:00:00,2663,2682,2616,2644,1140330,KBS
2020-06-09 07:00:00,2625,2644,2569,2578,1098390,KBS
2020-06-10 07:00:00,2588,2616,2512,2597,1226160,KBS
2020-06-11 07:00:00,2597,2606,2436,2455,1294510,KBS
2020-06-12 07:00:00,2342,2436,2342,2436,864890,KBS
2020-06-15 07:00:00,2455,2455,2266,2304,900520,KBS
2020-06-16 07:00:00,2314,2465,2314,2465,828960,KBS
2020-06-17 07:00:00,2455,2484,2427,2465,349160,KBS
2020-06-18 07:00:00,2399,2465,2399,2436,291580,KBS
2020-06-19 07:00:00,2436,2493,2436,2493,471300,KBS
2020-06-22 07:00:00,2512,2512,2465,2493,276600,KBS
2020-06-23 07:00:00,2531,2635,2521,2606,1651840,KBS
2020-06-24 07:00:00,2606,2644,2550,2559,709590,KBS
2020-06-25 07:00:00,2503,2569,2474,2569,318100,KBS
2020-06-26 07:00:00,2569,2635,2512,2578,448840,KBS
2020-06-29 07:00:00,2512,2540,2427,2484,666910,KBS
2020-06-30 07:00:00,2493,2512,2389,2484,629280,KBS
2020-07-01 07:00:00,2493,2521,2436,2493,419100,KBS
2020-07-02 07:00:00,2465,2493,2446,2465,189460,KBS
2020-07-03 07:00:00,2474,2474,2436,2455,268380,KBS
2020-07-06 07:00:00,2455,2512,2446,2493,318760,KBS
2020-07-07 07:00:00,2493,2531,2455,2484,422370,KBS
2020-07-08 07:00:00,2455,2484,2446,2474,364340,KBS
2020-07-09 07:00:00,2474,2512,2474,2512,399830,KBS
2020-07-10 07:00:00,2512,2540,2484,2484,421530,KBS
2020-07-13 07:00:00,2484,2512,2484,2512,262870,KBS
2020-07-14 07:00:00,2512,2550,2493,2550,502170,KBS
2020-07-15 07:00:00,2550,2578,2521,2531,265590,KBS
2020-07-16 07:00:00,2531,2550,2493,2512,260060,KBS
2020-07-17 07:00:00,2503,2521,2493,2503,352990,KBS
2020-07-20 07:00:00,2542,2542,2493,2493,417590,KBS
2020-07-21 07:00:00,2512,2512,2473,2483,405240,KBS
2020-07-22 07:00:00,2493,2503,2434,2454,422740,KBS
2020-07-23 07:00:00,2463,2463,2375,2463,433550,KBS
2020-07-24 07:00:00,2463,2463,2296,2355,819470,KBS
2020-07-27 07:00:00,2198,2257,2198,2198,1469170,KBS
2020-07-28 07:00:00,2179,2296,2179,2287,736100,KBS
2020-07-29 07:00:00,2218,2257,2130,2228,997930,KBS
2020-07-30 07:00:00,2218,2257,2218,2247,356500,KBS
2020-07-31 07:00:00,2139,2218,2130,2198,445280,KBS
2020-08-03 07:00:00,2159,2247,2159,2228,693140,KBS
2020-08-04 07:00:00,2257,2277,2228,2257,980220,KBS
2020-08-05 07:00:00,2247,2306,2238,2277,403550,KBS
2020-08-06 07:00:00,2257,2287,2238,2247,486460,KBS
2020-08-07 07:00:00,2247,2257,2228,2247,418890,KBS
2020-08-10 07:00:00,2247,2287,2247,2257,521100,KBS
2020-08-11 07:00:00,2257,2296,2257,2287,500210,KBS
2020-08-12 07:00:00,2287,2306,2267,2296,331820,KBS
2020-08-13 07:00:00,2296,2316,2287,2306,804080,KBS
2020-08-14 07:00:00,2306,2316,2257,2277,477820,KBS
2020-08-17 07:00:00,2277,2277,2247,2277,317530,KBS
2020-08-18 07:00:00,2267,2277,2238,2238,713530,KBS
2020-08-19 07:00:00,2238,2277,2228,2277,337170,KBS
2020-08-20 07:00:00,2257,2277,2238,2257,300950,KBS
2020-08-21 07:00:00,2257,2287,2247,2277,548280,KBS
2020-08-24 07:00:00,2287,2346,2287,2326,938740,KBS
2020-08-25 07:00:00,2336,2355,2326,2326,918510,KBS
2020-08-26 07:00:00,2336,2346,2316,2346,613280,KBS
2020-08-27 07:00:00,2336,2355,2326,2346,577010,KBS
2020-08-28 07:00:00,2365,2434,2355,2385,1251080,KBS
2020-08-31 07:00:00,2385,2414,2355,2365,399230,KBS
2020-09-01 07:00:00,2365,2395,2355,2385,272710,KBS
