date,open,high,low,close,volume,_source
2020-01-02 07:00:00,15600,15600,15600,15600,3740,KBS
2020-01-03 07:00:00,14550,14550,14550,14550,20490,KBS
2020-01-06 07:00:00,13550,13550,13550,13550,5750,KBS
2020-01-07 07:00:00,12650,12650,12650,12650,2930,KBS
2020-01-08 07:00:00,11800,11800,11800,11800,6200,KBS
2020-01-09 07:00:00,11000,11000,11000,11000,13220,KBS
2020-01-10 07:00:00,10250,10250,10250,10250,3230,KBS
2020-01-13 07:00:00,9540,9540,9540,9540,660,KBS
2020-01-14 07:00:00,8880,8880,8880,8880,18320,KBS
2020-01-15 07:00:00,8260,8260,8260,8260,13080,KBS
2020-01-16 07:00:00,7690,7690,7690,7690,384600,KBS
2020-01-17 07:00:00,7160,7160,7160,7160,7070,KBS
2020-01-20 07:00:00,6660,6660,6660,6660,5340,KBS
2020-01-21 07:00:00,6200,6200,6200,6200,37350,KBS
2020-01-22 07:00:00,5770,6630,5770,6630,3896570,KBS
2020-01-30 07:00:00,7090,7090,7000,7090,708720,KBS
2020-01-31 07:00:00,7200,7250,6600,6600,612640,KBS
2020-02-03 07:00:00,6140,6140,6140,6140,38790,KBS
2020-02-04 07:00:00,5720,6000,5720,5720,486010,KBS
2020-02-05 07:00:00,5450,5980,5320,5460,465840,KBS
2020-02-06 07:00:00,5840,5840,5500,5840,219860,KBS
2020-02-07 07:00:00,6170,6240,5840,6150,506480,KBS
2020-02-10 07:00:00,6000,6300,5800,5850,277610,KBS
2020-02-11 07:00:00,5810,6100,5810,6050,179850,KBS
2020-02-12 07:00:00,6050,6050,5650,5900,193200,KBS
2020-02-13 07:00:00,5930,5930,5800,5900,158140,KBS
2020-02-14 07:00:00,5890,5890,5700,5800,200800,KBS
2020-02-17 07:00:00,6200,6200,6200,6200,75510,KBS
2020-02-18 07:00:00,6630,6630,6630,6630,24570,KBS
2020-02-19 07:00:00,7090,7090,7090,7090,35210,KBS
2020-02-20 07:00:00,7580,7580,7300,7580,987710,KBS
2020-02-21 07:00:00,7850,8080,7120,7500,633870,KBS
2020-02-24 07:00:00,7100,7200,6980,6980,162160,KBS
2020-02-25 07:00:00,6500,6500,6500,6500,57850,KBS
2020-02-26 07:00:00,6080,6950,6080,6950,526110,KBS
2020-02-27 07:00:00,7050,7050,6600,6820,146650,KBS
2020-02-28 07:00:00,6750,6780,6350,6710,464070,KBS
2020-03-02 07:00:00,6350,6640,6350,6480,143680,KBS
2020-03-03 07:00:00,6500,6720,6500,6560,164910,KBS
2020-03-04 07:00:00,6580,6580,6360,6520,132930,KBS
2020-03-05 07:00:00,6800,6800,6430,6500,294760,KBS
2020-03-06 07:00:00,6220,6500,6200,6230,197150,KBS
2020-03-09 07:00:00,5800,6500,5800,6500,454330,KBS
2020-03-10 07:00:00,6060,6190,6050,6050,182590,KBS
2020-03-11 07:00:00,5850,6100,5650,5660,126050,KBS
2020-03-12 07:00:00,5400,5410,5270,5270,325340,KBS
2020-03-13 07:00:00,4910,5000,4910,4920,280370,KBS
2020-03-16 07:00:00,4620,5260,4620,5260,244690,KBS
2020-03-17 07:00:00,5400,5620,5200,5620,217620,KBS
2020-03-18 07:00:00,6010,6010,6010,6010,71310,KBS
2020-03-19 07:00:00,6430,6430,5860,6350,599930,KBS
2020-03-20 07:00:00,6100,6300,5910,5910,251170,KBS
2020-03-23 07:00:00,5560,5910,5500,5500,186110,KBS
2020-03-24 07:00:00,5250,5690,5160,5650,125490,KBS
2020-03-25 07:00:00,5890,5890,5310,5600,33270,KBS
2020-03-26 07:00:00,5590,5590,5310,5320,88380,KBS
2020-03-27 07:00:00,5400,5500,4980,5000,107330,KBS
2020-03-30 07:00:00,5000,5000,4650,4650,178010,KBS
2020-03-31 07:00:00,4800,4800,4330,4330,157330,KBS
2020-04-01 07:00:00,4500,4630,4110,4620,32260,KBS
2020-04-03 07:00:00,4500,4850,4420,4740,43380,KBS
2020-04-06 07:00:00,4740,5070,4700,5040,70540,KBS
2020-04-07 07:00:00,5100,5100,4700,4960,84580,KBS
2020-04-08 07:00:00,4700,5300,4630,5190,70420,KBS
2020-04-09 07:00:00,5190,5310,5100,5180,50160,KBS
2020-04-10 07:00:00,5200,5300,4900,5190,99100,KBS
2020-04-13 07:00:00,5010,5200,5000,5160,68750,KBS
2020-04-14 07:00:00,5160,5160,4940,4960,74070,KBS
2020-04-15 07:00:00,4910,5190,4910,5000,114900,KBS
2020-04-16 07:00:00,5090,5350,5000,5350,312390,KBS
2020-04-17 07:00:00,5720,5720,5720,5720,68870,KBS
2020-04-20 07:00:00,6120,6120,6120,6120,27480,KBS
2020-04-21 07:00:00,6530,6540,5800,6480,1170860,KBS
2020-04-22 07:00:00,6400,6750,6050,6730,183040,KBS
2020-04-23 07:00:00,7000,7000,6720,6730,226900,KBS
2020-04-24 07:00:00,6500,6700,6260,6310,190640,KBS
2020-04-27 07:00:00,6540,6540,6060,6250,193510,KBS
2020-04-28 07:00:00,6300,6300,6110,6250,208480,KBS
2020-04-29 07:00:00,6170,6250,6000,6170,132320,KBS
2020-05-04 07:00:00,6050,6150,5900,5900,144450,KBS
2020-05-05 07:00:00,5900,5980,5720,5750,114010,KBS
2020-05-06 07:00:00,5750,6120,5720,5970,244370,KBS
2020-05-07 07:00:00,5970,5970,5810,5900,240290,KBS
2020-05-08 07:00:00,5950,6310,5910,6310,214310,KBS
2020-05-11 07:00:00,6360,6460,6310,6360,339250,KBS
2020-05-12 07:00:00,6100,6350,6100,6110,197500,KBS
2020-05-13 07:00:00,6360,6500,6150,6500,525030,KBS
2020-05-14 07:00:00,6800,6950,6570,6950,288140,KBS
2020-05-15 07:00:00,7300,7300,6700,6700,306890,KBS
2020-05-18 07:00:00,6700,6700,6500,6600,235680,KBS
2020-05-19 07:00:00,6600,6800,6400,6410,175680,KBS
2020-05-20 07:00:00,6410,6760,6400,6660,170880,KBS
2020-05-21 07:00:00,6660,6660,6480,6500,106830,KBS
2020-05-22 07:00:00,6570,6570,6300,6390,189980,KBS
2020-05-25 07:00:00,6460,6460,6250,6250,207100,KBS
2020-05-26 07:00:00,6250,6490,6250,6370,234910,KBS
2020-05-27 07:00:00,6400,6600,6260,6260,339630,KBS
2020-05-28 07:00:00,6300,6400,6240,6240,166330,KBS
2020-05-29 07:00:00,6240,6390,6240,6360,120990,KBS
2020-06-01 07:00:00,6470,6750,6470,6680,459780,KBS
2020-06-02 07:00:00,6800,7140,6800,7140,921750,KBS
2020-06-03 07:00:00,7300,7630,7200,7630,638660,KBS
