date,open,high,low,close,volume,_source
2020-01-02 07:00:00,33800,34450,33800,34350,581190,KBS
2020-01-03 07:00:00,34300,34650,34100,34600,1272890,KBS
2020-01-06 07:00:00,34500,34500,33500,33650,682790,KBS
2020-01-07 07:00:00,33650,33950,33600,33950,356780,KBS
2020-01-08 07:00:00,33400,33500,32600,32700,919210,KBS
2020-01-09 07:00:00,33350,34000,33300,34000,1054800,KBS
2020-01-10 07:00:00,34000,34100,33550,33950,543040,KBS
2020-01-13 07:00:00,34000,34000,33600,33750,417280,KBS
2020-01-14 07:00:00,33850,34000,33750,33750,562730,KBS
2020-01-15 07:00:00,33800,33800,33200,33200,549700,KBS
2020-01-16 07:00:00,33700,33700,32750,32800,979630,KBS
2020-01-17 07:00:00,33150,33150,32500,32600,872560,KBS
2020-01-20 07:00:00,32400,32450,31850,32000,1070940,KBS
2020-01-21 07:00:00,32000,32700,32000,32600,908080,KBS
2020-01-22 07:00:00,32500,32800,32300,32600,932500,KBS
2020-01-30 07:00:00,32000,32100,30700,30950,2002220,KBS
2020-01-31 07:00:00,30950,31300,30050,30050,2322570,KBS
2020-02-03 07:00:00,28000,30300,27950,30200,1977600,KBS
2020-02-04 07:00:00,29700,30150,28700,29250,2239180,KBS
2020-02-05 07:00:00,30200,30200,28800,28950,2036300,KBS
2020-02-06 07:00:00,30950,30950,28800,30950,3660600,KBS
2020-02-07 07:00:00,31050,32250,30800,32000,2423940,KBS
2020-02-10 07:00:00,31500,31500,31000,31100,611640,KBS
2020-02-11 07:00:00,31000,31650,30500,31400,2573890,KBS
2020-02-12 07:00:00,31850,31850,31250,31250,982950,KBS
2020-02-13 07:00:00,31000,31450,31000,31450,862410,KBS
2020-02-14 07:00:00,31450,32200,31300,31750,1388080,KBS
2020-02-17 07:00:00,31800,31800,31200,31400,562430,KBS
2020-02-18 07:00:00,31300,31500,30500,30550,1019810,KBS
2020-02-19 07:00:00,30500,30550,29800,30150,1562980,KBS
2020-02-20 07:00:00,30550,30900,30300,30900,1626950,KBS
2020-02-21 07:00:00,30700,30900,30700,30700,697440,KBS
2020-02-24 07:00:00,29100,30400,29100,29350,1391850,KBS
2020-02-25 07:00:00,29000,29450,28800,29200,1014900,KBS
2020-02-26 07:00:00,29000,29500,28750,29000,1028780,KBS
2020-02-27 07:00:00,28850,29100,28750,29000,1254940,KBS
2020-02-28 07:00:00,28500,28800,28050,28500,1824830,KBS
2020-03-02 07:00:00,28500,28950,28200,28550,929150,KBS
2020-03-03 07:00:00,29050,29050,28450,28450,1767430,KBS
2020-03-04 07:00:00,28300,28500,28100,28450,966120,KBS
2020-03-05 07:00:00,28650,29000,28600,28600,859920,KBS
2020-03-06 07:00:00,28700,28700,28200,28500,805500,KBS
2020-03-09 07:00:00,26750,27500,26550,26550,2164550,KBS
2020-03-10 07:00:00,25300,26950,25150,26400,3031510,KBS
2020-03-11 07:00:00,26400,26400,24600,26000,4211430,KBS
2020-03-12 07:00:00,24200,24950,24200,24200,2976280,KBS
2020-03-13 07:00:00,22550,24300,22550,24200,4742820,KBS
2020-03-16 07:00:00,24500,24500,22550,23700,1752440,KBS
2020-03-17 07:00:00,22500,22700,22050,22100,2066890,KBS
2020-03-18 07:00:00,22000,22300,21250,22100,1935850,KBS
2020-03-19 07:00:00,21000,22000,20700,21900,2175340,KBS
2020-03-20 07:00:00,21900,21900,20400,20400,2758320,KBS
2020-03-23 07:00:00,19200,19450,19000,19000,401880,KBS
2020-03-24 07:00:00,17700,18000,17700,17700,6890560,KBS
2020-03-25 07:00:00,18300,18900,16900,18900,4747820,KBS
2020-03-26 07:00:00,18500,20200,18000,20000,4553180,KBS
2020-03-27 07:00:00,19400,20400,18600,20400,5480540,KBS
2020-03-30 07:00:00,19000,19250,19000,19000,2275750,KBS
2020-03-31 07:00:00,18700,20300,18550,19150,3565970,KBS
2020-04-01 07:00:00,19000,19700,18100,19250,930870,KBS
2020-04-03 07:00:00,19400,19700,18900,19500,2522290,KBS
2020-04-06 07:00:00,19950,20850,19850,20850,4515950,KBS
2020-04-07 07:00:00,21500,22300,21100,22300,3715760,KBS
2020-04-08 07:00:00,21900,22500,21300,22500,3361700,KBS
2020-04-09 07:00:00,22300,24050,22300,23700,4761190,KBS
2020-04-10 07:00:00,23700,24000,23000,23800,2027970,KBS
2020-04-13 07:00:00,23700,25450,23700,25450,2382640,KBS
2020-04-14 07:00:00,25450,27200,24800,26200,3054710,KBS
2020-04-15 07:00:00,26300,26700,25650,26100,2686900,KBS
2020-04-16 07:00:00,25650,26500,25350,26500,2924260,KBS
2020-04-17 07:00:00,26500,27200,26200,26500,4348970,KBS
2020-04-20 07:00:00,26500,26500,25800,26200,2326300,KBS
2020-04-21 07:00:00,25800,25900,24400,24400,2804830,KBS
2020-04-22 07:00:00,22800,25000,22800,23550,5280770,KBS
2020-04-23 07:00:00,24400,24650,23600,24100,3095130,KBS
2020-04-24 07:00:00,24400,24400,23500,24000,1639110,KBS
2020-04-27 07:00:00,24200,24200,23450,23500,3418720,KBS
2020-04-28 07:00:00,23500,23750,22300,22750,3988030,KBS
2020-04-29 07:00:00,23100,23350,22600,23100,2661700,KBS
2020-05-04 07:00:00,22800,23750,22800,23450,1757720,KBS
2020-05-05 07:00:00,23500,23850,23500,23550,2480820,KBS
2020-05-06 07:00:00,23800,25000,23550,25000,5201410,KBS
2020-05-07 07:00:00,25100,25200,24650,24800,2518450,KBS
2020-05-08 07:00:00,25000,25900,25000,25300,4038610,KBS
2020-05-11 07:00:00,25450,25650,24800,25450,3515430,KBS
2020-05-12 07:00:00,25000,25400,24950,25250,3654270,KBS
2020-05-13 07:00:00,25000,25100,24500,24500,4037060,KBS
2020-05-14 07:00:00,24200,24350,23900,24050,3952220,KBS
2020-05-15 07:00:00,24400,24750,24100,24100,2262600,KBS
2020-05-18 07:00:00,24200,24700,24050,24550,2597120,KBS
2020-05-19 07:00:00,25000,25800,24600,24900,8313560,KBS
