date,open,high,low,close,volume,_source
2020-02-27 07:00:00,8000,8000,8000,8000,9100,KBS
2020-04-06 07:00:00,8800,8800,8800,8800,100,KBS
2020-04-08 07:00:00,9600,9600,9600,9600,100,KBS
2020-04-09 07:00:00,10500,10500,10500,10500,100,KBS
2020-04-17 07:00:00,11200,11200,11200,11200,900,KBS
2020-04-21 07:00:00,10100,10100,10100,10100,400,KBS
2020-04-22 07:00:00,9100,9100,9100,9100,200,KBS
2020-04-27 07:00:00,10000,10000,10000,10000,100,KBS
2020-04-28 07:00:00,9000,9000,9000,9000,400,KBS
2020-05-04 07:00:00,8100,8100,8100,8100,4000,KBS
2020-05-05 07:00:00,7300,7300,7300,7300,100,KBS
2020-05-06 07:00:00,7200,8000,6600,8000,2400,KBS
2020-05-07 07:00:00,7200,8800,7200,8800,3200,KBS
2020-05-08 07:00:00,8000,8000,8000,8000,200,KBS
2020-05-11 07:00:00,7200,8800,7200,8800,1700,KBS
2020-05-12 07:00:00,8000,8000,8000,8000,700,KBS
2020-05-13 07:00:00,7200,7200,7200,7200,300,KBS
2020-05-14 07:00:00,6500,6500,6500,6500,700,KBS
2020-05-15 07:00:00,5900,7100,5900,7100,5210,KBS
2020-05-18 07:00:00,6400,6400,6400,6400,5000,KBS
2020-05-21 07:00:00,5800,5800,5800,5800,400,KBS
2020-05-22 07:00:00,5300,5300,5300,5300,100,KBS
2020-05-25 07:00:00,5800,5800,5800,5800,2000,KBS
2020-05-26 07:00:00,6000,6300,6000,6300,4200,KBS
2020-05-27 07:00:00,6900,6900,6900,6900,500,KBS
2020-05-28 07:00:00,7300,7300,7000,7000,200,KBS
2020-06-01 07:00:00,6300,6300,6300,6300,500,KBS
2020-06-02 07:00:00,6500,6500,5700,6500,1400,KBS
2020-06-04 07:00:00,6500,6500,6500,6500,10,KBS
2020-06-08 07:00:00,6500,6500,6500,6500,2900,KBS
2020-06-10 07:00:00,5900,5900,5900,5900,1000,KBS
2020-06-11 07:00:00,5400,6400,5400,6400,3100,KBS
2020-06-15 07:00:00,6800,6800,6800,6800,400,KBS
2020-06-24 07:00:00,6200,6200,6200,6200,100,KBS
2020-06-25 07:00:00,5600,5600,5600,5600,200,KBS
2020-06-26 07:00:00,6100,6100,5100,5100,400,KBS
2020-06-29 07:00:00,5600,5600,5600,5600,100,KBS
2020-07-01 07:00:00,5100,5100,5100,5100,100,KBS
2020-07-02 07:00:00,5600,5600,5600,5600,100,KBS
2020-07-03 07:00:00,5100,6000,5100,5100,400,KBS
2020-07-06 07:00:00,4700,4700,4600,4600,400,KBS
2020-07-07 07:00:00,4600,5000,4600,4600,600,KBS
2020-07-08 07:00:00,4900,4900,4900,4900,100,KBS
2020-07-09 07:00:00,5200,5200,4500,4600,2600,KBS
2020-07-21 07:00:00,4900,4900,4900,4900,100,KBS
2020-07-22 07:00:00,4500,4500,4500,4500,100,KBS
2020-07-24 07:00:00,4100,4100,4100,4100,1100,KBS
2020-08-25 07:00:00,4500,4500,4200,4200,300,KBS
2020-08-26 07:00:00,4100,4100,4100,4100,900,KBS
2020-08-31 07:00:00,4500,4500,4500,4500,2900,KBS
2020-09-18 07:00:00,4500,4500,4500,4500,1,KBS
2020-10-01 07:00:00,4300,4300,4200,4200,1100,KBS
2020-10-05 07:00:00,4300,4300,4300,4300,850,KBS
2020-10-06 07:00:00,4300,4300,4300,4300,100,KBS
2020-10-08 07:00:00,4000,4000,4000,4000,7100,KBS
2020-10-13 07:00:00,3600,3700,3600,3700,1020,KBS
2020-10-19 07:00:00,4000,4000,4000,4000,600,KBS
2020-11-11 07:00:00,4400,4400,4400,4400,100,KBS
2020-11-12 07:00:00,4800,4800,4800,4800,100,KBS
2020-11-17 07:00:00,5100,5100,5100,5100,100,KBS
2020-11-18 07:00:00,4900,4900,4900,4900,3000,KBS
2020-11-19 07:00:00,4900,4900,4900,4900,12,KBS
2020-11-25 07:00:00,5200,5200,4900,4900,2500,KBS
2020-11-26 07:00:00,5300,5300,5300,5300,100,KBS
2020-11-27 07:00:00,5300,5300,5300,5300,1,KBS
2020-12-10 07:00:00,5800,5800,5800,5800,900,KBS
2020-12-14 07:00:00,5500,5500,5500,5500,20100,KBS
2020-12-15 07:00:00,5500,5500,5500,5500,100,KBS
2020-12-16 07:00:00,5800,5800,5800,5800,100,KBS
2020-12-17 07:00:00,6300,6300,6300,6300,100,KBS
2020-12-18 07:00:00,6900,6900,6900,6900,100,KBS
2020-12-28 07:00:00,7200,7200,7200,7200,438,KBS
2021-01-08 07:00:00,6700,7200,6700,7100,1400,KBS
2021-01-11 07:00:00,6500,6500,6500,6500,1000,KBS
2021-01-12 07:00:00,6500,6500,6500,6500,500,KBS
2021-01-13 07:00:00,7100,7100,7100,7100,100,KBS
2021-01-15 07:00:00,7700,7700,7200,7200,400,KBS
2021-01-18 07:00:00,7000,7800,7000,7600,254230,KBS
2021-01-22 07:00:00,6900,6900,6900,6900,1000,KBS
2021-01-26 07:00:00,7500,7500,7500,7500,100,KBS
2021-01-27 07:00:00,6900,7800,6900,7800,1800,KBS
2021-02-01 07:00:00,8100,8100,8100,8100,100,KBS
2021-02-08 07:00:00,8700,8700,8700,8700,100,KBS
2021-02-17 07:00:00,7900,7900,7900,7900,700,KBS
2021-02-18 07:00:00,7900,7900,7900,7900,10,KBS
2021-02-19 07:00:00,7600,7600,7600,7600,120,KBS
2021-02-23 07:00:00,7600,7600,7600,7600,100,KBS
2021-02-24 07:00:00,7600,7600,7600,7600,100,KBS
2021-02-25 07:00:00,6900,6900,6900,6900,4330,KBS
2021-02-26 07:00:00,7300,7300,6300,6300,200,KBS
2021-03-01 07:00:00,6300,6900,5800,5800,1900,KBS
2021-03-02 07:00:00,5800,6300,5700,6300,6600,KBS
2021-03-03 07:00:00,6900,6900,6900,6900,100,KBS
2021-03-04 07:00:00,7300,7300,6800,6800,1100,KBS
2021-03-05 07:00:00,6300,6300,6300,6300,1700,KBS
2021-03-08 07:00:00,6500,6500,6400,6400,3300,KBS
2021-03-09 07:00:00,6400,6600,6400,6400,700,KBS
2021-03-10 07:00:00,6600,6600,6400,6500,1400,KBS
2021-03-12 07:00:00,6500,6500,6500,6500,200,KBS
2021-03-15 07:00:00,6400,6400,6100,6100,1900,KBS
2021-03-16 07:00:00,6400,6400,6400,6400,100,KBS
2021-03-17 07:00:00,6600,6600,6600,6600,100,KBS
2021-03-19 07:00:00,6400,6500,6400,6500,1000,KBS
2021-03-22 07:00:00,6600,6700,6600,6700,6200,KBS
2021-03-29 07:00:00,6600,6600,6600,6600,800,KBS
2021-03-31 07:00:00,6600,6800,6600,6800,400,KBS
2021-04-01 07:00:00,6900,6900,6900,6900,100,KBS
2021-04-05 07:00:00,7200,7200,7200,7200,100,KBS
2021-04-07 07:00:00,7500,7500,7000,7000,4000,KBS
2021-04-12 07:00:00,6500,7300,6500,7200,1600,KBS
2021-04-13 07:00:00,7100,7100,7000,7000,1610,KBS
2021-04-14 07:00:00,6400,7000,6400,7000,15300,KBS
2021-04-16 07:00:00,7000,7000,6300,6300,1500,KBS
2021-05-07 07:00:00,6300,6300,6300,6300,500,KBS
2021-05-28 07:00:00,6800,6800,6800,6800,510,KBS
2021-06-11 07:00:00,6800,7400,6800,7400,28700,KBS
2021-06-18 07:00:00,7800,8100,7800,8100,11300,KBS
2021-06-25 07:00:00,8900,8900,8900,8900,6010,KBS
2021-07-02 07:00:00,9700,9700,9700,9700,4000,KBS
2021-08-06 07:00:00,8800,8800,8800,8800,1000,KBS
2021-08-13 07:00:00,8000,8800,8000,8800,500,KBS
2021-08-20 07:00:00,8000,8000,8000,8000,8800,KBS
2021-09-10 07:00:00,8000,8800,8000,8800,6720,KBS
2021-09-16 07:00:00,9600,9600,9600,9600,22020,KBS
2021-09-17 07:00:00,10500,10500,10500,10500,40900,KBS
2021-09-20 07:00:00,11500,11500,11500,11500,23100,KBS
2021-09-21 07:00:00,12600,12600,12600,12600,2000,KBS
2021-09-22 07:00:00,13800,13800,13800,13800,65900,KBS
2021-09-23 07:00:00,15100,15100,15100,15100,47500,KBS
2021-09-24 07:00:00,14000,14000,13600,13800,32550,KBS
2021-09-27 07:00:00,13800,14700,13600,13800,24850,KBS
2021-09-28 07:00:00,13800,14100,13600,14100,47503,KBS
2021-09-29 07:00:00,14100,14100,12700,14100,24900,KBS
2021-10-01 07:00:00,12700,13500,12700,13500,1100,KBS
2021-10-04 07:00:00,12200,13000,12200,12300,4200,KBS
2021-10-05 07:00:00,12000,13500,12000,13500,4600,KBS
2021-10-06 07:00:00,13500,14200,12200,13500,36500,KBS
2021-10-07 07:00:00,12300,13000,12300,13000,18900,KBS
2021-10-08 07:00:00,13000,13000,12300,13000,25000,KBS
2021-10-11 07:00:00,12800,13200,12300,12500,7900,KBS
2021-10-12 07:00:00,12300,12900,11400,12500,57251,KBS
2021-10-13 07:00:00,12500,12700,12400,12700,97900,KBS
2021-10-14 07:00:00,11700,13900,11700,13900,79086,KBS
2021-10-15 07:00:00,13900,15200,13900,14200,33151,KBS
2021-10-18 07:00:00,15600,15600,14100,15400,10000,KBS
2021-10-19 07:00:00,14500,14600,14000,14100,17400,KBS
2021-10-20 07:00:00,14900,15400,14300,14300,20286,KBS
2021-10-21 07:00:00,15500,15500,15500,15500,2800,KBS
2021-10-22 07:00:00,14100,17000,14100,14700,31500,KBS
2021-10-25 07:00:00,14700,16100,14700,15200,29800,KBS
2021-10-26 07:00:00,16600,16700,16600,16700,8954,KBS
2021-10-27 07:00:00,16700,18300,16700,18300,31700,KBS
2021-10-28 07:00:00,18300,18300,16500,16500,89700,KBS
2021-10-29 07:00:00,17500,17500,16000,17500,63348,KBS
2021-11-01 07:00:00,17000,19200,17000,17500,9800,KBS
2021-11-02 07:00:00,16600,19200,16600,19200,22600,KBS
2021-11-03 07:00:00,19000,19000,18100,18600,15000,KBS
2021-11-04 07:00:00,18200,19200,18200,19200,5900,KBS
2021-11-05 07:00:00,21000,21100,20800,21100,40200,KBS
2021-11-08 07:00:00,21100,23200,20000,23200,20200,KBS
2021-11-09 07:00:00,25500,25500,24200,25500,46648,KBS
2021-11-10 07:00:00,23300,27900,23300,27900,1167,KBS
2021-11-11 07:00:00,28500,29400,25200,25200,30600,KBS
2021-11-12 07:00:00,25200,25500,25200,25300,34600,KBS
2021-11-15 07:00:00,25100,25100,23000,23200,24835,KBS
2021-11-16 07:00:00,23200,24000,20900,24000,29924,KBS
2021-11-17 07:00:00,21600,23200,21600,22500,31000,KBS
2021-11-18 07:00:00,20400,21800,20300,21000,39732,KBS
2021-11-19 07:00:00,20000,21000,20000,21000,25500,KBS
2021-11-22 07:00:00,20000,21500,19000,21500,25700,KBS
2021-11-23 07:00:00,21500,21500,19400,19900,12200,KBS
2021-11-24 07:00:00,19900,20500,18600,20500,35900,KBS
2021-11-25 07:00:00,19100,20500,19000,20500,13100,KBS
2021-11-26 07:00:00,20400,20500,19500,20400,3200,KBS
2021-11-29 07:00:00,20500,20500,20500,20500,1100,KBS
2021-11-30 07:00:00,20400,20700,20400,20700,34232,KBS
2021-12-01 07:00:00,20900,20900,19700,19800,12550,KBS
2021-12-02 07:00:00,20000,21700,20000,21700,44611,KBS
2021-12-03 07:00:00,22500,23800,22500,23800,18900,KBS
2021-12-06 07:00:00,26100,26100,25100,25400,60069,KBS
2021-12-07 07:00:00,25500,27900,25200,26000,20531,KBS
2021-12-08 07:00:00,25500,28600,25500,25800,9872,KBS
2021-12-09 07:00:00,25700,26000,24000,26000,15400,KBS
2021-12-10 07:00:00,24000,25900,23400,25900,2900,KBS
2021-12-13 07:00:00,23500,26100,23500,25900,10245,KBS
2021-12-14 07:00:00,24000,26500,24000,26500,23294,KBS
2021-12-15 07:00:00,26000,27500,26000,27300,15304,KBS
2021-12-16 07:00:00,27400,27400,27400,27400,200,KBS
2021-12-17 07:00:00,27400,28500,27400,28000,38900,KBS
2021-12-20 07:00:00,28000,28000,28000,28000,3400,KBS
2021-12-21 07:00:00,28000,28000,28000,28000,900,KBS
2021-12-22 07:00:00,28000,28000,26000,26000,2570,KBS
2021-12-23 07:00:00,28000,28000,26000,26100,11000,KBS
2021-12-24 07:00:00,26000,26500,26000,26500,3600,KBS
2021-12-27 07:00:00,26000,27000,26000,26000,3600,KBS
2021-12-28 07:00:00,26000,26500,25500,25500,9200,KBS
2021-12-29 07:00:00,26500,27000,25600,25600,20500,KBS
2021-12-30 07:00:00,26000,26000,25000,25000,10600,KBS
2021-12-31 07:00:00,25000,25800,25000,25000,6600,KBS
2022-01-04 07:00:00,25700,27500,25200,27500,20400,KBS
2022-01-05 07:00:00,30200,30200,29000,30200,50360,KBS
2022-01-06 07:00:00,33200,33200,33200,33200,9600,KBS
2022-01-07 07:00:00,36500,36500,34000,36500,89550,KBS
2022-01-10 07:00:00,40100,40100,32900,40000,40700,KBS
2022-01-11 07:00:00,36000,36500,36000,36300,13310,KBS
2022-01-12 07:00:00,38000,38000,32700,37500,24600,KBS
2022-01-13 07:00:00,37000,38000,37000,37000,10900,KBS
2022-01-14 07:00:00,37000,39000,33300,37000,26500,KBS
2022-01-17 07:00:00,38000,38000,37900,38000,4300,KBS
2022-01-18 07:00:00,36600,36600,34200,34200,4000,KBS
2022-01-19 07:00:00,30800,36500,30800,36500,23000,KBS
2022-01-20 07:00:00,36400,36400,32900,33000,14400,KBS
2022-01-21 07:00:00,29700,36000,29700,36000,5011,KBS
2022-01-24 07:00:00,36000,36000,36000,36000,5900,KBS
2022-01-25 07:00:00,36500,36500,36500,36500,2600,KBS
2022-01-26 07:00:00,36500,36500,36500,36500,5900,KBS
2022-01-27 07:00:00,36500,36500,36500,36500,2000,KBS
2022-01-28 07:00:00,40100,40100,38000,40100,9601,KBS
2022-02-07 07:00:00,44100,44100,44100,44100,100,KBS
2022-02-08 07:00:00,44100,47500,39900,40000,9400,KBS
2022-02-09 07:00:00,40000,43900,40000,43800,12818,KBS
2022-02-10 07:00:00,43700,47800,43700,47800,4400,KBS
2022-02-11 07:00:00,50500,50500,45000,49900,4400,KBS
2022-02-14 07:00:00,49900,49900,49900,49900,100,KBS
2022-02-15 07:00:00,45000,45000,45000,45000,400,KBS
2022-02-16 07:00:00,41000,44000,41000,44000,2756,KBS
2022-02-17 07:00:00,44000,44000,44000,44000,100,KBS
2022-02-18 07:00:00,44200,44500,44200,44500,4324,KBS
2022-02-21 07:00:00,41000,44500,41000,44500,2300,KBS
2022-02-22 07:00:00,41000,42200,41000,42200,5900,KBS
2022-02-23 07:00:00,42200,42200,42200,42200,1200,KBS
2022-02-24 07:00:00,42200,42200,42200,42200,6001,KBS
2022-02-25 07:00:00,44900,44900,44800,44800,26800,KBS
2022-02-28 07:00:00,42000,42000,41500,41500,2400,KBS
2022-03-01 07:00:00,41000,42300,41000,42300,802,KBS
2022-03-02 07:00:00,42500,42500,42500,42500,900,KBS
2022-03-03 07:00:00,42400,42400,40000,41900,3745,KBS
2022-03-04 07:00:00,40000,40000,40000,40000,600,KBS
2022-03-07 07:00:00,43900,43900,43900,43900,100,KBS
2022-03-08 07:00:00,39600,43500,39600,39700,18600,KBS
2022-03-09 07:00:00,42700,42700,42700,42700,100,KBS
2022-03-10 07:00:00,41500,41500,41000,41000,5500,KBS
2022-03-11 07:00:00,39000,39000,38000,38600,7600,KBS
2022-03-14 07:00:00,39000,41200,39000,39500,30000,KBS
2022-03-15 07:00:00,36500,43400,36500,39600,7900,KBS
2022-03-16 07:00:00,39300,39600,39000,39600,500,KBS
2022-03-17 07:00:00,38000,40000,38000,39700,12200,KBS
2022-03-18 07:00:00,40000,40000,39700,39900,4200,KBS
2022-03-21 07:00:00,42500,43800,42500,43800,10200,KBS
2022-03-22 07:00:00,43800,44900,40100,40100,4963,KBS
2022-03-23 07:00:00,41000,43800,40100,43800,6200,KBS
2022-03-24 07:00:00,40500,41000,40500,40600,1400,KBS
2022-03-25 07:00:00,40000,40000,40000,40000,400,KBS
2022-03-28 07:00:00,37700,39500,37700,39500,200,KBS
2022-03-29 07:00:00,37000,38600,37000,38600,1100,KBS
2022-03-30 07:00:00,35500,41400,35500,41400,500,KBS
2022-03-31 07:00:00,41300,41300,40000,40000,900,KBS
2022-04-01 07:00:00,38500,41200,38500,41200,200,KBS
2022-04-04 07:00:00,39000,39300,37200,37500,4300,KBS
2022-04-05 07:00:00,40000,40000,35500,35500,19800,KBS
2022-04-06 07:00:00,35200,39000,33900,39000,28700,KBS
2022-04-07 07:00:00,38000,38000,35100,35100,21900,KBS
2022-04-08 07:00:00,34700,34900,33000,34900,15800,KBS
2022-04-12 07:00:00,32500,32500,32500,32500,100,KBS
2022-04-13 07:00:00,32400,32400,29500,29500,3200,KBS
2022-04-14 07:00:00,27500,31400,27000,31400,9200,KBS
2022-04-15 07:00:00,31100,31100,28300,29700,38800,KBS
2022-04-18 07:00:00,26900,29100,26900,27900,1300,KBS
