date,open,high,low,close,volume,_source
2020-01-02 07:00:00,80905,80905,80905,80905,1000,KBS
2020-01-03 07:00:00,83064,83064,83064,83064,300,KBS
2020-01-06 07:00:00,83618,84172,83618,83618,310,KBS
2020-01-07 07:00:00,83618,83618,83064,83064,800,KBS
2020-01-08 07:00:00,83064,83064,83064,83064,400,KBS
2020-01-09 07:00:00,84726,84726,84726,84726,900,KBS
2020-01-10 07:00:00,85280,85280,84172,84726,10100,KBS
2020-01-13 07:00:00,84726,84726,84726,84726,1400,KBS
2020-01-14 07:00:00,84726,87495,84726,87495,2700,KBS
2020-01-15 07:00:00,87495,87495,87495,87495,20,KBS
2020-01-16 07:00:00,78745,87439,78745,87439,200,KBS
2020-01-17 07:00:00,78745,91316,78745,88602,300,KBS
2020-01-21 07:00:00,86387,86387,85556,86387,3800,KBS
2020-01-22 07:00:00,86664,86664,86332,86332,4320,KBS
2020-01-30 07:00:00,86387,86387,86332,86332,1200,KBS
2020-01-31 07:00:00,86387,86387,85833,85833,1510,KBS
2020-02-03 07:00:00,85833,85833,78690,84947,3704,KBS
2020-02-04 07:00:00,82511,82511,81957,82511,5122,KBS
2020-02-05 07:00:00,82511,85003,82511,85003,2000,KBS
2020-02-06 07:00:00,84947,85280,84947,85280,200,KBS
2020-02-07 07:00:00,84947,84947,84947,84947,419,KBS
2020-02-10 07:00:00,84172,85556,84172,85556,3205,KBS
2020-02-11 07:00:00,85280,85280,85280,85280,1600,KBS
2020-02-12 07:00:00,85280,85280,85280,85280,1628,KBS
2020-02-14 07:00:00,85833,86387,85833,86387,300,KBS
2020-02-17 07:00:00,85003,85833,85003,85833,703,KBS
2020-02-18 07:00:00,85833,85833,85833,85833,303,KBS
2020-02-19 07:00:00,85833,85833,85833,85833,1004,KBS
2020-02-20 07:00:00,86387,87384,85833,85833,800,KBS
2020-02-21 07:00:00,86110,86110,85833,85833,500,KBS
2020-02-24 07:00:00,85833,85833,85280,85280,1800,KBS
2020-02-25 07:00:00,85280,85556,85280,85280,1600,KBS
2020-02-26 07:00:00,85833,85833,85833,85833,1000,KBS
2020-02-27 07:00:00,87495,87495,87495,87495,1500,KBS
2020-02-28 07:00:00,87495,87495,87495,87495,100,KBS
