date,open,high,low,close,volume,_source
2020-01-02 07:00:00,2000,2000,1900,2000,3600,KBS
2020-01-06 07:00:00,1800,2100,1800,2100,200,KBS
2020-01-10 07:00:00,1900,1900,1900,1900,1100,KBS
2020-01-14 07:00:00,2000,2000,2000,2000,600,KBS
2020-01-15 07:00:00,2000,2000,1800,1900,1400,KBS
2020-01-16 07:00:00,2000,2000,2000,2000,130,KBS
2020-01-20 07:00:00,2000,2200,2000,2200,300,KBS
2020-02-04 07:00:00,2000,2200,2000,2000,500,KBS
2020-02-05 07:00:00,2200,2200,2200,2200,500,KBS
2020-02-06 07:00:00,2400,2400,2400,2400,7400,KBS
2020-02-10 07:00:00,2200,2200,2200,2200,110,KBS
2020-02-13 07:00:00,2100,2100,2100,2100,300,KBS
2020-02-14 07:00:00,2000,2000,2000,2000,200,KBS
2020-02-17 07:00:00,2000,2000,1800,1800,3100,KBS
2020-02-18 07:00:00,1800,1900,1800,1900,600,KBS
2020-02-19 07:00:00,1900,1900,1900,1900,10,KBS
2020-02-20 07:00:00,1900,1900,1900,1900,10,KBS
2020-02-21 07:00:00,2000,2000,2000,2000,100,KBS
2020-02-25 07:00:00,2000,2100,2000,2100,13900,KBS
2020-02-26 07:00:00,2100,2100,2000,2000,12600,KBS
2020-02-28 07:00:00,2100,2100,2100,2100,8400,KBS
2020-03-02 07:00:00,2100,2100,2100,2100,1250,KBS
2020-03-03 07:00:00,2100,2100,2100,2100,304,KBS
2020-03-04 07:00:00,2000,2000,2000,2000,300,KBS
2020-03-05 07:00:00,2000,2000,1900,2000,6500,KBS
2020-03-06 07:00:00,2000,2000,2000,2000,1100,KBS
2020-03-09 07:00:00,2000,2000,1800,1800,9900,KBS
2020-03-10 07:00:00,1900,1900,1700,1900,15200,KBS
2020-03-11 07:00:00,1900,1900,1900,1900,2200,KBS
2020-03-12 07:00:00,1800,1800,1800,1800,1000,KBS
2020-03-13 07:00:00,1800,1800,1700,1700,5200,KBS
2020-03-16 07:00:00,1700,1700,1600,1600,11200,KBS
2020-03-17 07:00:00,1600,1600,1500,1600,6300,KBS
2020-03-19 07:00:00,1600,1700,1600,1700,1100,KBS
2020-03-20 07:00:00,1700,1700,1700,1700,100,KBS
2020-03-23 07:00:00,1800,1800,1800,1800,100,KBS
2020-03-24 07:00:00,1800,1800,1700,1700,10100,KBS
2020-03-30 07:00:00,1600,1600,1600,1600,300,KBS
2020-03-31 07:00:00,1600,1600,1600,1600,2100,KBS
2020-04-01 07:00:00,1600,1600,1600,1600,1200,KBS
2020-04-03 07:00:00,1700,1700,1700,1700,100,KBS
2020-04-06 07:00:00,1800,1800,1800,1800,4100,KBS
2020-04-09 07:00:00,1900,1900,1700,1900,12100,KBS
2020-04-13 07:00:00,1800,1800,1800,1800,100,KBS
2020-04-14 07:00:00,1800,1800,1800,1800,500,KBS
2020-04-15 07:00:00,1800,1800,1800,1800,200,KBS
2020-04-16 07:00:00,1700,1900,1700,1900,4200,KBS
2020-04-17 07:00:00,1800,1900,1800,1900,5300,KBS
2020-04-20 07:00:00,1900,2000,1800,2000,11400,KBS
2020-04-21 07:00:00,1900,2200,1900,2200,3500,KBS
2020-04-28 07:00:00,2400,2400,2400,2400,900,KBS
2020-04-29 07:00:00,2400,2600,2200,2200,32000,KBS
2020-05-04 07:00:00,2000,2000,2000,2000,100,KBS
2020-05-05 07:00:00,1800,1800,1800,1800,1010,KBS
2020-05-06 07:00:00,1700,1700,1700,1700,20210,KBS
2020-05-08 07:00:00,1800,1800,1800,1800,100,KBS
2020-05-11 07:00:00,1800,1800,1800,1800,8300,KBS
2020-05-14 07:00:00,1700,1700,1700,1700,5000,KBS
2020-05-15 07:00:00,1700,1700,1700,1700,9100,KBS
2020-05-20 07:00:00,1800,1800,1800,1800,10910,KBS
2020-05-22 07:00:00,1800,1800,1700,1700,5700,KBS
2020-05-25 07:00:00,1800,1800,1700,1700,2000,KBS
2020-05-26 07:00:00,1800,1800,1800,1800,6000,KBS
2020-05-27 07:00:00,1800,1800,1800,1800,100,KBS
2020-05-28 07:00:00,1900,1900,1800,1800,2500,KBS
2020-05-29 07:00:00,1700,1700,1700,1700,100,KBS
2020-06-01 07:00:00,1800,1800,1700,1700,2900,KBS
2020-06-02 07:00:00,1700,1800,1700,1800,2400,KBS
2020-06-03 07:00:00,1800,1800,1700,1700,4000,KBS
2020-06-04 07:00:00,1800,1800,1800,1800,7000,KBS
2020-06-05 07:00:00,1900,1900,1700,1800,2310,KBS
2020-06-08 07:00:00,1900,1900,1700,1900,2222,KBS
2020-06-09 07:00:00,2000,2000,1800,1800,26410,KBS
2020-06-10 07:00:00,1800,1900,1800,1900,14504,KBS
2020-06-11 07:00:00,2000,2000,2000,2000,4700,KBS
2020-06-12 07:00:00,1900,1900,1800,1900,11800,KBS
2020-06-15 07:00:00,1900,2000,1800,2000,12100,KBS
2020-06-16 07:00:00,1900,1900,1900,1900,3300,KBS
2020-06-17 07:00:00,2000,2000,1900,2000,300,KBS
2020-06-18 07:00:00,1900,1900,1900,1900,800,KBS
2020-06-19 07:00:00,1900,2000,1900,2000,22020,KBS
2020-06-22 07:00:00,1900,2200,1900,2200,17810,KBS
2020-06-23 07:00:00,2100,2100,2100,2100,1200,KBS
2020-06-25 07:00:00,1900,2300,1900,2300,10100,KBS
2020-06-26 07:00:00,2300,2300,2300,2300,300,KBS
2020-06-29 07:00:00,2300,2300,2300,2300,200,KBS
2020-06-30 07:00:00,2100,2500,2100,2100,38790,KBS
2020-07-01 07:00:00,1900,1900,1900,1900,500,KBS
2020-07-02 07:00:00,1900,1900,1900,1900,200,KBS
2020-07-03 07:00:00,1800,2000,1800,2000,200,KBS
2020-07-06 07:00:00,1900,1900,1900,1900,7500,KBS
2020-07-07 07:00:00,1900,1900,1900,1900,700,KBS
2020-07-08 07:00:00,1900,1900,1800,1800,8100,KBS
2020-07-17 07:00:00,1900,1900,1900,1900,100,KBS
2020-07-22 07:00:00,1800,2000,1800,2000,600,KBS
2020-07-23 07:00:00,1800,1800,1800,1800,100,KBS
2020-07-24 07:00:00,1800,1900,1800,1900,3300,KBS
2020-07-28 07:00:00,1900,1900,1900,1900,7000,KBS
2020-07-29 07:00:00,1900,1900,1900,1900,12800,KBS
2020-07-31 07:00:00,1900,1900,1800,1800,8100,KBS
2020-08-03 07:00:00,1800,1900,1800,1800,400,KBS
2020-08-05 07:00:00,1800,1800,1800,1800,100,KBS
2020-08-06 07:00:00,1800,1900,1800,1900,1100,KBS
2020-08-07 07:00:00,2000,2000,2000,2000,100,KBS
2020-08-10 07:00:00,1900,1900,1900,1900,100,KBS
2020-08-11 07:00:00,1900,1900,1900,1900,100,KBS
2020-08-12 07:00:00,1900,1900,1900,1900,100,KBS
2020-08-13 07:00:00,1900,1900,1900,1900,9000,KBS
2020-08-14 07:00:00,1900,1900,1900,1900,9100,KBS
2020-08-17 07:00:00,1900,1900,1800,1900,19900,KBS
2020-08-18 07:00:00,1900,1900,1900,1900,600,KBS
2020-08-19 07:00:00,1900,1900,1900,1900,10600,KBS
2020-08-20 07:00:00,1900,1900,1900,1900,10000,KBS
2020-08-21 07:00:00,1900,1900,1900,1900,2000,KBS
2020-08-24 07:00:00,1900,1900,1900,1900,200,KBS
2020-08-25 07:00:00,1900,1900,1900,1900,300,KBS
2020-08-31 07:00:00,1800,1800,1800,1800,2000,KBS
2020-09-04 07:00:00,1900,1900,1900,1900,58700,KBS
2020-09-07 07:00:00,2000,2000,2000,2000,200,KBS
2020-09-08 07:00:00,2100,2100,1900,1900,201,KBS
2020-09-09 07:00:00,1900,2000,1900,2000,11400,KBS
2020-09-10 07:00:00,2100,2100,2100,2100,100,KBS
2020-09-11 07:00:00,2100,2100,2100,2100,1,KBS
2020-09-15 07:00:00,2100,2100,2000,2000,26400,KBS
2020-09-16 07:00:00,2100,2200,2100,2200,19800,KBS
2020-09-17 07:00:00,2300,2400,2300,2400,44100,KBS
2020-09-18 07:00:00,2400,2600,2400,2600,98900,KBS
2020-09-21 07:00:00,2600,2800,2600,2800,65800,KBS
2020-09-22 07:00:00,2600,2600,2600,2600,1100,KBS
2020-09-23 07:00:00,2400,2600,2400,2400,24200,KBS
